gid	gname	chr	logCPM	logFC.XYtestis.XXovary	abslogFC.XYtestis.XXovary	PV.XYtestis.XXovary	FDR.XYtestis.XXovary	tau	tissue	bias	dNdS	dN	dS	stage
TRINITY_DN106366_c0_g5_i1	nkx6-1	Chr01	6.411438668	-5.069764019	5.069764019	2.29E-50	2.81E-48	0.470238685	Ovary_mean	female	0.0889	0.1226	1.3783	gonad
TRINITY_DN106464_c0_g2_i1	NA	NA	1.474093393	-2.374486129	2.374486129	0.00000216	0.00000943	0.725671081	Brain_mean	female	0.0366	0.0529	1.4454	gonad
TRINITY_DN106620_c0_g1_i1	NA	NA	6.207187061	-2.855106392	2.855106392	5.58E-27	2.34E-25	0.508133115	Ovary_mean	female	0.0532	0.0741	1.3921	gonad
TRINITY_DN106942_c0_g1_i1	kdm8	Chr09	4.158369025	-1.77674507	1.77674507	5.87E-08	0.000000332	0.581132541	Ovary_mean	female	0.0487	0.0873	1.7914	gonad
TRINITY_DN107178_c0_g3_i1	NA	NA	5.748213952	-1.121635269	1.121635269	0.0000269	0.000097	0.139090567	G23_mean	female	0.0406	0.0775	1.906	gonad
TRINITY_DN107308_c0_g1_i1	NA	NA	4.82610265	-1.403345428	1.403345428	0.0000205	0.0000755	0.490766137	Ovary_mean	female	0.0086	0.0117	1.3675	gonad
TRINITY_DN107374_c0_g2_i1	NA	NA	4.236174906	-2.522890726	2.522890726	6.39E-15	9.24E-14	0.6848382	Ovary_mean	female	0.0882	0.1595	1.8091	gonad
TRINITY_DN107473_c0_g2_i2	NA	NA	2.87155615	-2.107771112	2.107771112	0.000589098	0.001619553	0.317688895	Ovary_mean	female	0.0783	0.1248	1.595	gonad
TRINITY_DN107530_c1_g1_i1	NA	NA	8.083055322	-1.5819096	1.5819096	5.62E-08	0.000000319	0.29917091	Ovary_mean	female	0.0974	0.1502	1.5415	gonad
TRINITY_DN107696_c0_g1_i4	NA	NA	5.796435419	-2.248876587	2.248876587	1.38E-17	2.64E-16	0.513780259	Ovary_mean	female	0.0631	0.067	1.0609	gonad
TRINITY_DN107740_c0_g1_i1	NA	NA	5.438153899	-2.521128149	2.521128149	8.75E-21	2.21E-19	0.611786971	Ovary_mean	female	0.0127	0.0151	1.1955	gonad
TRINITY_DN107787_c0_g1_i1	cyp3a5	Chr06	6.416478001	-1.38345678	1.38345678	0.000000196	0.00000102	0.342333676	Ovary_mean	female	0.0922	0.1632	1.7702	gonad
TRINITY_DN107852_c0_g1_i2	sirt3.1	Chr04	6.667218231	-1.052454094	1.052454094	0.0000238	0.0000865	0.358431925	Ovary_mean	female	0.0163	0.0093	0.571	gonad
TRINITY_DN107990_c0_g1_i1	NA	NA	5.920789231	-1.206767703	1.206767703	0.00000153	0.00000687	0.254324425	Ovary_mean	female	0.0848	0.1245	1.4687	gonad
TRINITY_DN108052_c0_g1_i1	hap1	Chr10	2.011837599	-5.903093829	5.903093829	2.66E-08	0.000000159	0.635667566	Liver_mean	female	0.0734	0.0962	1.3092	gonad
TRINITY_DN108305_c0_g1_i1	NA	NA	0.436301099	-4.18340806	4.18340806	2.53E-10	2.05E-09	0.825875856	Ovary_mean	female	0.0487	0.0591	1.2138	gonad
TRINITY_DN108427_c0_g3_i5	NA	NA	6.587827832	-2.299274528	2.299274528	2.17E-12	2.33E-11	0.423719915	Ovary_mean	female	0.0748	0.1472	1.9671	gonad
TRINITY_DN108429_c0_g2_i1	NA	NA	5.94082865	-1.641254156	1.641254156	1.16E-09	8.60E-09	0.43038175	Ovary_mean	female	0.0429	0.0528	1.2308	gonad
TRINITY_DN108436_c0_g1_i2	NA	NA	7.230912246	-1.546252816	1.546252816	4.24E-09	2.87E-08	0.48668377	Ovary_mean	female	0.1115	0.0839	0.7527	gonad
TRINITY_DN108541_c0_g1_i1	NA	NA	6.229506298	-2.427446322	2.427446322	1.18E-23	3.84E-22	0.421416301	Ovary_mean	female	0.0477	0.064	1.3418	gonad
TRINITY_DN108688_c0_g1_i1	NA	NA	3.504191059	-2.054246154	2.054246154	0.000000159	0.000000843	0.55115252	Brain_mean	female	0.0716	0.0933	1.3032	gonad
TRINITY_DN108930_c0_g1_i3	NA	NA	3.547111327	-2.833300561	2.833300561	0.000000136	0.000000724	0.479124657	G27_mean	female	0.2597	0.433	1.6673	gonad
TRINITY_DN108932_c0_g1_i1	NA	NA	7.64378475	-1.480020018	1.480020018	0.000000324	0.00000163	0.369166807	Ovary_mean	female	0.1002	0.0906	0.9041	gonad
TRINITY_DN109275_c0_g1_i1	NA	NA	7.902782099	-1.831547701	1.831547701	3.94E-13	4.68E-12	0.478059501	Ovary_mean	female	0.0644	0.1112	1.7268	gonad
TRINITY_DN109430_c0_g5_i1	NA	NA	5.648088733	-2.027842879	2.027842879	1.04E-13	1.31E-12	0.565408613	Ovary_mean	female	0.165	0.2426	1.4703	gonad
TRINITY_DN109459_c0_g1_i1	LOC100487782	Chr01	5.710971201	-1.153171158	1.153171158	0.0000106	0.0000408	0.409106994	Brain_mean	female	0.0437	0.0557	1.2764	gonad
TRINITY_DN109560_c0_g1_i1	NA	NA	6.174580935	-1.536025999	1.536025999	1.29E-08	0.000000081	0.526851568	Ovary_mean	female	0.1453	0.2157	1.4848	gonad
TRINITY_DN109596_c0_g1_i1	NA	NA	6.611466196	-8.211740506	8.211740506	6.90E-76	1.71E-73	0.709010869	Ovary_mean	female	0.0744	0.111	1.4913	gonad
TRINITY_DN109666_c0_g1_i1	mmp13	Chr02	7.877089338	-12.70137726	12.70137726	2.31E-115	2.61E-112	0.808450443	Ovary_mean	female	0.1894	0.3577	1.8886	gonad
TRINITY_DN109667_c0_g1_i2	LOC100498256	Chr07	6.929251128	-1.486093548	1.486093548	9.12E-10	6.86E-09	0.341072917	Ovary_mean	female	0.0371	0.0672	1.8078	gonad
TRINITY_DN109864_c0_g1_i1	ggt1	Chr01	6.293427453	-1.069690161	1.069690161	0.000176638	0.000543651	0.441694247	Ovary_mean	female	0.0612	0.102	1.6682	gonad
TRINITY_DN109913_c0_g1_i1	NA	NA	3.829657383	-7.930868341	7.930868341	5.11E-44	4.91E-42	0.90284786	Ovary_mean	female	0.1951	0.329	1.6866	gonad
TRINITY_DN109922_c0_g2_i1	Xetrov90012559m	Chr04	0.876438051	-1.643420345	1.643420345	0.001065984	0.002773772	0.759135203	Ovary_mean	female	0.1168	0.12	1.0272	gonad
TRINITY_DN109929_c0_g1_i1	NA	NA	7.677542111	-4.927081209	4.927081209	4.79E-24	1.64E-22	0.830558631	Ovary_mean	female	0.0768	0.1115	1.4529	gonad
TRINITY_DN109936_c0_g2_i1	wdr5	scaffold_19	7.013163657	-1.490475185	1.490475185	6.11E-09	4.02E-08	0.381561212	Ovary_mean	female	0.0183	0.0269	1.4722	gonad
TRINITY_DN110022_c0_g1_i1	LOC101734265	Chr09	6.65393959	-2.116945082	2.116945082	7.00E-11	6.15E-10	0.451953779	Ovary_mean	female	0.0759	0.12	1.5823	gonad
TRINITY_DN110037_c0_g1_i1	NA	NA	2.826600265	-2.79185629	2.79185629	9.07E-12	9.00E-11	0.7576335	Ovary_mean	female	0.06	0.0777	1.2952	gonad
TRINITY_DN110052_c0_g1_i1	NA	NA	2.973327513	-4.45423739	4.45423739	0.000338665	0.000980528	0.786760586	G46_F_mean	female	0.1299	0.1261	0.9714	gonad
TRINITY_DN110103_c0_g1_i1	NA	NA	6.757654488	-6.960532867	6.960532867	1.01E-60	1.72E-58	0.873793545	Ovary_mean	female	0.0936	0.1712	1.8293	gonad
TRINITY_DN110142_c0_g3_i1	app	Chr02	2.652187783	-2.95631117	2.95631117	0.000289031	0.00084936	0.424490773	G27_mean	female	0.0898	0.1651	1.839	gonad
TRINITY_DN110154_c0_g1_i1	NA	NA	1.847401091	-1.620361641	1.620361641	0.000124374	0.000394637	0.773583628	Ovary_mean	female	0.0645	0.0568	0.8797	gonad
TRINITY_DN110265_c0_g1_i1	NA	NA	7.195275989	-1.798735098	1.798735098	0.000000052	0.000000297	0.410874473	Ovary_mean	female	0.0534	0.0796	1.4913	gonad
TRINITY_DN110272_c0_g1_i1	NA	NA	0.633078758	-1.429014722	1.429014722	0.002053967	0.005010543	0.802246569	Brain_mean	female	0.0724	0.0514	0.7101	gonad
TRINITY_DN110288_c0_g1_i1	NA	NA	1.241882297	-1.302765103	1.302765103	0.003561214	0.008229971	0.696722328	Ovary_mean	female	0.0369	0.0464	1.2595	gonad
TRINITY_DN110346_c0_g1_i2	NA	NA	7.222960734	-1.9138604	1.9138604	8.93E-16	1.42E-14	0.431359026	Ovary_mean	female	0.0737	0.1275	1.7291	gonad
TRINITY_DN110371_c0_g1_i1	LOC100486333-like	Chr08	1.394861808	-2.125297387	2.125297387	0.000224453	0.000676252	0.68950775	Brain_mean	female	0.0947	0.1543	1.6304	gonad
TRINITY_DN110486_c0_g1_i1	NA	NA	2.021991668	-1.873221785	1.873221785	0.00000672	0.0000269	0.618741313	Ovary_mean	female	0.0705	0.0946	1.3423	gonad
TRINITY_DN110679_c0_g1_i1	NA	NA	6.004401158	-10.10451349	10.10451349	2.91E-84	9.13E-82	0.890071596	Ovary_mean	female	0.1135	0.1386	1.2213	gonad
TRINITY_DN110721_c0_g1_i2	klf10	Chr06	1.240367416	-4.01546086	4.01546086	7.26E-09	4.71E-08	0.435064792	G46_M_mean	female	0.122	0.1757	1.4404	gonad
TRINITY_DN110750_c1_g2_i1	NA	NA	6.91278608	-1.264350327	1.264350327	0.00000274	0.0000117	0.316279677	Ovary_mean	female	0.2514	0.3387	1.3476	gonad
TRINITY_DN110780_c0_g1_i2	NA	NA	3.914203999	-1.294938205	1.294938205	0.001520444	0.003823139	0.620690618	Ovary_mean	female	0.1339	0.1281	0.9568	gonad
TRINITY_DN110955_c0_g1_i1	LOC100488253	Chr05	4.967406727	-1.781578878	1.781578878	0.0000012	0.00000549	0.206696488	G23_mean	female	0.1555	0.1982	1.275	gonad
TRINITY_DN110993_c0_g1_i2	NA	NA	6.266700599	-1.844071226	1.844071226	1.37E-13	1.71E-12	0.449030578	Ovary_mean	female	0.0685	0.0716	1.0444	gonad
TRINITY_DN111019_c0_g1_i1	ccng1	Chr03	3.746559881	-1.46955946	1.46955946	0.00054175	0.00150109	0.170500885	G43_M_mean	female	0.0596	0.053	0.8884	gonad
TRINITY_DN111028_c0_g1_i1	NA	NA	7.759228293	-10.86220658	10.86220658	2.78E-135	1.05E-131	0.860872775	Ovary_mean	female	0.1157	0.1407	1.2163	gonad
TRINITY_DN111067_c0_g1_i1	NA	NA	5.473060061	-1.129524885	1.129524885	0.000122502	0.00038952	0.462234863	Ovary_mean	female	0.1297	0.2248	1.7337	gonad
TRINITY_DN111129_c0_g1_i1	NA	NA	7.467647326	-1.359971272	1.359971272	3.01E-08	0.000000179	0.300833595	Ovary_mean	female	0.1258	0.1457	1.1584	gonad
TRINITY_DN111223_c0_g1_i1	Xetrov90023207m	Chr09	7.683480324	-1.340942303	1.340942303	7.91E-09	5.11E-08	0.362263447	Ovary_mean	female	0.0334	0.0378	1.1319	gonad
TRINITY_DN111236_c0_g1_i1	klf3	Chr01	6.863643515	-7.709480933	7.709480933	1.18E-42	1.07E-40	0.796821699	Ovary_mean	female	0.0342	0.0568	1.6622	gonad
TRINITY_DN111417_c0_g1_i3	NA	NA	5.110533238	-1.159987803	1.159987803	0.000436719	0.001234324	0.417422371	Liver_mean	female	0.0337	0.0506	1.5002	gonad
TRINITY_DN111590_c0_g1_i1	NA	NA	6.187588576	-1.199125211	1.199125211	0.0000135	0.0000513	0.331355107	Ovary_mean	female	0.0636	0.1067	1.6789	gonad
TRINITY_DN111594_c0_g1_i2	NA	NA	5.95925149	-4.461614353	4.461614353	1.81E-20	4.51E-19	0.698221224	Ovary_mean	female	0.1131	0.1922	1.7001	gonad
TRINITY_DN111616_c0_g2_i4	NA	NA	5.531360744	-1.462438519	1.462438519	0.000200016	0.000609367	0.410312733	G23_mean	female	0.0553	0.0723	1.3066	gonad
TRINITY_DN111860_c0_g1_i1	NA	NA	7.374171972	-2.360353185	2.360353185	6.24E-17	1.13E-15	0.545643192	Ovary_mean	female	0.0065	0.0129	1.9956	gonad
TRINITY_DN112006_c0_g1_i1	slc2a11	Chr01	6.571950269	-1.246188048	1.246188048	0.000000184	0.000000965	0.327715122	Ovary_mean	female	0.0276	0.0278	1.008	gonad
TRINITY_DN112103_c0_g1_i1	NA	NA	7.878692526	-1.250750986	1.250750986	0.00000784	0.000031	0.258387937	Ovary_mean	female	0.0145	0.021	1.455	gonad
TRINITY_DN112117_c1_g1_i4	NA	NA	3.573968428	-4.250566167	4.250566167	2.61E-20	6.39E-19	0.75816465	Ovary_mean	female	0.08	0.0821	1.0271	gonad
TRINITY_DN112166_c0_g2_i1	NA	NA	7.202408061	-2.03132074	2.03132074	4.62E-18	9.31E-17	0.495494002	Ovary_mean	female	0.0432	0.0426	0.9858	gonad
TRINITY_DN112272_c0_g1_i1	NA	NA	4.66862196	-5.469405574	5.469405574	7.24E-39	5.48E-37	0.853146705	Ovary_mean	female	0.2092	0.3533	1.6892	gonad
TRINITY_DN112291_c0_g2_i1	NA	NA	5.978622528	-1.984895708	1.984895708	2.98E-10	2.39E-09	0.286813471	Liver_mean	female	0.0582	0.1103	1.8941	gonad
TRINITY_DN112321_c0_g1_i1	NA	NA	0.804596838	-4.775321474	4.775321474	0.00000124	0.0000057	0.511087357	Ovary_mean	female	0.2588	0.3151	1.2177	gonad
TRINITY_DN112325_c0_g1_i1	NA	NA	5.138897735	-1.500189817	1.500189817	0.0000641	0.000215039	0.362273941	Ovary_mean	female	0.0464	0.0584	1.2572	gonad
TRINITY_DN112341_c0_g1_i1	ppm1l-like	Chr05	6.566029918	-1.018647614	1.018647614	0.000032	0.000113831	0.399500846	Ovary_mean	female	0.0139	0.0212	1.5287	gonad
TRINITY_DN112380_c0_g3_i2	NA	NA	4.329773399	-1.136385588	1.136385588	0.000588598	0.001618377	0.453160091	Ovary_mean	female	0.0124	0.0216	1.7426	gonad
TRINITY_DN112396_c1_g1_i1	NA	NA	5.495431098	-1.41749375	1.41749375	0.000000256	0.00000132	0.412123376	Ovary_mean	female	0.0027	0.0028	1.0438	gonad
TRINITY_DN112409_c0_g1_i1	NA	NA	7.202931725	-1.370633595	1.370633595	2.68E-08	0.00000016	0.172863173	Ovary_mean	female	0.0355	0.0437	1.2311	gonad
TRINITY_DN112429_c0_g2_i1	NA	NA	5.448324325	-2.315936412	2.315936412	9.22E-13	1.04E-11	0.27480338	G27_mean	female	0.1753	0.1528	0.8718	gonad
TRINITY_DN112453_c0_g3_i1	NA	NA	5.497650071	-1.528506164	1.528506164	2.15E-09	1.53E-08	0.465638829	Ovary_mean	female	0.0712	0.1194	1.6772	gonad
TRINITY_DN112473_c1_g1_i1	NA	NA	2.283249124	-2.891774482	2.891774482	0.000107627	0.000346174	0.710127482	Brain_mean	female	0.0902	0.1123	1.2449	gonad
TRINITY_DN112473_c1_g2_i2	NA	NA	5.408851688	-1.868659213	1.868659213	0.000196	0.000598019	0.518790658	Ovary_mean	female	0.0734	0.0941	1.2819	gonad
TRINITY_DN112492_c0_g1_i2	NA	NA	0.774592176	-2.959032217	2.959032217	0.000000547	0.00000266	0.618861553	Brain_mean	female	0.0954	0.1806	1.8923	gonad
TRINITY_DN112501_c0_g1_i7	NA	NA	4.258816655	-1.545916519	1.545916519	0.000151833	0.000472657	0.476957695	Ovary_mean	female	0.1245	0.1917	1.5398	gonad
TRINITY_DN112586_c1_g1_i2	NA	NA	5.13258085	-2.255531941	2.255531941	3.07E-08	0.000000182	0.546033946	Ovary_mean	female	0.0566	0.0802	1.4158	gonad
TRINITY_DN112693_c0_g2_i1	NA	NA	4.64110315	-3.840529951	3.840529951	1.34E-14	1.87E-13	0.728887452	Ovary_mean	female	0.1077	0.1599	1.4849	gonad
TRINITY_DN112755_c0_g2_i1	NA	NA	2.383861667	-1.483346171	1.483346171	0.000375126	0.001075163	0.766021087	Ovary_mean	female	0.035	0.0574	1.6416	gonad
TRINITY_DN112797_c0_g1_i1	NA	NA	0.514663756	-4.056460614	4.056460614	6.35E-10	4.88E-09	0.545567976	G43_F_mean	female	0.0656	0.0993	1.5138	gonad
TRINITY_DN112841_c0_g1_i1	NA	NA	4.474587708	-2.86035425	2.86035425	2.21E-13	2.71E-12	0.740099764	Ovary_mean	female	0.0857	0.1154	1.3469	gonad
TRINITY_DN112907_c0_g2_i1	NA	NA	7.281807934	-1.433911919	1.433911919	0.000000011	6.96E-08	0.448255658	Ovary_mean	female	0.0792	0.1344	1.696	gonad
TRINITY_DN112953_c0_g1_i2	NA	NA	5.409946901	-2.794120692	2.794120692	4.43E-21	1.15E-19	0.536402388	Ovary_mean	female	0.1104	0.214	1.9383	gonad
TRINITY_DN113124_c0_g1_i3	NA	NA	7.833738196	-1.081806713	1.081806713	0.0000126	0.0000479	0.392345703	Ovary_mean	female	0.0639	0.1019	1.5957	gonad
TRINITY_DN113212_c0_g2_i2	NA	NA	6.434723546	-1.60136207	1.60136207	3.73E-11	3.40E-10	0.4185641	Ovary_mean	female	0.0389	0.0355	0.9134	gonad
TRINITY_DN113341_c0_g1_i2	kifap3	Chr04	6.788764576	-1.771178999	1.771178999	7.98E-10	6.05E-09	0.451796403	Ovary_mean	female	0.1436	0.213	1.4827	gonad
TRINITY_DN113395_c0_g1_i5	NA	NA	4.505185193	-1.171475676	1.171475676	0.000305627	0.000894633	0.432266336	Ovary_mean	female	0.1148	0.1701	1.4811	gonad
TRINITY_DN113530_c0_g1_i1	ccdc138	Chr02	5.992945117	-2.129459292	2.129459292	4.43E-13	5.22E-12	0.477415451	Ovary_mean	female	0.0468	0.0843	1.8017	gonad
TRINITY_DN113561_c0_g1_i1	NA	NA	3.326087167	-3.134182584	3.134182584	1.58E-13	1.95E-12	0.506135272	Ovary_mean	female	0.1627	0.2879	1.7688	gonad
TRINITY_DN113595_c0_g2_i2	NA	NA	3.509090135	-1.535225487	1.535225487	0.0000239	0.0000872	0.737328578	Ovary_mean	female	0.0922	0.1409	1.5284	gonad
TRINITY_DN113605_c0_g1_i1	NA	NA	2.146854998	-6.824035112	6.824035112	2.21E-23	7.02E-22	0.727432061	Ovary_mean	female	0.0353	0.0483	1.369	gonad
TRINITY_DN113666_c2_g3_i1	NA	NA	6.173081883	-1.74522498	1.74522498	5.06E-13	5.94E-12	0.423824905	Ovary_mean	female	0.0833	0.1134	1.3623	gonad
TRINITY_DN113753_c1_g1_i1	NA	NA	6.624168846	-1.309247607	1.309247607	0.000000133	0.000000709	0.38819218	Ovary_mean	female	0.0406	0.0656	1.617	gonad
TRINITY_DN113760_c0_g3_i2	NA	NA	5.010351901	-1.819730925	1.819730925	4.93E-08	0.000000283	0.81507379	Ovary_mean	female	0.1841	0.2909	1.5801	gonad
TRINITY_DN113809_c0_g1_i2	pvalb.1	Chr09	6.391364403	-1.356618408	1.356618408	0.0000033	0.0000139	0.267178319	Ovary_mean	female	0.1634	0.2999	1.8362	gonad
TRINITY_DN113903_c0_g1_i1	NA	NA	2.436419683	-1.769011087	1.769011087	0.00275492	0.006529025	0.714668051	Ovary_mean	female	0.1119	0.1588	1.4191	gonad
TRINITY_DN113911_c0_g2_i1	NA	NA	6.761298736	-1.767249842	1.767249842	1.17E-09	8.70E-09	0.514219095	Ovary_mean	female	0.1325	0.166	1.2531	gonad
TRINITY_DN113912_c0_g1_i1	NA	NA	4.733074838	-2.095885322	2.095885322	6.33E-11	5.59E-10	0.496332233	Ovary_mean	female	0.0109	0.0216	1.9766	gonad
TRINITY_DN113980_c0_g1_i2	swap70	Chr04	6.374915934	-2.160521006	2.160521006	3.49E-17	6.49E-16	0.471973207	Ovary_mean	female	0.0699	0.1308	1.8717	gonad
TRINITY_DN114038_c0_g1_i2	bloc1s3	Chr08	4.390956963	-7.595701555	7.595701555	2.56E-46	2.62E-44	0.854858619	Ovary_mean	female	0.1102	0.1789	1.6232	gonad
TRINITY_DN114052_c0_g1_i1	stx6	Chr04	5.935542011	-3.287453328	3.287453328	2.05E-28	9.19E-27	0.528431235	Ovary_mean	female	0.0433	0.0822	1.8971	gonad
TRINITY_DN114087_c0_g1_i2	NA	NA	2.044355278	-1.198378905	1.198378905	0.021337357	0.040278702	0.756460173	Brain_mean	female	0.0754	0.0836	1.1088	gonad
TRINITY_DN114088_c0_g1_i1	tmem206	Chr05	0.56100261	-1.734169347	1.734169347	0.00033439	0.000970517	0.471553724	Ovary_mean	female	0.0534	0.0854	1.5978	gonad
TRINITY_DN114112_c0_g1_i2	prep	Chr05	5.9269998	-1.466688888	1.466688888	3.13E-08	0.000000185	0.353647821	Ovary_mean	female	0.0533	0.0927	1.7389	gonad
TRINITY_DN114128_c0_g1_i1	NA	NA	1.075475502	-3.578035279	3.578035279	4.81E-08	0.000000276	0.746022404	Brain_mean	female	0.0183	0.0137	0.7496	gonad
TRINITY_DN114190_c0_g1_i2	NA	NA	6.020286619	-2.835944289	2.835944289	8.85E-27	3.65E-25	0.573038131	Ovary_mean	female	0.0545	0.0905	1.6614	gonad
TRINITY_DN114294_c0_g1_i1	NA	NA	3.999802003	-1.558132471	1.558132471	0.00000933	0.0000364	0.389117069	Ovary_mean	female	0.0956	0.1588	1.662	gonad
TRINITY_DN114305_c0_g2_i2	NA	NA	2.37017599	-1.52374586	1.52374586	0.001135584	0.002939281	0.689828917	Ovary_mean	female	0.1223	0.1721	1.4074	gonad
TRINITY_DN114338_c0_g2_i2	NA	NA	6.511605869	-2.274098806	2.274098806	8.51E-14	1.09E-12	0.433249892	Ovary_mean	female	0.0975	0.1516	1.5545	gonad
TRINITY_DN114344_c0_g2_i1	trabd2b	Chr04	3.92218903	-2.306279607	2.306279607	7.62E-09	4.93E-08	0.514614394	Ovary_mean	female	0.068	0.0927	1.3623	gonad
TRINITY_DN114406_c0_g1_i1	cnot11-like	Chr02	0.337578637	-1.907952792	1.907952792	0.001969193	0.004819897	0.419522589	G43_M_mean	female	0.1756	0.2695	1.5347	gonad
TRINITY_DN114426_c0_g1_i1	akt2	Chr08	0.740871533	-2.167717024	2.167717024	0.000526983	0.00146341	0.610450221	Brain_mean	female	0.0334	0.0399	1.1957	gonad
TRINITY_DN114443_c0_g1_i1	NA	NA	4.719600569	-4.959791819	4.959791819	1.61E-39	1.26E-37	0.902979599	Ovary_mean	female	0.1329	0.2534	1.9061	gonad
