gid	gname	chr	start	end	logCPM	logFC.XYtestis.XXovary	PV.XYtestis.XXovary	FDR.XYtestis.XXovary	tau	tissue	bias
TRINITY_DN101907_c0_g2_i1	NA	NA	NA	NA	0.278201454	2.557964688	2.09E-05	7.68E-05	0.777811197	Testis_mean	male
TRINITY_DN101935_c0_g2_i1	NA	NA	NA	NA	0.255733925	2.778220908	3.53E-06	1.48E-05	0.4516215	Brain_mean	male
TRINITY_DN102000_c0_g1_i1	polr1a	Chr01	15112002	15112002	4.137722113	1.662161837	2.55E-05	9.24E-05	0.411829916	Testis_mean	male
TRINITY_DN102067_c0_g2_i1	NA	NA	NA	NA	5.304397413	3.718726949	4.00E-24	1.38E-22	0.418307414	Testis_mean	male
TRINITY_DN102104_c0_g1_i1	NA	NA	NA	NA	1.148611104	3.020525917	1.63E-07	8.61E-07	0.315922318	G43_F_mean	male
TRINITY_DN102192_c0_g1_i1	NA	NA	NA	NA	0.953147981	1.157650512	0.009752191	0.020176946	0.358722229	Brain_mean	male
TRINITY_DN102252_c0_g2_i1	gucy1a2	Chr02	157285509	157285509	1.82302778	3.089467448	1.60E-08	9.90E-08	0.432400696	G23_mean	male
TRINITY_DN102300_c0_g1_i1	NA	NA	NA	NA	0.946757055	4.353418217	5.56E-12	5.65E-11	0.395879112	G23_mean	male
TRINITY_DN102429_c0_g1_i2	gdpd5	Chr02	169719095	169719095	1.129728564	1.170749141	0.016394324	0.031997228	0.311362152	G43_F_mean	male
TRINITY_DN102500_c0_g1_i1	NA	NA	NA	NA	3.07015002	1.873934767	4.02E-05	0.000140067	0.551779824	G23_mean	male
TRINITY_DN102865_c0_g1_i2	os9-like	Chr02	138049041	138049041	4.067901952	1.621113902	0.000438076	0.001237432	0.132699684	G46_M_mean	male
TRINITY_DN103145_c0_g1_i1	NA	NA	NA	NA	-0.001851322	3.918370421	7.50E-08	4.17E-07	0.623231544	Brain_mean	male
TRINITY_DN103214_c0_g1_i1	LOC100145136	Chr02	62465560	62465560	0.76931786	5.845544082	6.41E-13	7.41E-12	0.465885075	Brain_mean	male
TRINITY_DN103267_c0_g1_i1	NA	NA	NA	NA	1.25669214	1.653471792	0.004322137	0.009773879	0.373449412	Brain_mean	male
TRINITY_DN103284_c0_g1_i2	Xetrov90021170m	Chr08	62609795	62609795	0.18570937	1.484571873	0.012198604	0.02462424	0.404689827	Liver_mean	male
TRINITY_DN103501_c0_g1_i1	NA	NA	NA	NA	0.24825103	2.573896481	6.87E-06	2.74E-05	0.612779306	Brain_mean	male
TRINITY_DN103537_c0_g2_i1	gnb3	Chr07	1299936	1299936	3.368972899	2.454311237	1.49E-09	1.09E-08	0.357995971	Testis_mean	male
TRINITY_DN103544_c0_g1_i2	hdac5	Chr10	14106312	14106312	0.759796113	1.332617122	0.006376905	0.013847625	0.432859496	Brain_mean	male
TRINITY_DN103615_c0_g1_i1	cdc37l1	Chr01	115087659	115087659	6.407129192	1.657714848	1.20E-06	5.51E-06	0.172768343	G27_mean	male
TRINITY_DN103706_c0_g3_i1	NA	NA	NA	NA	1.278237014	1.46942227	0.003813847	0.008755509	0.512153567	G27_mean	male
TRINITY_DN103744_c0_g1_i2	NA	NA	NA	NA	9.35358449	1.003705207	0.000144059	0.000450695	0.145671447	G23_mean	male
TRINITY_DN103769_c0_g1_i1	NA	NA	NA	NA	6.043112637	2.202095089	5.19E-16	8.55E-15	0.141186226	Testis_mean	male
TRINITY_DN103795_c0_g1_i3	NA	NA	NA	NA	3.022838098	2.018818691	0.000230578	0.000693433	0.184532014	G43_F_mean	male
TRINITY_DN103802_c0_g1_i1	Xetrov90017885m	Chr07	31438914	31438914	0.129445336	1.720950586	0.00050583	0.001409702	0.510991825	Brain_mean	male
TRINITY_DN103830_c0_g1_i1	NA	NA	NA	NA	1.572244245	2.425991692	8.94E-05	0.000291314	0.620085212	Brain_mean	male
TRINITY_DN103833_c0_g1_i1	NA	NA	NA	NA	4.692484839	1.057573221	0.00034911	0.001007667	0.129424969	Brain_mean	male
TRINITY_DN103855_c0_g1_i1	stk16	Chr09	78602996	78602996	3.729878944	6.274621618	1.26E-27	5.42E-26	0.494297555	Testis_mean	male
TRINITY_DN103859_c0_g1_i1	dlgap1	Chr06	91641944	91641944	6.097782482	3.415362294	8.77E-12	8.72E-11	0.89255607	Testis_mean	male
TRINITY_DN103974_c0_g2_i1	pam-like	Chr01	137311916	137311916	2.272645666	1.023095632	0.013186105	0.026369873	0.359947617	G23_mean	male
TRINITY_DN103990_c0_g1_i2	NA	NA	NA	NA	1.893902888	2.443748585	0.022549314	0.042230826	0.843475154	Testis_mean	male
TRINITY_DN103997_c0_g1_i1	NA	NA	NA	NA	1.475624453	1.613869631	0.006271754	0.013635037	0.875107377	Testis_mean	male
TRINITY_DN104012_c0_g1_i1	NA	NA	NA	NA	1.755114601	2.91297825	2.03E-08	1.24E-07	0.376675843	Brain_mean	male
TRINITY_DN104090_c1_g2_i1	NA	NA	NA	NA	3.974818638	1.060346152	0.002798728	0.006621846	0.264123166	G23_mean	male
TRINITY_DN104155_c0_g1_i1	NA	NA	NA	NA	3.576899445	1.815013905	1.71E-05	6.37E-05	0.302755196	Testis_mean	male
TRINITY_DN104173_c0_g1_i1	pfkp	Chr06	12075746	12075746	4.904419402	1.762070191	5.93E-09	3.90E-08	0.258729367	Testis_mean	male
TRINITY_DN104357_c0_g1_i2	fhl2	Chr02	108159116	108159116	0.264237046	3.037599837	4.60E-07	2.26E-06	0.352443555	G46_M_mean	male
TRINITY_DN104436_c0_g1_i1	NA	NA	NA	NA	1.574965342	1.505036188	0.004700091	0.010531788	0.745717217	Testis_mean	male
TRINITY_DN104464_c0_g1_i1	NA	NA	NA	NA	2.294920789	1.111192907	0.017221437	0.033383367	0.284610212	G23_mean	male
TRINITY_DN104490_c0_g1_i1	NA	NA	NA	NA	1.386635854	6.798756121	1.01E-17	1.97E-16	0.511601913	Brain_mean	male
TRINITY_DN104532_c0_g1_i1	NA	NA	NA	NA	0.705555136	1.327324269	0.00304191	0.007133627	0.321829688	Testis_mean	male
TRINITY_DN104667_c0_g1_i3	prpf4b	Chr06	51006452	51006452	4.386314132	2.605115496	8.45E-13	9.60E-12	0.441723031	Brain_mean	male
TRINITY_DN104721_c0_g1_i1	NA	NA	NA	NA	0.193716135	3.569384035	2.84E-08	1.69E-07	0.711083498	Brain_mean	male
TRINITY_DN104783_c1_g1_i1	NA	NA	NA	NA	4.27496209	2.418416624	1.29E-06	5.88E-06	0.446792495	Testis_mean	male
TRINITY_DN105039_c0_g1_i1	aldh3b1-like.1	Chr01	138358906	138358906	3.160028223	2.507650904	1.54E-06	6.90E-06	0.436348038	G43_M_mean	male
TRINITY_DN105042_c0_g2_i1	lsm4	Chr01	84349586	84349586	3.025303105	4.281866124	3.99E-17	7.35E-16	0.380920659	G46_M_mean	male
TRINITY_DN105042_c1_g1_i2	NA	NA	NA	NA	0.1904732	3.129714307	1.24E-07	6.66E-07	0.353865477	G46_M_mean	male
TRINITY_DN105061_c0_g1_i1	NA	NA	NA	NA	2.114428284	5.240725828	5.79E-14	7.54E-13	0.313152621	G43_M_mean	male
TRINITY_DN105118_c0_g1_i1	gpr88	Chr04	98882007	98882007	0.872883327	1.331162946	0.005834127	0.012790856	0.40766242	Brain_mean	male
TRINITY_DN105198_c0_g3_i1	LOC100486956-like.1	Chr04	14163381	14163381	0.882359297	1.380509897	0.008663399	0.018184432	0.728831318	Testis_mean	male
TRINITY_DN105198_c0_g4_i1	NA	NA	NA	NA	1.605741221	1.619618364	0.008387804	0.017675029	0.701217154	Testis_mean	male
TRINITY_DN105227_c0_g1_i1	NA	NA	NA	NA	0.015978328	2.159705623	0.000365451	0.001049864	0.504982421	G27_mean	male
TRINITY_DN105250_c0_g1_i2	NA	NA	NA	NA	6.43462876	2.652420324	4.00E-20	9.66E-19	0.236135346	Brain_mean	male
TRINITY_DN105320_c0_g2_i2	krt8.2	scaffold_305	197019	197019	3.392572717	2.826429212	4.39E-10	3.44E-09	0.327073841	Brain_mean	male
TRINITY_DN105324_c0_g1_i5	NA	NA	NA	NA	8.345262009	1.369592213	3.00E-05	0.000107029	0.053961635	Testis_mean	male
TRINITY_DN105353_c0_g2_i2	mlxip	Chr01	153355295	153355295	1.854577043	2.318652607	1.28E-07	6.86E-07	0.332786701	Brain_mean	male
TRINITY_DN105438_c0_g1_i1	NA	NA	NA	NA	2.942964726	7.580893634	9.87E-25	3.53E-23	0.817707367	Brain_mean	male
TRINITY_DN105451_c0_g1_i1	LOC100497120-like	Chr02	57968526	57968526	2.130741418	1.158611468	0.015008875	0.029559165	0.246465146	G23_mean	male
TRINITY_DN105493_c0_g2_i1	NA	NA	NA	NA	6.118229852	1.616667721	2.00E-06	8.78E-06	0.236113376	Liver_mean	male
TRINITY_DN105675_c0_g2_i1	LOC100494784	Chr01	133867919	133867919	1.064846226	1.246423807	0.007716938	0.016423974	0.243327968	G43_F_mean	male
TRINITY_DN105687_c0_g2_i1	NA	NA	NA	NA	7.502950817	8.135303953	7.96E-57	1.22E-54	0.5460478	Testis_mean	male
TRINITY_DN105698_c0_g1_i1	zbtb5	Chr01	96937185	96937185	1.538261864	2.247025366	0.00316681	0.007395014	0.523108902	G46_M_mean	male
TRINITY_DN105721_c0_g1_i1	rpn1	Chr04	125087462	125087462	0.631183777	1.711812582	0.002845069	0.00671459	0.556498891	G46_M_mean	male
TRINITY_DN105730_c0_g1_i2	acap3	Chr07	69727726	69727726	0.374964158	4.737797345	6.82E-13	7.86E-12	0.719720191	Testis_mean	male
TRINITY_DN105849_c0_g1_i1	NA	NA	NA	NA	1.487504205	2.292784817	0.000394972	0.001125497	0.483764559	Brain_mean	male
TRINITY_DN105870_c0_g1_i1	NA	NA	NA	NA	1.233271247	1.369376875	0.014916317	0.029384619	0.313183404	G43_M_mean	male
TRINITY_DN105871_c0_g1_i2	NA	NA	NA	NA	0.844623743	4.742075944	9.38E-13	1.06E-11	0.653349915	Brain_mean	male
TRINITY_DN105980_c0_g3_i1	NA	NA	NA	NA	0.716644337	2.967371317	0.005490388	0.012107834	0.660673518	Brain_mean	male
TRINITY_DN105981_c0_g1_i1	NA	NA	NA	NA	1.494831575	1.583183799	0.001367966	0.003475765	0.200498841	G43_M_mean	male
TRINITY_DN105985_c0_g1_i1	NA	NA	NA	NA	0.213535756	4.580300183	1.91E-10	1.57E-09	0.566758666	G23_mean	male
TRINITY_DN106031_c0_g1_i1	LOC101734295	Chr09	54163500	54163500	2.979606209	4.128979489	2.40E-10	1.95E-09	0.361869919	G43_M_mean	male
TRINITY_DN106049_c0_g1_i2	NA	NA	NA	NA	4.574136697	5.986002178	3.84E-32	2.10E-30	0.918962759	Testis_mean	male
TRINITY_DN106049_c0_g2_i2	NA	NA	NA	NA	4.562613637	7.309017332	1.84E-57	2.86E-55	0.932671426	Testis_mean	male
TRINITY_DN106100_c0_g2_i1	mfsd9	Chr02	107322485	107322485	1.297017347	1.573892266	0.000619393	0.00169478	0.793317039	Brain_mean	male
TRINITY_DN106179_c0_g1_i1	LOC100491202-like	Chr08	24763817	24763817	2.704964486	1.75155568	0.000463058	0.001301371	0.506992845	Testis_mean	male
TRINITY_DN106256_c0_g3_i3	NA	NA	NA	NA	0.517565671	5.105187093	4.05E-10	3.20E-09	0.669676207	Liver_mean	male
TRINITY_DN106281_c0_g2_i1	NA	NA	NA	NA	2.510766779	1.080083346	0.012383513	0.024950617	0.370781255	Testis_mean	male
TRINITY_DN106338_c0_g1_i1	cdpf1-like	scaffold_214	74870	74870	2.544892041	1.038381652	0.020256558	0.038460525	0.238493234	G43_F_mean	male
TRINITY_DN106354_c0_g2_i1	NA	NA	NA	NA	0.131253939	2.291307145	0.001133605	0.002934833	0.88445697	Brain_mean	male
TRINITY_DN106368_c0_g2_i1	NA	NA	NA	NA	2.412850858	3.231381906	0.000216645	0.000655073	0.29255737	G23_mean	male
TRINITY_DN106476_c0_g1_i1	MGC147576	Chr07	27800564	27800564	6.023286428	1.345697135	1.82E-05	6.75E-05	0.338705416	Brain_mean	male
TRINITY_DN106492_c0_g1_i4	NA	NA	NA	NA	1.949123623	3.08562748	1.39E-10	1.17E-09	0.708509978	Brain_mean	male
TRINITY_DN106661_c0_g3_i1	NA	NA	NA	NA	0.872578623	3.034694158	2.05E-08	1.25E-07	0.301017774	G43_F_mean	male
TRINITY_DN106671_c0_g2_i1	NA	NA	NA	NA	3.921710074	1.02379986	0.007075348	0.015190317	0.260057796	G43_M_mean	male
TRINITY_DN106709_c0_g4_i1	wasf1	Chr05	74505560	74505560	0.55162428	3.462145597	2.78E-08	1.65E-07	0.788919182	Testis_mean	male
TRINITY_DN106733_c0_g1_i1	pik3r4	Chr06	72298837	72298837	0.792490947	1.609707729	0.000360255	0.001036785	0.75589956	Brain_mean	male
TRINITY_DN106741_c0_g1_i2	NA	NA	NA	NA	0.113736656	2.327349139	7.86E-05	0.000259046	0.445361168	Brain_mean	male
TRINITY_DN106792_c0_g1_i1	NA	NA	NA	NA	3.328891142	8.470359654	1.05E-28	4.84E-27	0.974641091	Testis_mean	male
TRINITY_DN106792_c0_g2_i1	NA	NA	NA	NA	2.553534942	7.972723532	8.60E-25	3.10E-23	0.990054344	Testis_mean	male
TRINITY_DN106792_c0_g3_i1	NA	NA	NA	NA	2.916378592	7.133484623	2.11E-26	8.39E-25	0.973194985	Testis_mean	male
TRINITY_DN106897_c0_g1_i6	LOC100494072-like	Chr09	22242672	22242672	2.515890262	3.480520943	3.15E-12	3.30E-11	0.680847772	Testis_mean	male
TRINITY_DN106937_c0_g1_i1	NA	NA	NA	NA	2.778094833	1.664536195	8.00E-05	0.000263169	0.142628733	Testis_mean	male
TRINITY_DN106961_c0_g1_i1	NA	NA	NA	NA	3.729271167	1.344902502	0.002091346	0.005088521	0.164368612	G43_F_mean	male
TRINITY_DN107048_c0_g1_i1	NA	NA	NA	NA	2.29807886	1.699387113	0.000215051	0.000650691	0.230518806	G43_M_mean	male
TRINITY_DN107048_c1_g1_i1	LOC100496659	scaffold_393	70652	70652	3.8494906	1.643902518	0.000649949	0.001770662	0.255919363	G46_M_mean	male
TRINITY_DN107077_c0_g1_i2	NA	NA	NA	NA	2.947535987	2.318882627	2.04E-06	8.96E-06	0.498340741	Liver_mean	male
TRINITY_DN107077_c0_g2_i1	ube2f	Chr09	53941475	53941475	3.074160543	4.540355185	1.58E-12	1.73E-11	0.612567054	Liver_mean	male
TRINITY_DN107120_c0_g1_i1	NA	NA	NA	NA	1.557816283	3.764181547	2.49E-09	1.75E-08	0.827572821	Testis_mean	male
TRINITY_DN107214_c0_g1_i1	vsig2	Chr07	64320564	64320564	3.535381133	2.181667614	3.76E-09	2.56E-08	0.369063085	Brain_mean	male
TRINITY_DN107257_c0_g1_i1	NA	NA	NA	NA	0.830375412	1.623084806	0.003694183	0.008504159	0.523131337	Brain_mean	male
TRINITY_DN107303_c0_g1_i1	lman1	Chr01	188111030	188111030	2.238485521	1.46804462	0.000713073	0.001924503	0.448381168	Testis_mean	male
TRINITY_DN107343_c0_g1_i1	NA	NA	NA	NA	4.262248037	1.584285855	0.001926766	0.004728136	0.580205481	G46_M_mean	male
TRINITY_DN107445_c0_g1_i2	NA	NA	NA	NA	0.729351902	1.494474997	0.020563876	0.038991516	0.555421878	Brain_mean	male
TRINITY_DN107472_c0_g1_i1	syt16-like	Chr08	81613253	81613253	2.975922116	2.396687766	2.61E-07	1.34E-06	0.460025759	Brain_mean	male
TRINITY_DN107559_c0_g1_i1	NA	NA	NA	NA	0.645937913	4.279088851	2.29E-07	1.18E-06	0.796751596	Testis_mean	male
TRINITY_DN107632_c0_g1_i1	NA	NA	NA	NA	4.507255817	3.350296983	8.19E-15	1.17E-13	0.813621772	Testis_mean	male
TRINITY_DN107659_c0_g1_i1	drosha	Chr06	54141234	54141234	6.423141376	3.755883369	6.72E-25	2.44E-23	0.342240647	Testis_mean	male
TRINITY_DN107707_c0_g1_i1	NA	NA	NA	NA	5.550519654	1.49644099	1.88E-06	8.33E-06	0.097147707	Brain_mean	male
TRINITY_DN107730_c0_g1_i1	NA	NA	NA	NA	1.249238519	1.400679761	0.002065251	0.005034258	0.470373706	Brain_mean	male
TRINITY_DN107742_c0_g1_i1	NA	NA	NA	NA	4.293079067	1.914372415	3.65E-05	0.000128213	0.72139531	Testis_mean	male
TRINITY_DN107751_c0_g1_i1	NA	NA	NA	NA	6.596002323	1.586887407	2.73E-07	1.39E-06	0.432456608	Testis_mean	male
TRINITY_DN107761_c0_g1_i1	NA	NA	NA	NA	1.373157414	1.864508024	0.000804959	0.002148843	0.447472967	Brain_mean	male
TRINITY_DN107785_c0_g1_i2	NA	NA	NA	NA	1.656895373	2.922670972	1.41E-09	1.03E-08	0.295817561	G27_mean	male
TRINITY_DN107811_c0_g1_i1	NA	NA	NA	NA	0.979700483	3.295190091	1.35E-09	9.90E-09	0.268398457	G43_F_mean	male
TRINITY_DN107817_c0_g1_i1	NA	NA	NA	NA	0.293530713	1.253685306	0.022687929	0.042465749	0.413391499	Brain_mean	male
TRINITY_DN107843_c0_g4_i1	NA	NA	NA	NA	4.691409085	2.64578214	0.006530872	0.014152001	0.338080389	Brain_mean	male
TRINITY_DN107875_c0_g1_i1	NA	NA	NA	NA	2.006108083	1.358004287	0.009331153	0.019425192	0.4167672	Liver_mean	male
TRINITY_DN107896_c0_g1_i2	LOC100495360	Chr03	83005787	83005787	4.816367987	9.962998364	1.04E-56	1.56E-54	0.874204241	Testis_mean	male
TRINITY_DN107915_c0_g1_i1	NA	NA	NA	NA	8.090933889	4.491151781	4.67E-36	3.03E-34	0.432931563	Brain_mean	male
TRINITY_DN107915_c0_g2_i1	lmo4.1	Chr04	96287951	96287951	5.85600863	3.160832113	3.08E-05	0.0001099	0.269689128	Brain_mean	male
TRINITY_DN107920_c0_g1_i1	NA	NA	NA	NA	3.334971132	1.916733386	1.19E-05	4.55E-05	0.354494159	G23_mean	male
TRINITY_DN107978_c0_g1_i1	NA	NA	NA	NA	6.789147059	1.764995222	4.09E-06	1.69E-05	0.802771689	Testis_mean	male
TRINITY_DN107988_c0_g2_i2	NA	NA	NA	NA	1.77980399	3.175214878	3.12E-08	1.84E-07	0.423636532	G46_M_mean	male
TRINITY_DN108039_c0_g1_i2	znf438	Chr06	15087516	15087516	5.308407734	2.056280141	8.53E-06	3.35E-05	0.439987367	Testis_mean	male
TRINITY_DN108068_c0_g1_i3	NA	NA	NA	NA	4.746746416	5.402008561	3.32E-35	2.11E-33	0.933481489	Testis_mean	male
TRINITY_DN108095_c0_g1_i1	NA	NA	NA	NA	1.237279484	2.397007441	3.08E-07	1.56E-06	0.759880512	G46_F_mean	male
TRINITY_DN108126_c0_g2_i2	NA	NA	NA	NA	4.240626981	2.043561267	3.18E-09	2.20E-08	0.266368866	Brain_mean	male
TRINITY_DN108152_c0_g3_i4	NA	NA	NA	NA	6.396928061	5.183029095	8.22E-15	1.17E-13	0.693810826	Testis_mean	male
TRINITY_DN108157_c0_g2_i1	NA	NA	NA	NA	0.922620695	1.561023108	0.004706967	0.01054615	0.351100493	Brain_mean	male
TRINITY_DN108162_c0_g1_i1	NA	NA	NA	NA	0.927683115	8.813156266	1.81E-11	1.73E-10	0.780175414	G46_M_mean	male
TRINITY_DN108186_c0_g2_i5	NA	NA	NA	NA	1.296543018	2.670105629	1.60E-05	5.97E-05	0.521913432	G46_M_mean	male
TRINITY_DN108191_c0_g1_i1	psat1	Chr01	120348962	120348962	2.91032198	1.09581837	0.009151514	0.019091748	0.199682149	Brain_mean	male
TRINITY_DN108227_c2_g1_i1	NA	NA	NA	NA	0.436259627	1.265045265	0.004842335	0.010816146	0.566459908	G23_mean	male
TRINITY_DN108245_c0_g1_i2	NA	NA	NA	NA	4.089609556	5.290480944	0.000184214	0.000565115	0.495166672	Testis_mean	male
TRINITY_DN108276_c0_g2_i1	NA	NA	NA	NA	7.17761571	7.285309695	1.17E-75	2.87E-73	0.680474175	Testis_mean	male
TRINITY_DN108303_c0_g1_i1	NA	NA	NA	NA	2.395515281	3.552918694	1.18E-12	1.31E-11	0.335073526	G23_mean	male
TRINITY_DN108382_c0_g3_i1	NA	NA	NA	NA	0.850052797	1.697365574	0.00178717	0.004424289	0.258416223	G46_M_mean	male
TRINITY_DN108410_c0_g1_i1	NA	NA	NA	NA	2.064830763	4.957045366	1.26E-09	9.29E-09	0.447550711	G23_mean	male
TRINITY_DN108491_c0_g1_i1	NA	NA	NA	NA	1.830429581	1.797334695	0.017895007	0.034534761	0.498915446	Liver_mean	male
TRINITY_DN108540_c0_g1_i1	NA	NA	NA	NA	2.852057541	1.861019352	4.00E-06	1.66E-05	0.276443811	Brain_mean	male
TRINITY_DN108551_c0_g1_i2	NA	NA	NA	NA	1.078129442	1.345816136	0.004578747	0.010288499	0.688632931	Brain_mean	male
TRINITY_DN108553_c0_g1_i1	nek1	Chr01	40766102	40766102	0.069039787	1.904528724	0.000396279	0.001128652	0.503805682	Brain_mean	male
TRINITY_DN10856_c0_g2_i1	NA	NA	NA	NA	0.785891295	2.28636257	4.56E-06	1.88E-05	0.464933872	Brain_mean	male
TRINITY_DN108615_c0_g2_i1	NA	NA	NA	NA	0.34489566	1.892055052	0.000209734	0.000636054	0.519894466	Brain_mean	male
TRINITY_DN108618_c0_g1_i2	lepre1	Chr07	68539357	68539357	2.780954131	1.575530115	3.67E-05	0.000128908	0.43506815	Brain_mean	male
TRINITY_DN108672_c0_g3_i2	NA	NA	NA	NA	0.674439371	4.942162612	1.20E-13	1.51E-12	0.685421756	Brain_mean	male
TRINITY_DN108703_c0_g3_i1	ppp4r1l	scaffold_249	131927	131927	1.490779735	2.896489894	3.20E-05	0.000113831	0.525089622	Testis_mean	male
TRINITY_DN108709_c0_g1_i2	NA	NA	NA	NA	9.276070398	1.941489836	2.03E-06	8.92E-06	0.748406363	Testis_mean	male
TRINITY_DN108737_c0_g1_i6	NA	NA	NA	NA	4.902391062	1.795714012	4.18E-06	1.73E-05	0.227571817	G23_mean	male
TRINITY_DN108742_c0_g1_i1	NA	NA	NA	NA	3.7009193	1.904734008	7.19E-06	2.86E-05	0.400976588	Testis_mean	male
TRINITY_DN108997_c0_g1_i1	socs3-like.1	Chr07	103921321	103921321	6.708358189	3.295472325	3.39E-12	3.53E-11	0.166963713	G27_mean	male
TRINITY_DN109025_c0_g1_i1	NA	NA	NA	NA	0.827315777	2.526345303	1.66E-05	6.19E-05	0.581603955	Testis_mean	male
TRINITY_DN109035_c0_g1_i1	NA	NA	NA	NA	1.40439944	3.227584308	2.49E-08	1.49E-07	0.585987352	Brain_mean	male
TRINITY_DN109035_c0_g2_i1	NA	NA	NA	NA	1.784484602	2.555680211	4.69E-05	0.0001613	0.404810477	Brain_mean	male
TRINITY_DN109106_c0_g1_i1	ttc18-like	Chr09	8376312	8376312	1.90569156	3.047139783	2.67E-08	1.60E-07	0.385447045	Brain_mean	male
TRINITY_DN109134_c0_g1_i1	fbxo9	Chr05	114246870	114246870	2.751611739	1.028681564	0.018710206	0.035932769	0.202369818	G23_mean	male
TRINITY_DN109149_c0_g2_i1	NA	NA	NA	NA	0.569358539	1.331228912	0.010621719	0.021772303	0.764548911	Brain_mean	male
TRINITY_DN1091_c0_g1_i1	NA	NA	NA	NA	0.142255938	3.872638838	1.29E-07	6.90E-07	0.857810998	Brain_mean	male
TRINITY_DN109203_c0_g1_i1	NA	NA	NA	NA	3.177825222	1.077200864	0.008060896	0.017075476	0.380552272	G23_mean	male
TRINITY_DN109239_c0_g1_i1	NA	NA	NA	NA	0.176193706	1.811477324	0.000503534	0.001404517	0.610071129	Brain_mean	male
TRINITY_DN109245_c0_g1_i1	NA	NA	NA	NA	0.846693027	2.396529123	0.000468207	0.00131492	0.225592991	G31_mean	male
TRINITY_DN109361_c0_g1_i1	NA	NA	NA	NA	3.836227413	2.192399479	4.91E-07	2.40E-06	0.205960337	Testis_mean	male
TRINITY_DN109423_c0_g1_i2	NA	NA	NA	NA	3.836488616	4.322486741	1.54E-22	4.55E-21	0.286800666	G43_F_mean	male
TRINITY_DN109424_c0_g2_i2	sorl1	Chr07	88174319	88174319	3.147422638	5.182808255	5.58E-24	1.89E-22	0.567522856	Testis_mean	male
TRINITY_DN109463_c0_g2_i1	Xetrov90014084m	Chr05	75743400	75743400	3.967588601	7.518771575	4.19E-39	3.21E-37	0.577102886	Testis_mean	male
TRINITY_DN109468_c0_g1_i1	NA	NA	NA	NA	1.086963563	6.081192766	1.79E-14	2.47E-13	0.400404602	G43_F_mean	male
TRINITY_DN109470_c0_g2_i1	NA	NA	NA	NA	2.242459876	5.828841351	7.45E-18	1.46E-16	0.963173808	Testis_mean	male
TRINITY_DN109555_c0_g1_i2	NA	NA	NA	NA	4.84948509	1.606433498	2.54E-06	1.10E-05	0.766137811	Testis_mean	male
TRINITY_DN109600_c0_g2_i3	aifm3-like	Chr02	40233420	40233420	5.901283467	4.275243951	7.09E-15	1.02E-13	0.373327781	G43_F_mean	male
TRINITY_DN109621_c1_g1_i1	LOC101731491	Chr09	2289258	2289258	4.809818181	2.811670021	8.38E-14	1.07E-12	0.189510144	Brain_mean	male
TRINITY_DN109640_c0_g2_i2	NA	NA	NA	NA	0.540720649	1.256831651	0.009528121	0.019775015	0.270678896	Brain_mean	male
