"gid"	"gname"	"chr"	"start"	"end"	"logCPM"	"logFC.M46.SR46"	"PV.M46.SR46"	"FDR.M46.SR46"	"Am2_463"	"Am4_461"	"Am5_461"	"Am6_462"	"ratio"
"59"	"TRINITY_DN101325_c0_g2_i1"	"pdik1l"	"Chr02"	51099186	51099186	1.81066221840519	9.88823049242675	9.00586965066829e-08	5.01686978673228e-05	3.33562906734337	1.22183884051293	-3.6607127223962	0.971775266083222	NA
"67"	"TRINITY_DN101437_c0_g1_i1"	"Xetrov90007874m"	"Chr03"	43068369	43068369	4.52737626390245	-0.17973948954767	0.646938213637137	0.999996699921271	4.6164116788771	4.34512445964948	4.65912500623939	4.46846868639336	0.978069676691158
"68"	"TRINITY_DN101457_c0_g1_i1"	"parl"	"Chr02"	48794290	48794290	4.44068832244988	0.151731574417472	0.70844423128991	0.999996699921271	4.46614399331875	4.31226246100303	4.32596561666893	4.6350916583342	1.01818032662876
"87"	"TRINITY_DN101867_c0_g1_i1"	"Xetrov90021787m"	"Chr08"	94228144	94228144	0.351984319102138	0.0561035298353964	0.940456862347326	0.999996699921271	0.103644451427006	-0.0599574993822765	0.310948504939424	0.856529954806571	0.997261548245656
"90"	"TRINITY_DN101897_c0_g1_i1"	"LOC101732531"	"Chr02"	52033540	52033540	1.80439340585404	-0.238092682137853	0.655334388538921	0.999996699921271	1.95385566252761	1.69949331296733	1.97396221507637	1.55580976927363	0.957836792812977
"99"	"TRINITY_DN101953_c0_g1_i3"	"LOC100493066"	"Chr09"	51881045	51881045	0.712888233376136	0.259901211566967	0.694637881639359	0.999996699921271	0.762661645306556	0.823012590642393	0.525697196959408	0.731273095567383	1.05890932444825
"102"	"TRINITY_DN101983_c0_g1_i1"	"rnft2-like"	"Chr01"	156104061	156104061	0.411328688641	0.814221202645096	0.304602647632853	0.999996699921271	-0.073913060229421	0.429310560998688	-0.19182890606812	1.07849166363111	1.19308572910846
"115"	"TRINITY_DN102085_c0_g1_i1"	"frg1"	"Chr01"	33503208	33503208	3.87502953469025	0.216440934301459	0.621963774123832	0.999996699921271	4.27075289992102	3.61604457857044	3.71009960985968	3.81968316499127	1.02605691150134
"119"	"TRINITY_DN102108_c0_g1_i1"	"LOC101733996"	"Chr01"	54504852	54504852	1.43201314519728	-0.0745520164244995	0.897153430196452	0.999996699921271	1.32503601312441	1.44346646295282	1.48552345342111	1.46035926753081	0.985250798909093
"129"	"TRINITY_DN102218_c0_g1_i1"	"nrros"	"Chr05"	126314495	126314495	0.50710485177732	0.230814731570956	0.754723943352978	0.999996699921271	1.09228275740418	0.391086946527921	0.34903386091118	0.0810740119914354	1.04300705147999
"130"	"TRINITY_DN102252_c0_g2_i1"	"Xetrov90010962m"	"Chr04"	36375743	36375743	3.70720762438579	0.252977112322063	0.565236800395703	0.999996699921271	3.94913974811184	3.44469260651349	3.51451605086816	3.86138240072862	1.03306127350258
"137"	"TRINITY_DN102279_c0_g1_i1"	"slc2a9"	"Chr01"	18216490	18216490	5.38038889264902	0.215229373621644	0.602608550618904	0.999996699921271	5.4554018622524	5.38912637117187	5.21642288014494	5.44858384793236	1.02417609574938
"139"	"TRINITY_DN102288_c0_g1_i1"	"pank4"	"Chr07"	81022269	81022269	1.94432331498976	-0.0406669423102704	0.937366197611857	0.999996699921271	1.90675918657802	1.8194800233093	1.97396221507637	2.06427135133002	0.992228118127509
"146"	"TRINITY_DN102362_c0_g1_i1"	"chrna1.2"	"Chr09"	61164717	61164717	4.76849355158724	0.0495601159452361	0.899378633368888	0.999996699921271	4.83342509285244	4.70003995323437	4.73119319427278	4.80596330583044	1.00579323181755
"151"	"TRINITY_DN102393_c0_g1_i1"	"kank3"	"Chr01"	82339047	82339047	3.9615059068215	-0.21019630265217	0.601533568797325	0.999996699921271	3.77650353378118	4.04935372500726	4.11561039753596	3.87625182539049	0.972363883783909
"157"	"TRINITY_DN102447_c0_g1_i1"	"tacr1"	"Chr03"	112525310	112525310	0.13818353190639	-0.483146224980443	0.528842620382242	0.999996699921271	0.017595551159279	-0.719747481523287	0.457605243178635	0.48191675533414	0.871059745112597
"160"	"TRINITY_DN102456_c0_g1_i1"	"nprl2"	"Chr04"	117508303	117508303	2.80460556689229	0.579003974123041	0.29894105590891	0.999996699921271	2.37310959501516	2.68971861346229	2.35701484099015	3.47849291265337	1.08144140694714
"161"	"TRINITY_DN102459_c0_g1_i1"	"bend5-like"	"Chr04"	84938206	84938206	1.4567994009396	0.758057419273434	0.215818939860149	0.999996699921271	1.36042314537914	1.65179434270656	0.87801222914017	1.77793693878237	1.15834973937028
"167"	"TRINITY_DN102496_c0_g2_i1"	"hoxd9"	"Chr09"	59933654	59933654	0.883311349559635	0.359026361799429	0.588192079583031	0.999996699921271	1.09228275740418	0.639549947644782	0.622164003115268	1.12902860771093	1.07739107513812
"173"	"TRINITY_DN102578_c0_g1_i1"	"LOC100490363-like"	"Chr05"	111104072	111104072	1.74837565870663	-0.283058338268499	0.59148787042201	0.999996699921271	1.67343805562261	1.7304384268545	1.94938058473939	1.61018878898638	0.950441912633087
"179"	"TRINITY_DN102661_c0_g1_i1"	"prkar2a"	"Chr04"	125970605	125970605	1.29550436594131	-0.0910641164648961	0.876438067343678	0.999996699921271	1.2887590151164	1.36675596660918	1.36058738059023	1.15364836151466	0.981903836792632
"180"	"TRINITY_DN102667_c0_g1_i1"	"ndufa5"	"Chr03"	60740001	60740001	4.65614341056408	-0.304167994715329	0.440395704099125	0.999996699921271	4.73237549176272	4.31226246100303	4.87680438181181	4.64597832286164	0.963307174738784
"181"	"TRINITY_DN102702_c0_g1_i1"	"pin1"	"Chr03"	126320129	126320129	2.90278621315125	-0.57030381009824	0.197738414601938	0.999996699921271	2.72497164599313	2.63352734727207	3.30282414912683	2.8467375574337	0.918468831375673
"188"	"TRINITY_DN102914_c0_g1_i1"	"ppm1d"	"Chr02"	88823485	88823485	1.77532842579869	0.133087177642138	0.812150159432211	0.999996699921271	2.12822474834165	1.7304384268545	1.67735026801283	1.51838392071489	1.02154316353406
"195"	"TRINITY_DN103049_c0_g4_i1"	"siglec15"	"Chr01"	193182992	193182992	4.85944394523599	0.178142487087996	0.762647451311035	0.999996699921271	3.60270164086901	4.90551449454523	4.72396509210991	5.56787285644145	0.996191215826712
"199"	"TRINITY_DN103107_c0_g1_i1"	"LOC100170590"	"Chr04"	39759800	39759800	5.8522689956381	-0.0802770614141359	0.848179232042606	0.999996699921271	5.88708056180324	5.78241148537442	5.9119100227585	5.82419387712229	0.991571653508855
"200"	"TRINITY_DN103109_c0_g1_i1"	"tln2"	"Chr03"	82008782	82008782	0.0979265183279036	0.574367734613477	0.460047443073398	0.999996699921271	0.533826890607224	0.0422382414468185	-0.305562913708575	0.0810740119914354	1.15635942505419
"203"	"TRINITY_DN103173_c1_g1_i1"	"gpr173"	"Chr08"	7652614	7652614	0.77798331301834	-0.505559329759876	0.636562421941386	0.999996699921271	1.52540317751276	0.794010247834906	1.13938384256256	-2.69564797740382	0.736506267572249
"207"	"TRINITY_DN103199_c0_g1_i1"	"rapsn"	"Chr04"	8065548	8065548	1.40308315910902	0.084376593380627	0.886709344754829	0.999996699921271	1.49388204676031	1.48034446297279	1.34182224817592	1.2931466340861	1.01611892108797
"221"	"TRINITY_DN103461_c0_g2_i2"	"crk"	"Chr02"	39470822	39470822	0.265800246399458	-0.332548896258476	0.650571069140042	0.999996699921271	0.470459911960734	0.311460463345985	0.492052906128024	-0.332244486070727	0.917606488384717
"232"	"TRINITY_DN103537_c0_g1_i1"	"pkr3"	"Chr05"	52096715	52096715	1.69746417366828	-0.132000850951981	0.81557961860631	0.999996699921271	1.90675918657802	1.26475013694818	1.79238668978377	1.76201307988586	0.972881620010549
"234"	"TRINITY_DN103542_c0_g2_i1"	"pip4k2c"	"Chr02"	137525925	137525925	1.54442626978214	-0.0101963323215912	0.98642535328186	0.999996699921271	1.83309992966715	1.66786986476786	1.55234015266507	1.02611996874167	0.991691963875262
"242"	"TRINITY_DN103584_c0_g2_i1"	"scmh1"	"Chr02"	52910601	52910601	1.08587790106751	-0.425093586498236	0.484527227036279	0.999996699921271	1.04955964714868	0.764412892128782	1.3791115656022	1.07849166363111	0.917664424871418
"243"	"TRINITY_DN103598_c0_g1_i1"	"shmt2"	"Chr02"	136537614	136537614	0.242213806658041	-0.71801329906631	0.350443688232311	0.999996699921271	0.533826890607224	0.137671188123992	0.712582783053062	-0.814925164510222	0.826128417185943
"250"	"TRINITY_DN103631_c0_g1_i1"	"Xetrov90014084m"	"Chr05"	75743400	75743400	2.06710573104879	0.109371054679299	0.846002187707251	0.999996699921271	1.49388204676031	2.45975583849291	1.9860977291953	2.1401532731838	1.00799849590683
"253"	"TRINITY_DN103653_c0_g1_i1"	"kank1"	"Chr01"	116514172	116514172	0.787839538015965	-0.414981343956097	0.520190828487658	0.999996699921271	1.00553264945817	0.391086946527921	1.07266572352338	0.594098330543275	0.913572707946143
"263"	"TRINITY_DN103714_c0_g1_i2"	"rasl10b"	"Chr02"	89552143	89552143	7.36369950107022	0.535644022213887	0.308543980124994	0.999996699921271	7.57186855309314	7.74555127157132	6.94477664622882	7.03097353961799	1.04758741355444
"268"	"TRINITY_DN103733_c0_g2_i1"	"atic"	"Chr09"	53631858	53631858	5.90169686505338	0.0573915980231375	0.893202433387177	0.999996699921271	6.02026622535558	5.83051346643325	5.85845224346497	5.89069358475261	1.00581691590044
"281"	"TRINITY_DN103813_c0_g1_i1"	"arel1"	"Chr08"	60941408	60941408	3.05783082556045	-0.388225849158321	0.395049557005482	0.999996699921271	2.61206128671354	3.2232684823526	3.33638978264522	2.94168571775117	0.941301709756261
"287"	"TRINITY_DN103834_c0_g2_i1"	"hoga1"	"Chr07"	24794514	24794514	0.318550448584754	2.12073695481824	0.0134131533038827	0.745545292731113	0.261724612501391	0.879324689941761	-1.28309080262741	0.629634044066686	1.787895909447
"289"	"TRINITY_DN103834_c0_g6_i1"	"rgs16"	"Chr04"	90076482	90076482	0.888274492644152	-1.99397211500792	0.206638281544988	0.999996699921271	1.67343805562261	-3.6607127223962	2.05684220262488	-3.6607127223962	0.310980879529207
"294"	"TRINITY_DN103855_c0_g1_i1"	"LOC101730706"	"Chr06"	42992264	42992264	3.2711746012184	0.255992312731461	0.562452332370135	0.999996699921271	3.24386505712974	3.54818957965066	3.07750404474034	3.17002314095025	1.03609093566455
"300"	"TRINITY_DN103896_c0_g1_i2"	"kif2c"	"Chr04"	72603297	72603297	3.1827421996542	-0.282181030561167	0.544620498937673	0.999996699921271	2.65544476464918	3.01283384478577	3.387606931944	3.51220221722307	0.953542592781005
"301"	"TRINITY_DN103900_c0_g1_i1"	"grpel1"	"Chr01"	20357492	20357492	4.07166176992429	-0.930339021258543	0.0987945716471339	0.999996699921271	4.60539226400377	2.832048252658	4.70389903192513	3.29701121084834	0.86541533676003
"315"	"TRINITY_DN104018_c1_g1_i1"	"reep5"	"Chr01"	134723110	134723110	3.14331255995396	0.39989914268576	0.449542029330714	0.999996699921271	2.40735063734468	3.41642626542082	2.83740593247959	3.59991688350332	1.04675589131972
"316"	"TRINITY_DN104027_c0_g1_i1"	"spats2"	"Chr02"	133622634	133622634	2.21019488487126	0.0724451560795303	0.885712541909129	0.999996699921271	2.16871219833495	2.240815323444	2.15685126760571	2.26968213677191	1.01195551128114
"319"	"TRINITY_DN104090_c1_g2_i1"	"mrpl36"	"Chr06"	36119897	36119897	2.00354219511058	0.0235216020952103	0.964048888381458	0.999996699921271	2.10754680830197	1.8194800233093	1.9860977291953	2.09001134753538	1.00346773882733
"330"	"TRINITY_DN104296_c0_g2_i1"	"rnf138"	"Chr06"	96991714	96991714	0.214597251273054	0.535327554747953	0.592185977675522	0.999996699921271	-1.91207139563752	0.429310560998688	-0.19182890606812	1.02611996874167	1.01142018187981
"338"	"TRINITY_DN104357_c0_g1_i2"	"lrrc16b"	"Chr01"	127803808	127803808	3.38714621188124	-0.599780915699782	0.156539420638808	0.999996699921271	2.9154583492363	3.32814423412567	3.80905407063251	3.34590229972021	0.917995774177298
"340"	"TRINITY_DN104402_c0_g1_i1"	"rfx7"	"Chr03"	90410528	90410528	0.698846828850872	0.0646973356059868	0.921367897068515	0.999996699921271	0.708765079856113	0.703331834464289	0.652937562510282	0.731273095567383	1.01426149627094
"347"	"TRINITY_DN104490_c0_g1_i1"	"cit"	"Chr01"	142829798	142829798	0.322619798574663	8.33379940914156	1.10570054646598e-06	0.000469791547437443	0.814617030735873	1.13198629174154	-3.6607127223962	0.0810740119914354	NA
"351"	"TRINITY_DN104527_c0_g1_i1"	"LOC100494936"	"Chr09"	33801690	33801690	2.34161827346589	0.218399413218933	0.680924581971005	0.999996699921271	2.40735063734468	2.00807942667931	2.1781644859337	2.68724998624927	1.03243697787545
"353"	"TRINITY_DN104550_c0_g2_i1"	"alg2"	"Chr06"	82192673	82192673	2.12392950289208	-0.433994967291275	0.399224606685868	0.999996699921271	1.88262156721687	1.77564606010378	2.42990165204004	2.29203253539017	0.926695693238485
"366"	"TRINITY_DN104719_c0_g2_i1"	"nsmf"	"Chr08"	264114	264114	8.75429937545961	-0.275639764147369	0.612099192665773	0.999996699921271	9.03917392411798	8.01349868782982	8.95589204551249	8.80177003616539	0.973230159590914
"371"	"TRINITY_DN104748_c0_g1_i1"	"optn"	"Chr03"	72363371	72363371	0.707778264380304	1.72944491370354	0.0479835443498682	0.999996699921271	-0.171621428381782	1.56861479349697	-0.636650167143991	0.971775266083222	1.47163035976213
"376"	"TRINITY_DN104786_c0_g1_i1"	"hoxc6"	"Chr02"	142890157	142890157	0.338318484091025	-0.519639417450344	0.46157712937539	0.999996699921271	0.184848610779158	0.502847541030452	0.683068389253205	-0.201597633974295	0.880050228917515
"377"	"TRINITY_DN104801_c0_g1_i1"	"caps2-like"	"Chr03"	51586031	51586031	1.63640034304143	-0.331783108667254	0.606917809254255	0.999996699921271	2.18853765801601	1.44346646295282	1.87301809143472	0.664315460826466	0.920322910708339
"379"	"TRINITY_DN104814_c0_g1_i1"	"ephx4"	"Chr04"	94494173	94494173	1.2659228487278	-0.159550920120695	0.789578137710091	0.999996699921271	1.13377699484819	0.985755072043845	1.3791115656022	1.49930050268049	0.965706335670683
"389"	"TRINITY_DN105001_c1_g3_i2"	"ppp6r1-like"	"Chr07"	106192611	106192611	2.74572723572571	-0.295835045100897	0.550538577754764	0.999996699921271	2.1486104974469	2.85329121393387	2.95936960673554	2.86920983802488	0.949295833458663
"390"	"TRINITY_DN105027_c0_g1_i1"	"znf319"	"Chr04"	27889132	27889132	0.983744437901053	-0.0252668461419387	0.968423620682641	0.999996699921271	1.21334812978837	0.764412892128782	1.00271195457679	0.943815459418791	0.993812888710891
"394"	"TRINITY_DN105042_c1_g1_i2"	"clec3b"	"Chr06"	63663538	63663538	1.4186758040583	-0.324824526072395	0.582135184854164	0.999996699921271	1.645021384585	1.01117956793436	1.6470985173962	1.2931466340861	0.937705146825459
"410"	"TRINITY_DN105232_c0_g1_i1"	"naa15"	"Chr01"	51694092	51694092	0.73181681684025	0.785227294503671	0.249137222831534	0.999996699921271	0.913230584044068	0.906677376057737	0.147678705951153	0.856529954806571	1.19548076391088
"420"	"TRINITY_DN105320_c0_g2_i2"	"dhx40"	"Chr02"	87110132	87110132	2.50808091408242	-0.445923472976919	0.403408157336339	0.999996699921271	1.67343805562261	2.52298431863427	2.82394677718623	2.72880501423997	0.920498886993145
"424"	"TRINITY_DN105372_c0_g1_i1"	"atl2-like"	"Chr05"	39146475	39146475	4.77553220117689	-0.746198922281001	0.0504030126150472	0.999996699921271	4.56425199565494	4.3699031802762	5.2941283295172	4.69712037107867	0.916205121956137
"429"	"TRINITY_DN105400_c0_g1_i3"	"jade3"	"Chr02"	111435547	111435547	4.42114898290849	0.192959948285084	0.630926126829563	0.999996699921271	4.38684842110883	4.44178380950308	4.27494586202537	4.56569647700964	1.02392118711119
"431"	"TRINITY_DN105428_c0_g1_i2"	"dus2"	"Chr04"	45900547	45900547	4.78897676945916	0.0643072724017054	0.875405482625476	0.999996699921271	5.08419754812833	4.592560284279	4.74017769210608	4.69292709976985	1.00591809711034
"448"	"TRINITY_DN105561_c0_g1_i1"	"efnb2"	"Chr02"	114968756	114968756	3.18519430928535	-0.339405837835368	0.44679720610026	0.999996699921271	3.40505663065656	2.73619977328635	3.42820027789681	3.07009974382598	0.949534120587215
"450"	"TRINITY_DN105601_c0_g1_i1"	"bglap2"	"Chr04"	117957392	117957392	2.97622193793378	0.0225663634897039	0.960304440600329	0.999996699921271	3.02977202601853	3.08044976325997	2.95936960673554	2.82390968901107	1.00282084397634
"452"	"TRINITY_DN105629_c0_g2_i1"	"setd1b"	"Chr01"	153526852	153526852	2.20523203701086	-0.00554972690933502	0.991221163480974	0.999996699921271	2.08656817937585	2.20820961685924	2.20955532497733	2.30307921601927	0.998250564685803
"462"	"TRINITY_DN105698_c0_g1_i1"	"fam155a"	"Chr02"	114417449	114417449	5.76447827834075	-0.130464117348859	0.770095367942586	0.999996699921271	5.89313423265827	5.27306781133729	5.8609256012545	5.93663741713978	0.983198362637655
"469"	"TRINITY_DN105758_c0_g1_i1"	"pou2af1"	"Chr07"	75286793	75286793	0.230214864576453	-0.725909176598693	0.376461417107055	0.999996699921271	0.814617030735873	-0.99545657386309	0.712582783053062	-0.201597633974295	0.807911027041242
"474"	"TRINITY_DN105787_c0_g1_i2"	"LOC100497610"	"Chr01"	70300763	70300763	1.09651433276131	0.0627991205002784	0.922350641534201	0.999996699921271	0.652776631088626	1.19989487296412	1.04972262766391	1.35814339408185	1.0043624428573
"475"	"TRINITY_DN105788_c0_g2_i1"	"prr7"	"Chr03"	36369952	36369952	0.090554716246867	0.639511594825243	0.419853615794328	0.999996699921271	0.184848610779158	0.538256560556805	-0.365979096808906	-0.140458652708464	1.17002728192274
"477"	"TRINITY_DN105833_c0_g1_i1"	"ddx27"	"Chr03"	131222064	131222064	3.40340411162878	1.97512195811457	0.00148001433246978	0.175834119840533	3.43855641166685	2.96158860166934	1.75031558512272	4.34830254522118	1.3386602626313
"479"	"TRINITY_DN105838_c0_g2_i3"	"frmpd3"	"Chr08"	16852090	16852090	7.33526946002876	0.0514709439887771	0.914932894322803	0.999996699921271	7.3227556971362	7.26657130504078	7.29652142025336	7.44849010250123	1.00451004459666
"486"	"TRINITY_DN105898_c0_g1_i1"	"lmod1-like"	"Chr02"	49143392	49143392	2.34937959591306	-0.782024066336302	0.111444411583551	0.999996699921271	1.80768671961122	2.14070056556601	2.88354810296997	2.32492201789245	0.878909929922849
"489"	"TRINITY_DN105911_c1_g2_i1"	"Xetrov90019767m"	"Chr08"	2752259	2752259	4.86555144537654	-2.02150242235313	0.000332280591130542	0.0582490199892337	4.0282823008956	4.7649988324089	6.0634850450433	2.60036698576655	0.767013959108028
"492"	"TRINITY_DN105911_c1_g5_i1"	"ntn3-like"	"Chr09"	16062790	16062790	4.7599702401469	-2.08314771230922	0.00625378736766881	0.500862433650868	3.78954369828869	4.84494238005677	5.98326899512011	1.24812945194444	0.721166640800171
"496"	"TRINITY_DN105980_c0_g1_i1"	"zc3hc1"	"Chr03"	77311568	77311568	0.876718287949323	-2.16957074316733	0.143384690505054	0.999996699921271	-3.6607127223962	-3.6607127223962	2.06830288636122	1.47996126888048	0.299101645747459
"499"	"TRINITY_DN105987_c0_g2_i2"	"cilp"	"Chr03"	117793133	117793133	1.29657837996152	1.34301738160991	0.169331270624307	0.999996699921271	0.103644451427006	2.61706234762656	0.231622029374619	0.401969722140566	1.20791380905473
"507"	"TRINITY_DN106061_c0_g1_i2"	"thibz"	"Chr03"	129283334	129283334	-0.00440871239695903	-0.355203968170108	0.628171292491355	0.999996699921271	0.017595551159279	-0.289021626346302	0.231622029374619	-0.0254443175025464	0.915069271267737
"508"	"TRINITY_DN106065_c0_g1_i2"	"trit1"	"Chr02"	86808248	86808248	4.21307702239997	0.155443724220525	0.71499954629132	0.999996699921271	3.96071512598389	4.5013088305257	4.09614739160569	4.23462401974467	1.01754171126967
"525"	"TRINITY_DN106219_c0_g3_i1"	"prss35"	"Chr05"	81019542	81019542	4.24826573692576	-0.301869938232822	0.455204993947336	0.999996699921271	4.36958443557725	3.98344367713987	4.4668541831372	4.12373128857068	0.96211235339099
"529"	"TRINITY_DN106237_c0_g1_i1"	"ddx49"	"Chr01"	100443086	100443086	0.163633151321695	-0.661757606292614	0.3611767266399	0.999996699921271	-0.512093399391839	-0.0599574993822765	0.590719691514623	0.317331167489646	0.841082674536051
"532"	"TRINITY_DN106246_c1_g1_i1"	"eogt"	"Chr04"	131516355	131516355	2.78010750252325	0.272872225983575	0.567520350878699	0.999996699921271	3.00762244835144	2.832048252658	2.5735444147041	2.67879339254955	1.04265842916546
"535"	"TRINITY_DN106265_c0_g1_i2"	"commd10"	"Chr01"	163212991	163212991	2.01577779484895	0.12411112761194	0.812486434444515	0.999996699921271	1.85807322163692	2.18605575366722	1.92437284484325	2.06427135133002	1.02001054344157
"540"	"TRINITY_DN106338_c0_g1_i1"	"ybx3"	"Chr07"	10400900	10400900	4.13834414588721	0.600503858192519	0.14931799220441	0.999996699921271	4.22828584263708	4.34512445964948	3.66928858691771	4.22303838371988	1.08133618034423
"547"	"TRINITY_DN106392_c0_g3_i1"	"plat"	"Chr03"	120239365	120239365	0.551433722049863	-0.565709302568117	0.437761694935453	0.999996699921271	0.334710582069217	-0.418814259796689	0.929192627447784	0.943815459418791	0.859992312570776
"558"	"TRINITY_DN106496_c0_g1_i1"	"srebf2"	"Chr04"	109775504	109775504	3.22751657419069	0.0540766856083963	0.90083239957822	0.999996699921271	3.39655871553878	3.2871041894238	3.18669297740641	3.01741687691322	1.00686395479973
"559"	"TRINITY_DN106502_c0_g1_i1"	"rax"	"Chr01"	188176311	188176311	2.90953878969968	0.0693950931568185	0.883522935734266	0.999996699921271	3.14586544217928	2.98101950136703	2.85736212407219	2.60929455457453	1.00839169692327
"569"	"TRINITY_DN106700_c0_g5_i1"	"ttc3-like"	"Chr02"	8541395	8541395	0.0254496350970539	-0.556675864870995	0.459509594417592	0.999996699921271	-0.38945568636094	-0.488369406443253	0.386139615651349	0.317331167489646	0.858415658337075
"586"	"TRINITY_DN106959_c0_g2_i1"	"tlk2"	"Chr10"	9034424	9034424	6.34480327337462	0.00153144652493913	0.997227684315329	0.999996699921271	6.30087734518507	6.35896798215188	6.34367093357014	6.37452405955658	1.00011183718053
"587"	"TRINITY_DN106961_c0_g1_i1"	"tm6sf2"	"Chr01"	101904360	101904360	3.99066722478342	0.039695357948819	0.929877301195449	0.999996699921271	3.76334442653293	3.67290759414614	3.96126797001753	4.43622006172892	0.999504423320661
"608"	"TRINITY_DN107217_c0_g1_i1"	"dpy19l4-like"	"Chr06"	115669394	115669394	0.451857942904699	-0.247245859659166	0.732139507087151	0.999996699921271	0.470459911960734	-0.228256747613417	0.622164003115268	0.763621505590109	0.933014856246682
"609"	"TRINITY_DN107217_c0_g2_i1"	"snx24"	"Chr01"	160897943	160897943	0.652336097035667	0.129628795279856	0.847307247983546	0.999996699921271	0.404181312530233	0.879324689941761	0.558574735005546	0.698182693835483	1.02417189271726
"611"	"TRINITY_DN107251_c0_g1_i2"	"atad2b-like"	"Chr05"	141303813	141303813	0.228152217713407	0.177955501848752	0.808315366701547	0.999996699921271	0.261724612501391	0.183120227243571	0.103801435444987	0.360271041825368	1.04371627205483
"624"	"TRINITY_DN107374_c0_g2_i1"	"apoa5"	"Chr07"	83939838	83939838	2.97086765218418	-0.315537519357908	0.490923575242373	0.999996699921271	3.10472241981892	2.56650894487924	3.19717076711221	2.94168571775117	0.952434536574615
"626"	"TRINITY_DN107397_c0_g2_i1"	"tmem220"	"Chr10"	38316583	38316583	1.71438068561932	-1.10729382813789	0.108771872289615	0.999996699921271	2.18853765801601	0.0907436711361997	2.43875893978386	1.10398141009801	0.78506258148619
"635"	"TRINITY_DN107522_c0_g2_i2"	"Xetrov90011831m"	"Chr04"	81135506	81135506	5.05691125766377	-0.30197255263815	0.474547359766149	0.999996699921271	4.59799894836364	4.94067346678847	5.27694416631093	5.2993555163205	0.962972973796052
"650"	"TRINITY_DN107703_c0_g1_i2"	"phrf1-like"	"Chr04"	39612561	39612561	1.25788218718778	0.474314832558127	0.444676818272177	0.999996699921271	1.13377699484819	1.60246424710245	0.903829372983436	1.2931466340861	1.09624183759275
"705"	"TRINITY_DN108026_c0_g1_i1"	"tpgs2"	"Chr01"	193667121	193667121	4.32222798630639	0.228363465158778	0.577090537895754	0.999996699921271	4.44980853849021	4.14720190110903	4.14837657692065	4.50719454953404	1.02813282629636
"715"	"TRINITY_DN108106_c0_g2_i1"	"tfb2m"	"Chr05"	40877746	40877746	1.96935276726151	0.507540897381024	0.384697526643993	0.999996699921271	2.56733266379843	1.74566558226569	1.58462277760707	1.80926688009679	1.08695959761702
