ID	tau	Tissue_name	gid	chr	chrone	start	end
TRINITY_DN105647_c0_g2_i1	0.856680274	Ovary_mean	ccnb1	Chr01	Chr01	173679416	173679416
TRINITY_DN105901_c0_g1_i1	0.669963522	G23_mean	neurog2	Chr01	Chr01	59432047	59432047
TRINITY_DN106065_c0_g1_i2	0.424193039	Ovary_mean	slc30a5	Chr01	Chr01	173689269	173689269
TRINITY_DN106138_c0_g2_i1	0.45282219	G46_F_mean	Xetrov90002104m	Chr01	Chr01	107767715	107767715
TRINITY_DN106366_c0_g5_i1	0.470238685	Ovary_mean	klf2	Chr01	Chr01	100271353	100271353
TRINITY_DN106368_c0_g2_i1	0.29255737	G23_mean	aplnr	Chr01	Chr01	131383517	131383517
TRINITY_DN106465_c0_g1_i1	0.170789231	Ovary_mean	cope	Chr01	Chr01	100431498	100431498
TRINITY_DN106476_c0_g1_i1	0.338705416	Brain_mean	isyna1	Chr01	Chr01	87331353	87331353
TRINITY_DN106674_c0_g1_i1	0.876354974	Ovary_mean	rplp0	Chr01	Chr01	143013157	143013157
TRINITY_DN106866_c0_g3_i1	0.741889862	G27_mean	gimd1-like	Chr01	Chr01	62758737	62758737
TRINITY_DN107447_c0_g1_i1	0.894846289	Brain_mean	qrfpr	Chr01	Chr01	62153419	62153419
TRINITY_DN107530_c1_g1_i1	0.29917091	Ovary_mean	lmnb1	Chr01	Chr01	159727673	159727673
TRINITY_DN107651_c0_g1_i1	0.87139513	Brain_mean	pou4f2	Chr01	Chr01	48700122	48700122
TRINITY_DN107783_c0_g1_i1	0.809529026	Brain_mean	tal2	Chr01	Chr01	108126762	108126762
TRINITY_DN107852_c0_g1_i2	0.358431925	Ovary_mean	kcmf1	Chr01	Chr01	75613371	75613371
TRINITY_DN107898_c0_g1_i1	0.297317259	Ovary_mean	LOC100485616	Chr01	Chr01	145759872	145759872
TRINITY_DN107990_c0_g1_i1	0.254324425	Ovary_mean	tmem161a	Chr01	Chr01	102084590	102084590
TRINITY_DN108116_c0_g2_i2	0.504567662	G23_mean	smyd1	Chr01	Chr01	15203364	15203364
TRINITY_DN108119_c0_g1_i1	0.720589822	G23_mean	acer1	Chr01	Chr01	82999836	82999836
TRINITY_DN108146_c0_g1_i2	0.178756312	Brain_mean	reep5	Chr01	Chr01	134723110	134723110
TRINITY_DN108196_c0_g1_i1	0.321595845	Ovary_mean	babam1	Chr01	Chr01	99579064	99579064
TRINITY_DN108393_c0_g1_i2	0.636551548	G43_M_mean	ebi3	Chr01	Chr01	75192396	75192396
TRINITY_DN108434_c0_g2_i2	0.747238385	Ovary_mean	siglec1	Chr01	Chr01	8069004	8069004
TRINITY_DN108517_c0_g1_i1	0.666820466	G43_M_mean	ddit4l	Chr01	Chr01	64930595	64930595
TRINITY_DN108541_c0_g1_i1	0.421416301	Ovary_mean	isca1	Chr01	Chr01	122707595	122707595
TRINITY_DN108586_c0_g1_i1	0.689308449	Brain_mean	gsx2	Chr01	Chr01	30801762	30801762
TRINITY_DN108588_c0_g1_i1	0.287791849	G43_M_mean	cmtm5	Chr01	Chr01	127540968	127540968
TRINITY_DN108653_c0_g1_i2	0.466564677	Ovary_mean	haus4	Chr01	Chr01	127979292	127979292
TRINITY_DN108688_c0_g1_i1	0.55115252	Brain_mean	snx24	Chr01	Chr01	160897943	160897943
TRINITY_DN108877_c0_g1_i2	0.514847067	G43_M_mean	LOC101734759	Chr01	Chr01	69507581	69507581
TRINITY_DN108932_c0_g1_i1	0.369166807	Ovary_mean	ell2	Chr01	Chr01	172702126	172702126
TRINITY_DN109275_c0_g1_i1	0.478059501	Ovary_mean	wdr36	Chr01	Chr01	135270707	135270707
TRINITY_DN109277_c0_g2_i3	0.278600966	G23_mean	ppic-like	Chr01	Chr01	160879452	160879452
TRINITY_DN109331_c0_g1_i1	0.249059109	Ovary_mean	slc10a7	Chr01	Chr01	48736012	48736012
TRINITY_DN109371_c1_g1_i3	0.680945649	G31_mean	gstt1-like.2	Chr01	Chr01	144545279	144545279
TRINITY_DN109423_c0_g1_i2	0.286800666	G43_F_mean	twsg2	Chr01	Chr01	127451015	127451015
TRINITY_DN109424_c0_g2_i2	0.567522856	Testis_mean	MGC147419	Chr01	Chr01	99496874	99496874
TRINITY_DN109439_c0_g1_i1	0.661453129	G27_mean	tmem252	Chr01	Chr01	116954467	116954467
TRINITY_DN109459_c0_g1_i1	0.409106994	Brain_mean	LOC100486041-like	Chr01	Chr01	65671663	65671663
TRINITY_DN109646_c1_g1_i3	0.62920725	Ovary_mean	Xetrov90001894m	Chr01	Chr01	97375445	97375445
TRINITY_DN109817_c0_g1_i1	0.499135008	Brain_mean	clock	Chr01	Chr01	31205911	31205911
TRINITY_DN109879_c0_g1_i1	0.192989636	Ovary_mean	chfr	Chr01	Chr01	147102158	147102158
TRINITY_DN109913_c0_g1_i1	0.90284786	Ovary_mean	LOC100486858	Chr01	Chr01	80401669	80401669
TRINITY_DN109948_c0_g1_i1	0.750330587	G23_mean	arhgef38	Chr01	Chr01	63098201	63098201
TRINITY_DN109980_c0_g1_i1	0.68656619	G46_M_mean	crybb2	Chr01	Chr01	139297946	139297946
TRINITY_DN109980_c1_g1_i1	0.529646518	G43_F_mean	crybb3	Chr01	Chr01	139272933	139272933
TRINITY_DN110037_c0_g1_i1	0.7576335	Ovary_mean	LOC100490930	Chr01	Chr01	182019902	182019902
TRINITY_DN110103_c0_g1_i1	0.873793545	Ovary_mean	vegt	Chr01	Chr01	144396774	144396774
TRINITY_DN110309_c0_g1_i1	0.684768921	G46_F_mean	LOC101730429	Chr01	Chr01	5360742	5360742
TRINITY_DN110371_c0_g1_i1	0.68950775	Brain_mean	gfra4	Chr01	Chr01	7416468	7416468
TRINITY_DN110479_c0_g1_i1	0.922326698	Brain_mean	lingo3-like	Chr01	Chr01	83536071	83536071
TRINITY_DN110532_c1_g1_i2	0.344649893	Ovary_mean	Xetrov90001450m	Chr01	Chr01	80470253	80470253
TRINITY_DN110679_c0_g1_i1	0.890071596	Ovary_mean	LOC100145154	Chr01	Chr01	116802093	116802093
TRINITY_DN110705_c0_g1_i1	0.402582067	Brain_mean	rnf34	Chr01	Chr01	153758327	153758327
TRINITY_DN110907_c0_g1_i2	0.492404247	G46_M_mean	ctsg	Chr01	Chr01	130426359	130426359
TRINITY_DN110955_c0_g1_i1	0.206696488	G23_mean	chchd10	Chr01	Chr01	86912587	86912587
TRINITY_DN110995_c0_g1_i1	0.291992629	Liver_mean	hpgds	Chr01	Chr01	67343868	67343868
TRINITY_DN111067_c0_g1_i1	0.462234863	Ovary_mean	apba3-like	Chr01	Chr01	74393757	74393757
TRINITY_DN111095_c0_g1_i2	0.409143313	G23_mean	LOC101733849	Chr01	Chr01	100561777	100561777
TRINITY_DN111129_c0_g1_i1	0.300833595	Ovary_mean	fbxl5	Chr01	Chr01	16988064	16988064
TRINITY_DN111341_c0_g1_i1	0.711845262	Brain_mean	yjefn3	Chr01	Chr01	101461977	101461977
TRINITY_DN111350_c0_g2_i1	0.958322339	Brain_mean	ankrd34b	Chr01	Chr01	167608666	167608666
TRINITY_DN111384_c0_g1_i1	0.258577395	G23_mean	dhrs4	Chr01	Chr01	127760029	127760029
TRINITY_DN111477_c0_g2_i1	0.504147009	Brain_mean	lrrc70	Chr01	Chr01	175999858	175999858
TRINITY_DN111667_c0_g1_i1	0.670667427	G43_F_mean	kcnv2	Chr01	Chr01	115809921	115809921
TRINITY_DN111668_c0_g1_i1	0.25054145	Ovary_mean	ncln	Chr01	Chr01	102251284	102251284
TRINITY_DN111719_c1_g1_i1	0.38321206	Ovary_mean	pgam5	Chr01	Chr01	146984769	146984769
TRINITY_DN111747_c0_g1_i1	0.273273247	Ovary_mean	smu1	Chr01	Chr01	75505026	75505026
TRINITY_DN111786_c0_g1_i2	0.688165461	Brain_mean	theg-like	Chr01	Chr01	86248597	86248597
TRINITY_DN111820_c0_g1_i5	0.520963547	Ovary_mean	dapp1	Chr01	Chr01	65208909	65208909
TRINITY_DN111980_c0_g1_i1	0.238663792	G43_M_mean	hspb8	Chr01	Chr01	157247053	157247053
TRINITY_DN112048_c0_g1_i1	0.518653891	G43_M_mean	cplx4	Chr01	Chr01	188143676	188143676
TRINITY_DN112067_c0_g1_i2	0.74132775	G31_mean	vim.2	Chr01	Chr01	11588720	11588720
TRINITY_DN112070_c0_g1_i2	0.525134438	G23_mean	hand2	Chr01	Chr01	39412802	39412802
TRINITY_DN112081_c0_g3_i7	0.302169065	Ovary_mean	tcf3	Chr01	Chr01	79654994	79654994
TRINITY_DN112124_c0_g2_i1	0.86272052	Ovary_mean	polr3g-like	Chr01	Chr01	170827700	170827700
TRINITY_DN112165_c1_g1_i2	0.089770068	Ovary_mean	arpc3	Chr01	Chr01	154163060	154163060
TRINITY_DN112362_c1_g2_i1	0.503498776	Brain_mean	isoc1	Chr01	Chr01	158912481	158912481
TRINITY_DN112453_c0_g3_i1	0.465638829	Ovary_mean	bcl7a	Chr01	Chr01	153437220	153437220
TRINITY_DN112613_c0_g1_i1	0.205223558	Ovary_mean	txnl1	Chr01	Chr01	189343310	189343310
TRINITY_DN112614_c0_g1_i1	0.607068378	G43_M_mean	jak3	Chr01	Chr01	99208866	99208866
TRINITY_DN112665_c0_g1_i1	0.178643141	G46_M_mean	fitm1	Chr01	Chr01	127250815	127250815
TRINITY_DN112678_c0_g1_i2	0.268136958	Ovary_mean	emc4	Chr01	Chr01	130581002	130581002
TRINITY_DN112753_c0_g1_i1	0.249927739	Ovary_mean	mrps18c	Chr01	Chr01	121827523	121827523
TRINITY_DN112782_c0_g1_i1	0.839163764	Brain_mean	cldn22	Chr01	Chr01	36037300	36037300
TRINITY_DN112849_c0_g1_i1	0.634771827	Ovary_mean	slc35e1	Chr01	Chr01	100115756	100115756
TRINITY_DN112911_c0_g1_i2	0.254622956	Ovary_mean	mrpl52-like	Chr01	Chr01	127865240	127865240
TRINITY_DN112933_c0_g2_i1	0.648081494	Ovary_mean	Xetrov90001975m	Chr01	Chr01	100592693	100592693
TRINITY_DN112986_c0_g1_i1	0.068818111	Brain_mean	ndufs4-like	Chr01	Chr01	179478784	179478784
TRINITY_DN113202_c0_g1_i1	0.61545555	Testis_mean	lpl	Chr01	Chr01	77718946	77718946
TRINITY_DN113317_c0_g1_i1	0.410654507	Ovary_mean	Xetrov90001375m	Chr01	Chr01	76819348	76819348
TRINITY_DN113395_c0_g1_i5	0.432266336	Ovary_mean	ogfod2	Chr01	Chr01	152771504	152771504
TRINITY_DN113403_c0_g2_i2	0.376267204	G23_mean	c5orf48	Chr01	Chr01	159749929	159749929
TRINITY_DN113466_c0_g1_i2	0.426692551	Ovary_mean	morc2	Chr01	Chr01	131453682	131453682
TRINITY_DN113473_c0_g1_i2	0.569879338	Brain_mean	znf366	Chr01	Chr01	166911909	166911909
TRINITY_DN113530_c0_g1_i1	0.477415451	Ovary_mean	rchy1	Chr01	Chr01	70186402	70186402
TRINITY_DN113809_c0_g1_i2	0.267178319	Ovary_mean	pyurf	Chr01	Chr01	58346443	58346443
TRINITY_DN114028_c1_g2_i1	0.403809479	Ovary_mean	eps15l1	Chr01	Chr01	100166932	100166932
TRINITY_DN114038_c0_g1_i2	0.854858619	Ovary_mean	atp8b3	Chr01	Chr01	79408984	79408984
TRINITY_DN114052_c0_g1_i1	0.528431235	Ovary_mean	rhof	Chr01	Chr01	153580211	153580211
TRINITY_DN114057_c0_g1_i1	0.89311938	Brain_mean	LOC100487782	Chr01	Chr01	90567902	90567902
TRINITY_DN114091_c0_g2_i3	0.4294977	G43_M_mean	hmha1	Chr01	Chr01	81200285	81200285
TRINITY_DN114317_c0_g2_i1	0.88677818	Brain_mean	dcc-like	Chr01	Chr01	190629590	190629590
TRINITY_DN114338_c0_g2_i2	0.433249892	Ovary_mean	pop5-like	Chr01	Chr01	143273044	143273044
TRINITY_DN114344_c0_g2_i1	0.514614394	Ovary_mean	gltp	Chr01	Chr01	138816845	138816845
TRINITY_DN114351_c0_g1_i1	0.697622669	Brain_mean	LOC100495287	Chr01	Chr01	90353356	90353356
TRINITY_DN114387_c0_g1_i1	0.716233795	G23_mean	mci-like	Chr01	Chr01	178830590	178830590
TRINITY_DN114443_c0_g1_i1	0.902979599	Ovary_mean	pcsk4	Chr01	Chr01	80419484	80419484
TRINITY_DN114459_c0_g1_i1	0.295048429	Ovary_mean	sf3a2	Chr01	Chr01	83626099	83626099
TRINITY_DN114526_c0_g1_i1	0.677649561	G27_mean	LOC100491155	Chr01	Chr01	110037232	110037232
TRINITY_DN114549_c0_g1_i2	0.258537099	Brain_mean	ubxn6	Chr01	Chr01	74902024	74902024
TRINITY_DN114599_c0_g1_i2	0.442087944	Brain_mean	LOC100486844	Chr01	Chr01	88996962	88996962
TRINITY_DN114618_c0_g1_i5	0.094150571	Ovary_mean	btf3	Chr01	Chr01	166514099	166514099
TRINITY_DN114647_c0_g1_i1	0.699426851	G43_M_mean	rhoh	Chr01	Chr01	27214303	27214303
TRINITY_DN114651_c0_g1_i3	0.422673948	Ovary_mean	gtf2h3	Chr01	Chr01	152363125	152363125
TRINITY_DN114720_c2_g1_i2	0.659964532	Ovary_mean	mgat4a	Chr01	Chr01	51145888	51145888
TRINITY_DN114768_c0_g1_i1	0.638128497	Brain_mean	abhd8	Chr01	Chr01	101190060	101190060
TRINITY_DN114799_c0_g1_i1	0.471985953	Ovary_mean	aga	Chr01	Chr01	38042206	38042206
TRINITY_DN114819_c0_g1_i3	0.612815151	Brain_mean	cers4-like	Chr01	Chr01	73803417	73803417
TRINITY_DN114862_c0_g1_i1	0.82256508	Testis_mean	npr3-like	Chr01	Chr01	187408914	187408914
TRINITY_DN114876_c0_g1_i1	0.390971135	Brain_mean	s100z	Chr01	Chr01	164876388	164876388
TRINITY_DN114946_c1_g6_i1	0.204336409	Liver_mean	sec11c	Chr01	Chr01	188226104	188226104
TRINITY_DN114946_c1_g7_i1	0.918377847	Brain_mean	grp	Chr01	Chr01	188197803	188197803
TRINITY_DN114964_c0_g1_i1	0.176929973	Ovary_mean	fip1l1	Chr01	Chr01	30492454	30492454
TRINITY_DN114976_c0_g1_i1	0.432127009	Ovary_mean	mmab	Chr01	Chr01	138372445	138372445
TRINITY_DN114996_c0_g2_i1	0.514363341	Liver_mean	LOC100497518	Chr01	Chr01	144188447	144188447
TRINITY_DN114997_c0_g2_i1	0.282044779	Ovary_mean	rwdd4	Chr01	Chr01	35864811	35864811
TRINITY_DN115062_c0_g1_i1	0.513958118	G23_mean	dmrt2	Chr01	Chr01	116306551	116306551
TRINITY_DN115126_c0_g1_i3	0.615544176	Brain_mean	atp6ap1l	Chr01	Chr01	168256163	168256163
TRINITY_DN115131_c0_g3_i1	0.470881265	Ovary_mean	ccnh	Chr01	Chr01	169856023	169856023
TRINITY_DN115148_c0_g1_i1	0.342192239	G23_mean	fam81b-like	Chr01	Chr01	172482617	172482617
TRINITY_DN115149_c0_g1_i2	0.52971391	G43_M_mean	dkk2	Chr01	Chr01	62532686	62532686
TRINITY_DN115184_c0_g1_i1	0.808076165	Ovary_mean	LOC100492669	Chr01	Chr01	82749838	82749838
TRINITY_DN115232_c1_g1_i1	0.161091113	G27_mean	mccc2	Chr01	Chr01	167109246	167109246
TRINITY_DN115244_c0_g1_i1	0.37472166	Ovary_mean	sh2d4a	Chr01	Chr01	77329522	77329522
TRINITY_DN115291_c0_g1_i1	0.423902936	Ovary_mean	fbxo8	Chr01	Chr01	39144104	39144104
TRINITY_DN115315_c0_g1_i1	0.487150822	Liver_mean	cyp1d1	Chr01	Chr01	118492294	118492294
TRINITY_DN115378_c1_g1_i1	0.66190265	Ovary_mean	skp2	Chr01	Chr01	184019926	184019926
TRINITY_DN115414_c0_g1_i1	0.176961158	Testis_mean	psme2	Chr01	Chr01	127210129	127210129
TRINITY_DN115470_c1_g1_i1	0.487666321	Brain_mean	pradc1	Chr01	Chr01	10441921	10441921
TRINITY_DN115511_c0_g1_i1	0.305979071	Ovary_mean	srrd	Chr01	Chr01	140229000	140229000
TRINITY_DN115536_c0_g1_i2	0.538324012	G27_mean	LOC100489862	Chr01	Chr01	73849815	73849815
TRINITY_DN115583_c1_g1_i1	0.372280698	Ovary_mean	gtf2e2	Chr01	Chr01	90074196	90074196
TRINITY_DN115590_c0_g1_i2	0.716640121	Brain_mean	ldb2	Chr01	Chr01	16710027	16710027
TRINITY_DN115618_c0_g1_i1	0.210955511	Ovary_mean	aldh7a1	Chr01	Chr01	159792883	159792883
TRINITY_DN115713_c0_g1_i1	0.740033957	Ovary_mean	tada2b	Chr01	Chr01	20365262	20365262
TRINITY_DN115720_c0_g1_i1	0.310928189	Ovary_mean	inip	Chr01	Chr01	96210940	96210940
TRINITY_DN115752_c0_g1_i1	0.458106739	Ovary_mean	ttc5	Chr01	Chr01	130450222	130450222
TRINITY_DN115755_c0_g1_i2	0.437996934	G27_mean	spon2	Chr01	Chr01	14487640	14487640
TRINITY_DN115766_c0_g2_i1	0.44234611	Brain_mean	ywhah	Chr01	Chr01	143706404	143706404
TRINITY_DN115771_c0_g1_i1	0.605481921	G43_M_mean	LOC100485344	Chr01	Chr01	103155831	103155831
TRINITY_DN115800_c0_g2_i1	0.148233251	G23_mean	rad23b	Chr01	Chr01	108461526	108461526
TRINITY_DN115909_c0_g1_i1	0.429097934	G23_mean	atoh1	Chr01	Chr01	67556131	67556131
TRINITY_DN116051_c0_g1_i1	0.355411592	G27_mean	tmem116	Chr01	Chr01	154948960	154948960
TRINITY_DN116139_c0_g2_i1	0.704210297	Testis_mean	znf367	Chr01	Chr01	124009536	124009536
TRINITY_DN116154_c0_g1_i1	0.401327765	G43_F_mean	LOC101732630	Chr01	Chr01	163694682	163694682
TRINITY_DN116177_c0_g1_i2	0.720922149	Testis_mean	rnf212	Chr01	Chr01	14518463	14518463
TRINITY_DN116186_c0_g1_i2	0.295312158	G43_M_mean	insr	Chr01	Chr01	99611132	99611132
TRINITY_DN116211_c0_g1_i1	0.445025882	G27_mean	hsd17b11	Chr01	Chr01	88820066	88820066
TRINITY_DN116229_c1_g1_i3	0.211529005	Ovary_mean	snx2-like	Chr01	Chr01	160975561	160975561
TRINITY_DN116326_c0_g1_i1	0.808869836	G23_mean	foxe1	Chr01	Chr01	95325677	95325677
TRINITY_DN116340_c0_g1_i1	0.498266433	Ovary_mean	pole-like	Chr01	Chr01	131735774	131735774
TRINITY_DN116347_c0_g1_i1	0.289838698	G43_M_mean	avd	Chr01	Chr01	167915859	167915859
TRINITY_DN116360_c0_g1_i2	0.097100677	G23_mean	ndufs7	Chr01	Chr01	80590368	80590368
TRINITY_DN116377_c0_g1_i1	0.384484551	Ovary_mean	ngdn	Chr01	Chr01	127651085	127651085
TRINITY_DN116442_c0_g3_i1	0.57871527	Brain_mean	fam222a	Chr01	Chr01	138619037	138619037
TRINITY_DN116447_c1_g3_i2	0.213501345	Testis_mean	gatc-like	Chr01	Chr01	143203540	143203540
TRINITY_DN116473_c0_g2_i2	0.593883259	Brain_mean	LOC100493155	Chr01	Chr01	144748531	144748531
TRINITY_DN116557_c0_g1_i2	0.450111219	Ovary_mean	noc4l	Chr01	Chr01	147958547	147958547
TRINITY_DN116576_c0_g1_i2	0.381469895	Ovary_mean	scarb1	Chr01	Chr01	151579205	151579205
TRINITY_DN116585_c0_g1_i1	0.288221912	Ovary_mean	LOC101734499	Chr01	Chr01	194545810	194545810
TRINITY_DN116616_c0_g1_i1	0.43751577	G43_M_mean	LOC100037859	Chr01	Chr01	90488416	90488416
TRINITY_DN116651_c0_g1_i3	0.47038272	Ovary_mean	vps33a	Chr01	Chr01	153248054	153248054
TRINITY_DN116724_c0_g7_i2	0.164432623	G23_mean	nat8b-like	Chr01	Chr01	9901794	9901794
TRINITY_DN116745_c0_g1_i1	0.089120049	G27_mean	ndufa11	Chr01	Chr01	82761107	82761107
TRINITY_DN116762_c0_g1_i1	0.475810974	Ovary_mean	prkaa1	Chr01	Chr01	182981048	182981048
TRINITY_DN116846_c0_g1_i3	0.624587987	Ovary_mean	cep78	Chr01	Chr01	120315587	120315587
TRINITY_DN116876_c0_g2_i4	0.391213743	G46_F_mean	kntc1	Chr01	Chr01	152996336	152996336
TRINITY_DN116915_c0_g1_i3	0.741341122	Ovary_mean	tstd2	Chr01	Chr01	95169014	95169014
TRINITY_DN116963_c0_g1_i1	0.415194611	Ovary_mean	wdr70	Chr01	Chr01	184283815	184283815
TRINITY_DN116966_c0_g1_i1	0.789805624	Ovary_mean	zp3.2	Chr01	Chr01	131851113	131851113
TRINITY_DN116978_c0_g1_i1	0.82321366	Ovary_mean	LOC733556	Chr01	Chr01	51640120	51640120
TRINITY_DN117015_c2_g1_i2	0.476702011	Liver_mean	cfd	Chr01	Chr01	81874550	81874550
TRINITY_DN117047_c0_g1_i1	0.651927186	Brain_mean	tmem215	Chr01	Chr01	102999014	102999014
TRINITY_DN117052_c0_g2_i1	0.873208678	Brain_mean	camk4	Chr01	Chr01	135183936	135183936
TRINITY_DN117066_c0_g1_i2	0.38758585	Liver_mean	gadd45g	Chr01	Chr01	125842551	125842551
TRINITY_DN117078_c0_g1_i2	0.744382055	Ovary_mean	stx2	Chr01	Chr01	149277828	149277828
TRINITY_DN117117_c1_g1_i2	0.455725423	Ovary_mean	mettl17	Chr01	Chr01	131000181	131000181
TRINITY_DN117149_c0_g2_i1	0.444896634	Testis_mean	mknk2	Chr01	Chr01	83933755	83933755
TRINITY_DN117173_c0_g1_i1	0.281866591	G43_M_mean	fstl3	Chr01	Chr01	86773131	86773131
TRINITY_DN117181_c0_g1_i1	0.750774643	Brain_mean	crhbp	Chr01	Chr01	164908720	164908720
TRINITY_DN117235_c0_g3_i1	0.600691797	Ovary_mean	haus8	Chr01	Chr01	99918670	99918670
TRINITY_DN117279_c0_g1_i4	0.560214314	Testis_mean	LOC100493543	Chr01	Chr01	43628302	43628302
TRINITY_DN117308_c0_g1_i1	0.566819322	G23_mean	LOC101733619	Chr01	Chr01	112765436	112765436
TRINITY_DN117328_c0_g1_i1	0.639208079	Brain_mean	lppr3	Chr01	Chr01	81892404	81892404
TRINITY_DN117330_c0_g1_i2	0.250076932	Ovary_mean	dda1	Chr01	Chr01	101222621	101222621
TRINITY_DN117356_c0_g1_i1	0.321814906	Testis_mean	Xetrov90000785m	Chr01	Chr01	39507087	39507087
TRINITY_DN117421_c0_g1_i2	0.236968026	Ovary_mean	oxct1	Chr01	Chr01	182596273	182596273
TRINITY_DN117427_c0_g1_i1	0.784637697	G23_mean	LOC100493539	Chr01	Chr01	60254920	60254920
TRINITY_DN117446_c0_g1_i2	0.697150152	Testis_mean	ddx4	Chr01	Chr01	178458618	178458618
TRINITY_DN117497_c0_g1_i2	0.345913913	Ovary_mean	brap	Chr01	Chr01	154430859	154430859
TRINITY_DN117502_c1_g2_i1	0.229778665	Liver_mean	gamt	Chr01	Chr01	80577632	80577632
TRINITY_DN117534_c0_g1_i1	0.394832596	G23_mean	spata5-like	Chr01	Chr01	56387734	56387734
TRINITY_DN117581_c0_g1_i3	0.442921752	Ovary_mean	ccdc62	Chr01	Chr01	152925967	152925967
TRINITY_DN117584_c0_g1_i1	0.509276171	Ovary_mean	jakmip1	Chr01	Chr01	19315484	19315484
TRINITY_DN117670_c1_g2_i1	0.207567497	Ovary_mean	vps37a	Chr01	Chr01	33086111	33086111
TRINITY_DN117697_c0_g1_i1	0.865305807	Brain_mean	glra3	Chr01	Chr01	38904974	38904974
TRINITY_DN117701_c0_g2_i2	0.733230881	Brain_mean	prr16	Chr01	Chr01	161564908	161564908
TRINITY_DN117710_c0_g1_i4	0.335452683	Ovary_mean	LOC100127651	Chr01	Chr01	9648232	9648232
TRINITY_DN117717_c0_g1_i1	0.678685481	G27_mean	Xetrov90002975m	Chr01	Chr01	145041385	145041385
TRINITY_DN117723_c0_g1_i1	0.578334228	Ovary_mean	spata4-like	Chr01	Chr01	38573353	38573353
TRINITY_DN117790_c0_g1_i1	0.375803576	Liver_mean	bmp3	Chr01	Chr01	76911734	76911734
TRINITY_DN117797_c0_g1_i4	0.447655347	G46_M_mean	Xetrov90000677m	Chr01	Chr01	31358862	31358862
TRINITY_DN117803_c0_g1_i2	0.470580505	Ovary_mean	dimt1	Chr01	Chr01	176073443	176073443
TRINITY_DN117832_c0_g1_i1	0.91464233	Brain_mean	fam211b	Chr01	Chr01	144116504	144116504
TRINITY_DN117851_c0_g1_i1	0.564753497	G43_M_mean	LOC101734689	Chr01	Chr01	24368691	24368691
TRINITY_DN117878_c0_g1_i1	0.692793668	Ovary_mean	paqr3	Chr01	Chr01	75965288	75965288
TRINITY_DN117886_c0_g1_i1	0.189720869	Brain_mean	golph3	Chr01	Chr01	187549554	187549554
TRINITY_DN117910_c0_g1_i1	0.657237892	Brain_mean	rem2	Chr01	Chr01	127940248	127940248
TRINITY_DN117915_c0_g1_i2	0.20917742	Ovary_mean	kiaa0368	Chr01	Chr01	95539482	95539482
TRINITY_DN117920_c0_g1_i5	0.301599585	Ovary_mean	ociad2	Chr01	Chr01	30009371	30009371
TRINITY_DN117942_c0_g1_i2	0.553459239	G23_mean	LOC100488523	Chr01	Chr01	111913053	111913053
