gid	gname	chr	start	end	logCPM	logFC.XYbrain.XXrain	PV.XYbrain.XXrain	FDR.XYbrain.XXrain	A10FB	A10MB	A12FB	A15FB	A15MB	A16FB	A16MB	A17FB	A17MB	A8MB	average	ward.D
TRINITY_DN110989_c1_g2_i1	NA	NA	NA	NA	1.13345188442269	3.76496536352564	1.21358913621711e-06	0.000644537190244909	-1.32206671698285	-0.89343670940827	-1.67661036785424	-1.65662646256596	2.17417352763636	-1.59406957651402	3.27671634864867	-0.457199525038198	2.2085967832713	-0.930998555222285	2	1
TRINITY_DN113301_c1_g1_i1	NA	NA	NA	NA	6.67108300699266	1.09394576233385	7.56334933834696e-05	0.0164626837442462	6.5637590257874	7.501390078351	5.67541257248594	4.67863420126524	7.17574525279674	6.22745212054792	7.17743444576765	6.30420108339204	6.54322501546672	7.02095969582588	2	1
TRINITY_DN113348_c0_g3_i1	wdfy2	Chr02	147090182	147090182	0.565283230788207	6.75772549672082	1.37266040317173e-20	9.1127492515563e-17	-2.11502048040547	1.93792043551394	-2.77316925856254	-2.77316925856254	1.1002697222078	-2.77316925856254	1.70864725719413	-2.77316925856253	1.55766262202178	0.856322645268889	2	1
TRINITY_DN114180_c0_g1_i1	NA	NA	NA	NA	2.22618886815291	-1.21562826957173	0.000144285132024882	0.0271736998646861	2.97107617211826	1.74892166632936	2.10756553084455	2.59508333447115	1.84162088967906	3.20304218016981	1.40277137855766	2.32811993040714	1.10063089014352	1.3599949484119	1	2
TRINITY_DN114504_c0_g2_i2	NA	NA	NA	NA	1.78972192250851	1.86774696007208	0.000282092065157353	0.0480031526571265	1.17649735670032	1.49170225323813	1.04364164127609	0.424990576501511	2.80229863592706	-0.390636412000434	1.07645354477771	0.468092665705592	1.25354684619571	3.60566510315075	3	1
TRINITY_DN114651_c0_g1_i3	NA	NA	NA	NA	4.30622518114782	-1.14899415905571	3.75367594710619e-08	5.24625604081078e-05	4.76132813620781	3.79368228387059	4.66066214974311	4.59439045578687	3.39954352659134	4.82692762162115	4.01824395200508	4.95750618931151	3.16001188562166	3.62348365330969	1	2
TRINITY_DN115328_c0_g1_i1	nfyc	Chr02	83728547	83728547	4.7270491828105	1.08962723618439	0.00013785938504545	0.0265176464773175	4.2736143142564	5.50176266316945	3.09697921598665	3.80621717392044	5.36019525447596	4.75628330154869	5.52632236574618	3.98763180194652	4.5239201806898	4.61043588477518	2	1
TRINITY_DN115861_c0_g1_i2	LOC101731073	Chr07	95710986	95710986	4.00011214883206	-1.36246871936448	9.78586249026892e-06	0.00346484771238788	3.88509591772397	2.87969742242302	4.3072320340323	4.84657252449085	2.91322407122712	5.02568124308456	4.00227062002632	4.24180421850511	2.23333064157154	3.26327419108929	1	2
TRINITY_DN115904_c0_g3_i2	vsx1	Chr05	49372262	49372262	7.16673595100258	1.03431080786901	0.000103847390066231	0.0214544584024349	6.23495720366321	7.25411001852261	6.02261870357663	6.42233103106073	8.10614578846155	7.22068632921811	7.12307693043896	6.58789670091362	7.06119551691721	8.04349791070438	3	1
TRINITY_DN116526_c0_g1_i1	NA	NA	NA	NA	2.68124453220585	-1.1194232103475	3.23315899500376e-05	0.00876087113391069	2.92363039455383	1.84651378879349	2.80202354360101	3.00136238680543	1.89665812578548	3.34984672353062	2.38711575296054	3.43864773672162	2.07813651324851	1.91728771831915	1	2
TRINITY_DN117036_c0_g1_i1	alx1	Chr03	44294726	44294726	2.77064210454913	2.59400215838286	2.93919146747619e-05	0.00813023223112816	0.584228273726539	1.17845293567227	1.30903628492061	0.956580290161962	4.50322698534552	0.701245241174284	1.19362070436754	1.34908880956582	1.74131838548661	4.74267695174293	3	1
TRINITY_DN117360_c0_g1_i1	NA	NA	NA	NA	3.25321164343206	1.8241433286808	4.44795886232001e-05	0.0108362887696246	1.85328815036485	2.34655463455888	1.99152325531728	2.1436268977025	4.27992240058122	2.58571520447256	2.77332934324278	1.71156404300483	2.92212047653461	5.11748340843536	3	1
TRINITY_DN117446_c0_g1_i2	NA	NA	NA	NA	1.60529223282634	1.96979141713391	7.60363033252069e-06	0.00301364781313562	-0.813294501305161	2.30137186275214	-0.0306884382698901	0.891617976368136	1.89665812578548	0.754937602833126	1.70864725719413	0.54205394654814	1.47711209992967	3.18143625413916	3	1
TRINITY_DN117550_c0_g1_i1	NA	NA	NA	NA	4.67044303851804	1.01454826078149	0.000138690176634284	0.0265176464773175	4.38873733403711	4.91162998317268	3.95890618706537	4.01124333882638	5.16478494605079	4.42475696274218	4.28571963858168	3.37935476041722	5.77234040822751	4.90080822438321	2	1
TRINITY_DN117634_c0_g2_i1	chrnb4	Chr03	80472595	80472595	2.38372612803957	-5.37066018816967	4.43673097863398e-05	0.0108362887696246	3.09046161168798	0.40318622229689	4.31328725353334	2.17125925993279	-2.77316925856254	-2.77316925856254	-2.77316925856253	4.13830391719295	-2.77316925856254	-2.77316925856254	1	2
TRINITY_DN117646_c0_g2_i1	NA	NA	NA	NA	2.0626327082725	1.83269384203519	8.16853244911479e-05	0.0176353966818084	0.500472866581498	1.84651378879349	1.40288247245462	0.330116730895986	2.71312252611041	1.04086776801875	1.13622625080511	1.07787508698961	2.28156146535057	3.88956392883111	3	1
TRINITY_DN117838_c2_g1_i2	NA	NA	NA	NA	1.65542702623279	-7.06084411282302	5.85689270522965e-09	1.11092704133838e-05	3.70972145994045	-2.77316925856254	-2.12312152023709	2.92225780214257	-1.80765609439667	3.25985869651852	-2.77316925856253	-1.77689034965486	-2.77316925856254	-2.77316925856254	1	2
TRINITY_DN118022_c0_g1_i1	NA	NA	NA	NA	4.8059733002185	4.32858541267098	1.63795919820456e-07	0.000135925020338506	0.87772488604333	2.76788588106429	0.984157288943019	2.25111602959805	6.52780791153185	1.6910135122143	1.85812891555844	1.02726740891468	2.28156146535057	7.29835634133518	3	1
TRINITY_DN118329_c0_g1_i1	NA	NA	NA	NA	6.17359040653528	-0.804205520258464	8.58080080620106e-06	0.00320934035786858	6.79446736299137	6.11322248360137	6.51291722577404	6.21393551930757	5.52936787537577	6.65390733332405	5.78392929757182	6.34867529485567	5.53681872992113	5.53021335102431	1	2
TRINITY_DN120105_c0_g1_i1	NA	NA	NA	NA	4.43653643522979	-0.687678832091287	0.000259377271916415	0.0447257367255871	4.81432079192909	4.15921190872123	4.46785204387369	4.85085083122196	3.91256216332224	4.95000876642927	4.11797033950714	4.54585497192733	4.10859892118649	3.96836691784443	1	2
TRINITY_DN120797_c1_g2_i1	NA	NA	NA	NA	0.26736405621996	-5.31016603231016	1.1991452357974e-06	0.000644537190244909	0.87772488604333	-1.39020271389174	2.29057296991557	-0.269039528088971	-2.77316925856254	-2.77316925856254	-2.77316925856253	1.86353393889572	-2.77316925856254	-2.77316925856254	1	2
TRINITY_DN120835_c1_g3_i1	NA	NA	NA	NA	1.40521215911371	-4.04708087910302	1.15339534217988e-07	0.000113656144509482	2.23649349891898	-0.231128441226856	3.1384957811492	1.19061413757356	-1.80765609439667	-1.59406957651402	-1.27262876740008	3.08987136150257	-1.37307727398408	-2.17185478264133	1	2
TRINITY_DN120963_c0_g1_i2	NA	NA	NA	NA	2.07003827138142	3.60248691071478	2.69738767368287e-06	0.00132646536434535	-0.813294501305161	0.40318622229689	-0.455708644414751	-0.269039528088971	3.55018123147189	0.0134939773157695	0.480457902728737	-0.778754500529083	-0.0807538988288368	4.47468873264301	3	1
TRINITY_DN120967_c0_g2_i1	NA	NA	NA	NA	4.75451831067606	1.37759703642373	2.74538172357617e-05	0.00792282657657129	4.35336526617356	4.5744620872706	3.61117274368246	3.87504799032964	5.86569258809147	3.70391458814665	4.21124659792747	3.89893192303069	4.53391013957434	6.13787581474704	3	1
TRINITY_DN120979_c0_g1_i3	NA	NA	NA	NA	8.13847464606793	1.50754518323562	4.18874480377667e-06	0.00179406642361757	6.2685756684003	7.67028351683222	7.2986373877683	7.34276642471417	9.13847850051687	7.39409402688525	8.35904823307397	7.39555854313457	8.07416228708603	9.48980181312257	3	1
TRINITY_DN121505_c1_g3_i1	NA	NA	NA	NA	2.55359798579292	1.51175212670386	0.000114937181381962	0.0229485477563759	2.49637512685467	3.64788836271382	0.857283090275744	1.29478020585026	2.78295262563692	1.9660597603168	2.75438109667241	0.804963893414642	3.62938901766873	2.20451337288381	2	1
TRINITY_DN121659_c3_g3_i2	NA	NA	NA	NA	2.91944974628114	-2.03169320080242	4.12354611021662e-07	0.000288159913044217	2.78890561554758	2.18180706717273	4.33130190096804	2.73126577776063	0.43741223077796	3.67635151883324	1.92743627794083	3.79688599390208	1.99379397137488	0.794748773159125	1	2
TRINITY_DN122021_c2_g12_i1	hoga1	Chr07	24794514	24794514	0.0303822847628765	-3.68678712622801	3.42716663000845e-06	0.00156911051482542	0.584228273726539	-2.15397820898193	1.89792395481595	-0.127651109807689	-1.59025835679578	-2.26580446714978	-2.08626181916188	1.46769961150837	-2.14426066435849	-1.7487102766279	1	2
TRINITY_DN122025_c0_g1_i3	mturn	Chr06	72716999	72716999	3.72484357178511	1.24430284427281	1.91748896987446e-05	0.00592080460407167	3.32765284640191	4.01273155890079	2.67611177003519	3.50335579602527	4.69913828076652	2.27254924741287	4.31834055260613	2.80449707663863	4.32541325249229	3.37267644978429	2	1
TRINITY_DN122048_c0_g1_i1	NA	NA	NA	NA	3.40843999813416	-5.12887724509418	3.13207233343864e-06	0.00145916106692041	4.18919550447083	1.32110143448033	5.36154608003632	3.10529234304092	-1.80765609439667	-2.77316925856254	-2.08626181916188	5.12329197665244	-1.707742125593	-1.7487102766279	1	2
TRINITY_DN122118_c0_g1_i1	NA	NA	NA	NA	7.82257594143084	1.59723512520755	3.89989575432289e-05	0.0101531109564749	6.67896541182084	9.00706275845182	6.68973071459103	6.50880328141677	8.17106751086115	7.45162552520566	8.47136695617821	6.50479312845475	8.9175250557863	5.90457709040254	2	1
TRINITY_DN122261_c0_g1_i1	NA	NA	NA	NA	1.95873106418251	3.06524828128084	3.88076354881448e-05	0.0101531109564749	-0.0117639557664139	0.0126219592782359	0.195961230726237	0.00110921222551831	3.88106581011931	-1.34781433517476	0.569873910233443	0.127265332997891	0.0363154982131574	3.91872001319099	3	1
TRINITY_DN122389_c1_g3_i1	NA	NA	NA	NA	2.77333507220133	-1.75121921746549	9.58416593896469e-06	0.00343929089877307	2.85784007799154	1.81471099777449	4.02680784008024	2.82122511071082	1.03635074687364	2.19697124796591	1.7474945868853	4.10818523138658	2.30508539814694	1.17904777830498	1	2
TRINITY_DN122660_c2_g2_i4	myl12b	Chr06	91881117	91881117	5.44084281049255	0.924277877326639	1.48631791027058e-05	0.0048202300122957	5.10048887309103	5.7573439863426	4.86821652376263	5.02754196028722	5.86339191148883	4.82064645970538	5.01171704415588	4.6870266957263	5.98389336845851	6.2525262094336	2	1
TRINITY_DN122960_c4_g4_i2	NA	NA	NA	NA	3.27462257522164	1.21968896354706	4.16790246805715e-06	0.00179406642361757	2.60061635177526	3.90358590243289	2.74940095783451	2.73126577776063	3.61725674007942	1.91979537050858	3.57551333870346	2.62894565236713	3.295367382897	4.19976076641273	2	1
TRINITY_DN123024_c0_g1_i1	LOC100496861	Chr08	57578898	57578898	2.4164902244286	-4.54884829989435	0.000196738086481589	0.0357834238802643	2.64029151345289	1.07486187046282	4.40119191746885	2.55369030828997	-2.77316925856254	-2.77316925856254	-2.77316925856253	4.13233027233852	-2.14426066435849	-2.17185478264133	1	2
TRINITY_DN123054_c2_g2_i2	NA	NA	NA	NA	2.2047810932459	1.29097297308807	4.03018097205598e-05	0.0102905245877833	1.37768574290763	2.36862622341281	1.30903628492061	1.19061413757356	2.72330758597045	1.82256281668311	2.17550729237476	1.42923608818825	3.28357386564089	2.66652211247917	2	1
TRINITY_DN123398_c4_g3_i2	NA	NA	NA	NA	1.83643791371071	-5.24004196242934	2.90228548985388e-05	0.00811265170348104	2.3840113004881	0.0126219592782359	3.77808341318543	1.43815554659451	-2.77316925856254	-2.77316925856254	-2.77316925856253	3.6624083045619	-2.77316925856254	-2.77316925856254	1	2
TRINITY_DN123558_c0_g1_i1	NA	NA	NA	NA	4.28148708307273	1.30149814278171	0.000295912648718747	0.0492374480101454	3.77355585912917	3.94089282916151	3.19205568183291	3.84961970806353	5.17037933307308	2.57082239084124	3.45159086322229	3.7272556744276	4.57319226308329	5.69094301204543	3	1
TRINITY_DN123680_c0_g1_i1	NA	NA	NA	NA	1.41103832708972	-3.42140786078759	3.35322921988007e-07	0.00024066216738896	1.468651764913	-0.104111499082771	2.86932814749693	1.52638906934232	-1.80765609439667	-0.645004114963584	-0.375694042429544	3.36923127893982	-0.87323052466268	-1.42193975490408	1	2
TRINITY_DN123754_c0_g1_i2	NA	NA	NA	NA	2.91199896096188	1.26190285221846	1.10555972594222e-05	0.00376386391312766	2.21037117128971	3.02574686462077	1.44761136889363	2.61534284176864	3.70209921159529	2.09656620916705	2.93351696568001	2.21961238920376	3.59162743376046	3.5601314426208	3	1
TRINITY_DN123918_c0_g2_i1	NA	NA	NA	NA	3.64253475834327	2.56855379642839	2.77488359178345e-05	0.00792282657657129	2.01293539973578	1.36567989905073	1.79782819622198	2.1436268977025	5.34708197135937	1.91979537050858	2.31135280933833	1.42923608818825	2.63710389191422	5.67821202920074	3	1
TRINITY_DN125115_c2_g1_i1	NA	NA	NA	NA	4.00738562689927	3.1649483136024	4.25909607364974e-05	0.0106698392675254	1.98238805848592	1.32110143448033	1.35672232185442	2.11545493272741	5.8094376995447	1.74508094621189	1.40277137855766	1.26422577797328	1.59631181600942	6.3045368643684	3	1
TRINITY_DN125191_c6_g2_i1	NA	NA	NA	NA	3.58116755573149	-3.08976850009379	1.00467130968826e-07	0.000106716186515087	3.94176520698794	2.25472816588035	5.31402186945688	3.50335579602527	1.40870007350344	1.24227933950231	1.19362070436754	5.2473135578775	-0.347936213960093	1.40189545238847	1	2
TRINITY_DN125863_c4_g1_i1	NA	NA	NA	NA	1.89269774935992	-2.59088736452066	6.87004514554089e-06	0.00276415225514907	2.36044885328972	0.963253159196755	3.45562280129805	1.90115685952118	-0.506822874327362	-0.278506454187021	0.173209561927943	3.44829723824837	-0.502711220511037	0.439955769770663	1	2
TRINITY_DN125892_c0_g1_i1	NA	NA	NA	NA	1.89164088989699	2.36868919655742	5.65832241988279e-05	0.012953168263792	0.809756619702988	2.69987425771963	-0.15893503352674	0.119313397656847	3.24552689677745	0.587466279217006	0.173209561927943	0.220312519982394	0.14459403036461	3.5785177167904	3	1
TRINITY_DN125999_c6_g3_i1	NA	NA	NA	NA	0.545563650738075	-5.62399233354686	1.19840785022237e-07	0.000113656144509482	1.00474917593333	-1.39020271389174	2.24061038587857	0.891617976368136	-2.77316925856254	-2.77316925856254	-2.77316925856253	2.36933649394818	-2.77316925856254	-2.77316925856254	1	2
TRINITY_DN126027_c5_g2_i1	ccdc92	Chr01	152187591	152187591	1.27957586259226	-4.88094963136391	3.52848633730003e-06	0.00158811787605089	2.10087834005235	-0.370417259972583	3.19205568183291	1.39192905033896	-2.0637268665255	-2.77316925856254	-2.77316925856253	2.80449707663863	-2.77316925856254	-2.77316925856254	1	2
TRINITY_DN126126_c1_g3_i1	NA	NA	NA	NA	2.0102121019943	-5.61408834038501	3.33297698627259e-07	0.00024066216738896	2.78890561554758	-0.370417259972583	3.89574353334347	1.4829467351084	-2.37527213103578	-2.77316925856254	-2.77316925856253	3.84881102034255	-2.77316925856254	-2.17185478264133	1	2
TRINITY_DN126288_c0_g1_i3	rdh10	Chr06	106259393	106259393	0.621453489680653	-1.91148810275092	3.9990478215331e-05	0.0102905245877833	1.42388559344879	-0.69726633819306	1.92980323205898	0.514008487601079	-0.327918247203267	0.0990234452866826	-0.375694042429544	1.54168053743101	-0.347936213960093	-0.565374018656425	1	2
TRINITY_DN126485_c2_g1_i2	NA	NA	NA	NA	1.76028471266674	2.14584313060332	8.57665733953197e-06	0.00320934035786858	0.316792090176423	3.25631984056678	0.984157288943019	0.823592017449885	2.32892317486703	0.179764873642151	2.98319016310685	-0.778754500529083	1.20435400533482	1.27235637345022	2	1
TRINITY_DN126719_c0_g1_i3	NA	NA	NA	NA	4.18998590846678	5.45971542366247	8.33041415042405e-10	2.21214147764511e-06	-0.0117639557664139	5.338023925686	-0.455708644414751	0.597851526328014	0.622932662324196	-0.390636412000434	-0.0752929563823724	-0.457199525038198	5.40150682463683	6.53500638076086	2	1
TRINITY_DN126888_c6_g3_i1	NA	NA	NA	NA	4.18430757346338	-1.20101321127976	2.80454038108718e-05	0.00792282657657129	4.24172742511091	3.19587923820816	4.2950448133616	4.23067090940077	4.1946463502665	4.9981150595885	3.58626854841556	5.21376167167856	2.84397442586206	3.09467534134755	1	2
TRINITY_DN126942_c1_g2_i1	NA	NA	NA	NA	1.36819438994445	3.05407070733648	3.55108282103385e-14	1.88598008625108e-10	-0.813294501305161	1.93792043551394	-0.0306884382698901	-0.425805076680588	2.43187980906088	-1.34781433517476	2.38711575296054	-0.609036775726846	2.10518943799923	1.82789841710164	2	1
TRINITY_DN127055_c1_g7_i1	NA	NA	NA	NA	3.77324221662701	1.85676422152399	0.000106203076719158	0.0216940207867479	2.33649518001789	2.93990271157217	2.13517417422985	3.20223579589018	5.44725982549314	2.30890357131548	2.71572125852986	2.64581742710719	3.10746332183793	5.30858185410804	3	1
TRINITY_DN127374_c0_g3_i1	NA	NA	NA	NA	0.358063665148576	-5.9090876371439	1.18191690199619e-08	2.09238688883393e-05	1.22948526206749	-2.15397820898193	2.33886303854453	0.514008487601079	-2.77316925856254	-2.77316925856254	-2.77316925856253	1.71156404300483	-2.14426066435849	-2.77316925856254	1	2
TRINITY_DN127522_c0_g1_i1	NA	NA	NA	NA	4.23188443883385	-1.10414815661593	1.17204948806937e-07	0.000113656144509482	4.55365180945364	3.70971538968003	4.58259546245778	4.61465962734397	3.55018123147189	4.85792966350822	4.01027939273473	4.75469458819101	3.22311530504159	3.28582841288141	1	2
TRINITY_DN127567_c6_g4_i1	NA	NA	NA	NA	1.8134944711562	-6.07470647760382	2.66200420717972e-08	4.1582071600975e-05	2.55981916511546	-0.69726633819306	3.80411665112662	1.56856141950582	-2.77316925856254	-2.26580446714978	-2.77316925856253	3.49559973987603	-2.77316925856254	-2.77316925856254	1	2
TRINITY_DN127570_c1_g1_i1	NA	NA	NA	NA	3.12230203216228	1.16288629612182	0.00029281066576024	0.0492125774003997	3.14664299073626	3.6113313923759	2.02142053365733	2.35114892278045	3.61178469914747	2.37897424827694	2.57161962914787	1.97454311915729	3.48237807866589	4.18783433986428	2	1
TRINITY_DN127631_c8_g3_i1	ctu2	Chr04	60737862	60737862	3.88894474769217	-4.61307009397688	0.000104222373711697	0.0214544584024349	4.54844783822551	2.41178151088002	5.65648416351088	3.70587049176688	-1.08471942283859	-2.26580446714978	-2.08626181916188	5.77973156177768	-2.77316925856254	-1.7487102766279	1	2
TRINITY_DN127864_c2_g3_i1	NA	NA	NA	NA	3.39340177328288	-3.96104622113042	2.55022691630682e-06	0.00127775992004769	-0.14031763843261	-0.89343670940827	4.96754466601754	-0.425805076680588	1.1002697222078	5.10276764962482	-0.755551972461725	4.93366003056558	0.511095392050883	1.13002826770344	1	2
TRINITY_DN127888_c0_g2_i1	NA	NA	NA	NA	0.96677400350444	3.56412889845329	7.66040724663464e-07	0.000452049143187517	0.316792090176423	1.74892166632936	-2.12312152023709	-2.77316925856254	1.27661081065533	-2.77316925856254	0.94892290279171	-1.45570762609487	1.30111747744842	2.84419190958535	2	1
TRINITY_DN127989_c2_g1_i1	samsn1	Chr02	22431665	22431665	0.761116907587193	-4.59874813569838	1.45659875243237e-07	0.000124774128615618	1.37768574290763	-0.89343670940827	2.40839638484101	0.597851526328014	-2.37527213103578	-1.89118924989139	-2.77316925856253	2.62894565236713	-2.77316925856254	-1.7487102766279	1	2
TRINITY_DN128095_c4_g3_i3	NA	NA	NA	NA	3.23707641860259	2.11444686384403	4.73938277446349e-05	0.0111630765042585	1.67375064253455	2.13106133787298	1.61382816403381	2.1436268977025	4.71453678938135	2.07561858721286	2.50516486406258	1.64599114183984	2.10518943799923	5.13000324429947	3	1
TRINITY_DN128367_c1_g4_i3	aqp9	Chr03	89621392	89621392	10.6733485918219	5.48643435371723	1.63881993444743e-05	0.005119866277559	3.67193508849332	6.97810354786966	4.18707328831943	6.99298725295832	12.6715225752895	7.01807174997814	4.75952449232626	6.10813794734334	5.27021816810768	13.1762777046687	3	1
TRINITY_DN128465_c0_g5_i9	sec24d-like.2	Chr07	52754568	52754568	5.79426487445915	2.51649921772787	0.000140939128510508	0.0267331325542609	5.02006043852863	3.92608562330137	3.60130858171796	3.83241506338857	7.21100562504968	3.67635151883324	3.99421714025668	3.50487693554962	3.90813119552342	8.1137309614288	3	1
TRINITY_DN128884_c3_g1_i1	pcsk4	Chr01	80419484	80419484	3.76737494911743	1.39771339027568	8.29287509180384e-05	0.0177594595211976	2.9865509107148	3.13279538262371	2.93363231378876	2.37510975654179	4.37988382217002	3.31452217661042	3.06235738652772	2.80449707663863	4.60670805468267	5.16692377080565	3	1
TRINITY_DN129262_c0_g1_i1	pcsk5	Chr01	119429662	119429662	5.97287781759919	-0.957571367943958	7.31304265785064e-07	0.000441358744952781	6.5765975603571	5.79654078265747	6.24955571427732	6.24026544639078	5.21617437085924	6.56652027129856	5.70471162242683	6.17794666935783	5.23390911079759	4.96859742569431	1	2
TRINITY_DN129474_c1_g1_i2	NA	NA	NA	NA	4.00416801644302	-0.866085900330489	2.64496717694269e-05	0.00780412259819036	4.59462131434392	3.43429138822397	4.10568019969756	4.35032836722264	3.49179971457451	4.46155481464092	3.2633752358608	4.29624987409706	3.44050636891607	3.8598064408876	1	2
TRINITY_DN129581_c0_g1_i5	NA	NA	NA	NA	4.23026082790492	-1.01034426318779	5.02545728073775e-07	0.000342182097666644	4.77920950826062	3.62972566573036	4.49474300927954	4.67381254742294	3.55018123147189	4.84560867514002	3.99421714025668	4.3843379257846	3.41910579661639	3.56935386974789	1	2
TRINITY_DN129658_c2_g4_i1	tmed4	Chr03	107880347	107880347	4.71833630797527	0.972258804318902	1.98709479788233e-05	0.00606520716755923	4.20250889635849	4.61657176542595	4.0559900336964	4.03399782480557	5.42246927666765	4.18176931295781	4.61470429975683	4.28552388048328	4.9316334489235	5.6867118214818	3	1
TRINITY_DN129733_c3_g5_i1	NA	NA	NA	NA	1.09417483737259	2.10110306739801	6.5697643298985e-08	8.72300458902273e-05	0.316792090176423	1.45090582411993	-0.0306884382698901	-0.127651109807689	1.89665812578548	-0.278506454187021	1.45064253957686	-0.971133123685277	2.1578193970766	1.6305640557677	2	1
TRINITY_DN129784_c1_g7_i1	NA	NA	NA	NA	1.8432117358073	3.04608498449804	5.84042061766303e-05	0.0132557580770976	-0.613430788596734	1.02013651966946	0.564188168535936	0.330116730895986	3.72762086429787	-2.26580446714978	3.73865754818531	-0.319831704997639	0.664471907357346	-0.273927017634589	2	1
TRINITY_DN130067_c1_g1_i1	shf	Chr03	86229697	86229697	2.99093171071199	-2.29533528439222	1.14818210929252e-06	0.000635207831505476	3.45548054134304	2.023879172753	4.45695372543167	2.80367640806715	0.533152471916389	1.48402326640849	1.49697613384076	4.52776510229196	1.63395257124356	1.3599949484119	1	2
TRINITY_DN130164_c2_g10_i1	NA	NA	NA	NA	1.99223466874711	-1.18959068775594	0.000212334889978453	0.0380983311039041	2.73495331551821	0.710228590241958	2.31492004119988	2.11545493272741	1.13119767174351	2.27254924741287	1.85812891555844	2.72733776723201	1.20435400533482	1.44261329837883	1	2
TRINITY_DN130262_c0_g1_i1	svip	scaffold_173	4529	4529	5.21187138851774	0.723964766454798	0.000172332394878191	0.0317797690693775	4.80125399375397	5.28678501905263	4.73472048650187	4.96970488522139	5.78533495386444	4.83005797723097	5.06651351067008	4.68294563848466	5.40695270828654	5.915466312364	3	1
TRINITY_DN130300_c0_g1_i3	NA	NA	NA	NA	3.19242769094609	3.07542687922336	0.00015050864080587	0.0279493493468524	1.06429947499695	0.639374635253361	0.391791020356179	1.13556784000853	5.12115835188356	1.04086776801875	-0.0752929563823724	1.30728118654383	0.664471907357346	5.37056353212027	3	1
