gid	gname	chr	start	end	logFC.XYbrain.XXrain	bias
TRINITY_DN129581_c0_g1_i5	NA	NA	NA	NA	-1.010344263	female
TRINITY_DN117550_c0_g1_i1	NA	NA	NA	NA	1.014548261	male
TRINITY_DN131154_c3_g9_i2	NA	NA	NA	NA	1.02352674	male
TRINITY_DN132123_c0_g1_i2	NA	NA	NA	NA	1.032699705	male
TRINITY_DN115904_c0_g3_i2	vsx1	Chr05	49372262	49372262	1.034310808	male
TRINITY_DN115328_c0_g1_i1	nfyc	Chr02	83728547	83728547	1.089627236	male
TRINITY_DN113301_c1_g1_i1	NA	NA	NA	NA	1.093945762	male
TRINITY_DN135618_c2_g1_i1	NA	NA	NA	NA	1.108788782	male
TRINITY_DN131220_c7_g1_i1	NA	NA	NA	NA	1.145257374	male
TRINITY_DN127570_c1_g1_i1	NA	NA	NA	NA	1.162886296	male
TRINITY_DN36259_c0_g1_i1	NA	NA	NA	NA	1.213882559	male
TRINITY_DN122960_c4_g4_i2	NA	NA	NA	NA	1.219688964	male
TRINITY_DN122025_c0_g1_i3	mturn	Chr06	72716999	72716999	1.244302844	male
TRINITY_DN123754_c0_g1_i2	NA	NA	NA	NA	1.261902852	male
TRINITY_DN134429_c5_g1_i1	ap1m1	Chr01	79874854	79874854	1.290366018	male
TRINITY_DN123054_c2_g2_i2	NA	NA	NA	NA	1.290972973	male
TRINITY_DN123558_c0_g1_i1	NA	NA	NA	NA	1.301498143	male
TRINITY_DN105267_c0_g2_i2	NA	NA	NA	NA	1.304167488	male
TRINITY_DN120967_c0_g2_i1	NA	NA	NA	NA	1.377597036	male
TRINITY_DN128884_c3_g1_i1	pcsk4	Chr01	80419484	80419484	1.39771339	male
TRINITY_DN136241_c3_g1_i3	NA	NA	NA	NA	1.421304814	male
TRINITY_DN120979_c0_g1_i3	NA	NA	NA	NA	1.507545183	male
TRINITY_DN121505_c1_g3_i1	NA	NA	NA	NA	1.511752127	male
TRINITY_DN133976_c2_g2_i1	NA	NA	NA	NA	1.513688472	male
TRINITY_DN122118_c0_g1_i1	NA	NA	NA	NA	1.597235125	male
TRINITY_DN131144_c0_g8_i1	NA	NA	NA	NA	1.822369046	male
TRINITY_DN117360_c0_g1_i1	NA	NA	NA	NA	1.824143329	male
TRINITY_DN117646_c0_g2_i1	NA	NA	NA	NA	1.832693842	male
TRINITY_DN127055_c1_g7_i1	NA	NA	NA	NA	1.856764222	male
TRINITY_DN114504_c0_g2_i2	NA	NA	NA	NA	1.86774696	male
TRINITY_DN131925_c1_g2_i3	NA	NA	NA	NA	1.929257842	male
TRINITY_DN117446_c0_g1_i2	NA	NA	NA	NA	1.969791417	male
TRINITY_DN129733_c3_g5_i1	NA	NA	NA	NA	2.101103067	male
TRINITY_DN128095_c4_g3_i3	NA	NA	NA	NA	2.114446864	male
TRINITY_DN126485_c2_g1_i2	NA	NA	NA	NA	2.145843131	male
TRINITY_DN91309_c0_g1_i2	NA	NA	NA	NA	2.211375776	male
TRINITY_DN132104_c0_g2_i3	NA	NA	NA	NA	2.34071268	male
TRINITY_DN133322_c1_g4_i1	NA	NA	NA	NA	2.34844725	male
TRINITY_DN125892_c0_g1_i1	NA	NA	NA	NA	2.368689197	male
TRINITY_DN131144_c0_g4_i3	NA	NA	NA	NA	2.414303656	male
TRINITY_DN133534_c1_g5_i1	NA	NA	NA	NA	2.445123925	male
TRINITY_DN128465_c0_g5_i9	sec24d-like.2	Chr07	52754568	52754568	2.516499218	male
TRINITY_DN134235_c0_g1_i1	hlcs-like	Chr02	8640763	8640763	2.55968872	male
TRINITY_DN123918_c0_g2_i1	NA	NA	NA	NA	2.568553796	male
TRINITY_DN117036_c0_g1_i1	alx1	Chr03	44294726	44294726	2.594002158	male
TRINITY_DN105687_c0_g1_i1	NA	NA	NA	NA	2.602896493	male
TRINITY_DN136506_c0_g1_i1	NA	NA	NA	NA	2.75855692	male
TRINITY_DN209985_c0_g1_i1	NA	NA	NA	NA	2.851946856	male
TRINITY_DN129784_c1_g7_i1	NA	NA	NA	NA	3.046084984	male
TRINITY_DN126942_c1_g2_i1	NA	NA	NA	NA	3.054070707	male
TRINITY_DN122261_c0_g1_i1	NA	NA	NA	NA	3.065248281	male
TRINITY_DN130569_c1_g1_i1	NA	NA	NA	NA	3.075211761	male
TRINITY_DN130300_c0_g1_i3	NA	NA	NA	NA	3.075426879	male
TRINITY_DN125115_c2_g1_i1	NA	NA	NA	NA	3.164948314	male
TRINITY_DN109305_c0_g2_i2	NA	NA	NA	NA	3.28503586	male
TRINITY_DN132765_c1_g1_i7	lrrc8c	Chr04	95532979	95532979	3.342023766	male
TRINITY_DN131753_c0_g4_i1	NA	NA	NA	NA	3.408313813	male
TRINITY_DN127888_c0_g2_i1	NA	NA	NA	NA	3.564128898	male
TRINITY_DN120963_c0_g1_i2	NA	NA	NA	NA	3.602486911	male
TRINITY_DN110989_c1_g2_i1	NA	NA	NA	NA	3.764965364	male
TRINITY_DN173093_c0_g1_i1	NA	NA	NA	NA	3.797952201	male
TRINITY_DN134524_c3_g3_i1	NA	NA	NA	NA	3.934725232	male
TRINITY_DN132560_c1_g7_i1	NA	NA	NA	NA	3.952960642	male
TRINITY_DN134062_c1_g1_i3	NA	NA	NA	NA	3.992205667	male
TRINITY_DN118022_c0_g1_i1	NA	NA	NA	NA	4.328585413	male
TRINITY_DN38445_c0_g1_i1	NA	NA	NA	NA	4.462716292	male
TRINITY_DN135896_c2_g3_i1	NA	NA	NA	NA	4.582599865	male
TRINITY_DN126719_c0_g1_i3	NA	NA	NA	NA	5.459715424	male
TRINITY_DN128367_c1_g4_i3	aqp9	Chr03	89621392	89621392	5.486434354	male
TRINITY_DN20122_c0_g1_i1	NA	NA	NA	NA	6.341092896	male
TRINITY_DN113348_c0_g3_i1	wdfy2	Chr02	147090182	147090182	6.757725497	male
TRINITY_DN133064_c1_g2_i1	NA	NA	NA	NA	7.879065655	male
TRINITY_DN132642_c5_g2_i1	znf703	Chr03	114950704	114950704	7.924176354	male
TRINITY_DN135864_c0_g11_i1	LOC100489188	Chr09	55654910	55654910	8.054293913	male
TRINITY_DN93756_c0_g1_i1	NA	NA	NA	NA	8.432817931	male
TRINITY_DN86341_c0_g2_i1	mreg	Chr09	53806422	53806422	9.17268586	male
