gid	gname	chr	start	end	logFC.XYbrain.XXrain	bias	tau	tissue
TRINITY_DN100681_c0_g1_i1	NA	NA	NA	NA	-0.132620197	unbias	0.115938334	Brain_mean
TRINITY_DN100684_c0_g1_i1	NA	NA	NA	NA	0.48531111	unbias	0.427145038	G23_mean
TRINITY_DN100684_c0_g3_i1	NA	NA	NA	NA	0.98788823	unbias	0.400208459	G27_mean
TRINITY_DN100706_c0_g3_i1	ubac1	scaffold_467	139410	139410	-0.134617555	unbias	0.133099765	G43_M_mean
TRINITY_DN100730_c0_g1_i1	NA	NA	NA	NA	0.374254034	unbias	0.648085663	Brain_mean
TRINITY_DN100751_c0_g1_i1	b3gat2	Chr05	91434519	91434519	-0.332184061	unbias	0.26436211	G46_M_mean
TRINITY_DN100754_c0_g1_i1	NA	NA	NA	NA	-0.062179765	unbias	0.583992164	G46_M_mean
TRINITY_DN100779_c0_g1_i1	NA	NA	NA	NA	-0.288874158	unbias	0.6313903	G27_mean
TRINITY_DN100788_c0_g1_i1	NA	NA	NA	NA	0.024656645	unbias	0.369813872	G23_mean
TRINITY_DN100789_c0_g1_i1	NA	NA	NA	NA	-0.446591649	unbias	0.353331981	Brain_mean
TRINITY_DN100822_c0_g1_i1	dpysl3	Chr03	34136739	34136739	0.219566687	unbias	0.966022632	Brain_mean
TRINITY_DN100827_c0_g1_i1	LOC100493471	Chr04	45705683	45705683	-0.184203524	unbias	0.676456736	Brain_mean
TRINITY_DN100835_c0_g1_i1	ednrb2	Chr08	44124017	44124017	0.25251502	unbias	0.482394987	G27_mean
TRINITY_DN100852_c0_g1_i1	ell2	Chr01	172702126	172702126	-0.067120508	unbias	0.508731614	Brain_mean
TRINITY_DN100856_c0_g1_i1	rgs8	Chr04	90048764	90048764	0.007651138	unbias	0.257924434	G46_F_mean
TRINITY_DN100856_c0_g2_i1	NA	NA	NA	NA	0.06450499	unbias	0.173797402	Ovary_mean
TRINITY_DN100882_c0_g1_i1	NA	NA	NA	NA	-0.255432578	unbias	0.290451992	Ovary_mean
TRINITY_DN100915_c0_g2_i1	LOC100487591	Chr04	81035890	81035890	0.742521002	unbias	0.482204543	Ovary_mean
TRINITY_DN100932_c0_g1_i1	NA	NA	NA	NA	-0.543032788	unbias	0.437994161	G46_M_mean
TRINITY_DN100963_c0_g1_i1	NA	NA	NA	NA	0.348570509	unbias	0.863007732	Brain_mean
TRINITY_DN100998_c0_g1_i1	NA	NA	NA	NA	-0.010512465	unbias	0.221386767	G43_F_mean
TRINITY_DN101035_c0_g3_i1	NA	NA	NA	NA	0.46027532	unbias	0.571382443	Ovary_mean
TRINITY_DN101038_c0_g1_i1	NA	NA	NA	NA	-0.234686419	unbias	0.717344666	Brain_mean
TRINITY_DN101042_c0_g2_i1	plcxd3	Chr01	182748621	182748621	-0.180671364	unbias	0.568551038	Ovary_mean
TRINITY_DN101047_c0_g1_i2	NA	NA	NA	NA	-0.102153438	unbias	0.674802958	Ovary_mean
TRINITY_DN101055_c0_g2_i1	NA	NA	NA	NA	0.174157862	unbias	0.595547358	Brain_mean
TRINITY_DN101070_c0_g2_i1	NA	NA	NA	NA	0.002247146	unbias	0.951964622	Brain_mean
TRINITY_DN101074_c0_g1_i1	gbas	Chr02	94271619	94271619	-0.131670177	unbias	0.194238419	G23_mean
TRINITY_DN101087_c0_g1_i1	NA	NA	NA	NA	-0.074919772	unbias	0.272358664	Ovary_mean
TRINITY_DN101111_c0_g1_i2	amdhd1	Chr03	47684352	47684352	-0.026945651	unbias	0.430844052	Ovary_mean
TRINITY_DN101115_c0_g1_i2	NA	NA	NA	NA	-0.040965713	unbias	0.795341926	Brain_mean
TRINITY_DN101145_c0_g1_i1	NA	NA	NA	NA	-0.587508467	unbias	0.789955018	Brain_mean
TRINITY_DN101150_c0_g1_i1	NA	NA	NA	NA	0.10211482	unbias	0.467467793	G23_mean
TRINITY_DN101150_c0_g2_i1	NA	NA	NA	NA	0.676119396	unbias	0.442735358	Ovary_mean
TRINITY_DN101169_c0_g1_i2	dhrs13	Chr02	26410633	26410633	0.204164925	unbias	0.647991438	Brain_mean
TRINITY_DN101175_c0_g1_i1	NA	NA	NA	NA	-0.008589749	unbias	0.93040065	Brain_mean
TRINITY_DN101211_c0_g2_i1	NA	NA	NA	NA	-0.384033313	unbias	0.695502919	Brain_mean
TRINITY_DN101211_c0_g3_i1	NA	NA	NA	NA	-0.236526863	unbias	0.79045812	Brain_mean
TRINITY_DN101217_c0_g1_i1	NA	NA	NA	NA	-0.342312182	unbias	0.22252119	Brain_mean
TRINITY_DN101232_c0_g1_i1	klhl4	Chr08	41177234	41177234	0.093480185	unbias	0.684011892	Brain_mean
TRINITY_DN101244_c0_g1_i1	NA	NA	NA	NA	0.474344211	unbias	0.359381798	Ovary_mean
TRINITY_DN101247_c0_g3_i1	NA	NA	NA	NA	0.110605147	unbias	0.638345306	Testis_mean
TRINITY_DN101269_c0_g1_i5	NA	NA	NA	NA	-0.242882995	unbias	0.424543137	G23_mean
TRINITY_DN101269_c0_g2_i1	NA	NA	NA	NA	-0.275775693	unbias	0.218768651	Brain_mean
TRINITY_DN101292_c0_g1_i3	NA	NA	NA	NA	-0.104700202	unbias	0.903083267	Brain_mean
TRINITY_DN101294_c0_g1_i1	NA	NA	NA	NA	0.303518854	unbias	0.24382234	Ovary_mean
TRINITY_DN101332_c0_g1_i1	rnf214-like	Chr07	84251433	84251433	-0.126486816	unbias	0.319042261	G46_M_mean
TRINITY_DN101356_c0_g1_i1	pdcd6ip	Chr06	82552138	82552138	0.052898494	unbias	0.608105373	Ovary_mean
TRINITY_DN101361_c0_g1_i2	qrfpr	Chr01	62153419	62153419	0.20224169	unbias	0.493693894	G23_mean
TRINITY_DN101409_c0_g1_i1	Xetrov90022469m	Chr08	116927634	116927634	-0.126091951	unbias	0.431514611	G31_mean
TRINITY_DN101432_c0_g2_i1	NA	NA	NA	NA	0.360952807	unbias	0.396883116	G27_mean
TRINITY_DN101437_c0_g1_i1	NA	NA	NA	NA	-0.121628301	unbias	0.219601614	Ovary_mean
TRINITY_DN101457_c0_g1_i1	cyb561	Chr10	7711105	7711105	0.107111481	unbias	0.456256144	Ovary_mean
TRINITY_DN101472_c0_g1_i1	NA	NA	NA	NA	0.062289491	unbias	0.450467266	Ovary_mean
TRINITY_DN101477_c0_g1_i2	echdc2	Chr04	86875102	86875102	-0.129199658	unbias	0.377335453	G46_M_mean
TRINITY_DN101481_c0_g1_i2	NA	NA	NA	NA	-0.30718635	unbias	0.253034125	Brain_mean
TRINITY_DN101483_c0_g2_i1	NA	NA	NA	NA	0.827615395	unbias	0.422296431	Brain_mean
TRINITY_DN101488_c0_g2_i2	blmh	Chr02	24132124	24132124	-0.005117627	unbias	0.155105807	G23_mean
TRINITY_DN101510_c0_g2_i1	NA	NA	NA	NA	-0.048039356	unbias	0.855898932	Brain_mean
TRINITY_DN101511_c0_g2_i1	NA	NA	NA	NA	0.366274292	unbias	0.982846647	Brain_mean
TRINITY_DN101511_c1_g1_i1	NA	NA	NA	NA	0.05729482	unbias	0.971020283	Brain_mean
TRINITY_DN101537_c1_g1_i2	casp1	Chr02	38169668	38169668	0.215502708	unbias	0.361773111	G46_F_mean
TRINITY_DN101542_c0_g1_i1	NA	NA	NA	NA	0.034137587	unbias	0.246994246	Ovary_mean
TRINITY_DN101555_c2_g1_i2	NA	NA	NA	NA	0.368818381	unbias	0.844778212	Brain_mean
TRINITY_DN101558_c0_g1_i1	LOC100492971	Chr09	8482537	8482537	0.046216965	unbias	0.408787278	Ovary_mean
TRINITY_DN101562_c0_g2_i1	plekhb2	Chr05	123326745	123326745	0.336093428	unbias	0.679525567	Brain_mean
TRINITY_DN101606_c0_g1_i1	NA	NA	NA	NA	0.952417275	unbias	0.785837547	Brain_mean
TRINITY_DN101610_c0_g2_i1	NA	NA	NA	NA	0.230562621	unbias	0.155789205	G43_F_mean
TRINITY_DN101611_c0_g3_i1	NA	NA	NA	NA	-0.18792354	unbias	0.967213468	Brain_mean
TRINITY_DN101627_c0_g2_i1	NA	NA	NA	NA	-0.020985368	unbias	0.906672024	Brain_mean
TRINITY_DN101627_c0_g3_i1	fndc3a	Chr08	44549440	44549440	0.347807606	unbias	0.928957493	Brain_mean
TRINITY_DN101630_c0_g3_i1	NA	NA	NA	NA	0.05898858	unbias	0.908828554	Brain_mean
TRINITY_DN101728_c0_g2_i1	fam172b	Chr02	101553638	101553638	0.421028978	unbias	0.42239493	G43_F_mean
TRINITY_DN101738_c0_g2_i1	NA	NA	NA	NA	0.197142738	unbias	0.356720263	Brain_mean
TRINITY_DN101739_c1_g1_i2	NA	NA	NA	NA	-0.005879192	unbias	0.332059141	G43_M_mean
TRINITY_DN101751_c0_g1_i1	LOC594879	Chr01	96973380	96973380	-0.299087069	unbias	0.488707151	Ovary_mean
TRINITY_DN101758_c0_g1_i1	NA	NA	NA	NA	-0.082533259	unbias	0.100775864	G27_mean
TRINITY_DN101767_c0_g1_i3	NA	NA	NA	NA	-0.196498918	unbias	0.744779585	Brain_mean
TRINITY_DN101791_c0_g1_i1	NA	NA	NA	NA	-0.450641964	unbias	0.719401018	Brain_mean
TRINITY_DN101795_c1_g1_i1	NA	NA	NA	NA	1.698396291	unbias	0.708996932	Brain_mean
TRINITY_DN101798_c0_g1_i1	NA	NA	NA	NA	0.050596514	unbias	0.936289038	Brain_mean
TRINITY_DN101809_c0_g1_i2	NA	NA	NA	NA	-0.178326129	unbias	0.389206888	Brain_mean
TRINITY_DN101821_c0_g1_i1	LOC100486705	Chr06	4999391	4999391	0.018594706	unbias	0.72321634	Brain_mean
TRINITY_DN101833_c0_g1_i1	NA	NA	NA	NA	-0.113114444	unbias	0.361985432	Ovary_mean
TRINITY_DN101835_c0_g3_i1	NA	NA	NA	NA	0.135868186	unbias	0.66094393	Brain_mean
TRINITY_DN101867_c0_g1_i1	NA	NA	NA	NA	-0.079888953	unbias	0.239577365	G23_mean
TRINITY_DN101869_c0_g1_i1	NA	NA	NA	NA	0.143829923	unbias	0.590899102	Brain_mean
TRINITY_DN101870_c0_g1_i1	NA	NA	NA	NA	-0.482229753	unbias	0.879403627	Brain_mean
TRINITY_DN101871_c0_g1_i1	NA	NA	NA	NA	0.205885583	unbias	0.790262005	Brain_mean
TRINITY_DN101895_c0_g1_i1	NA	NA	NA	NA	-0.214137327	unbias	0.292855113	G31_mean
TRINITY_DN101897_c0_g1_i1	copb2	Chr05	124927864	124927864	0.091190974	unbias	0.314697661	Brain_mean
TRINITY_DN101903_c0_g1_i1	ckmt1b	Chr03	97416787	97416787	0.154471183	unbias	0.426192232	Ovary_mean
TRINITY_DN101903_c0_g2_i2	arhgef12	Chr07	87356877	87356877	0.186764247	unbias	0.437470329	Ovary_mean
TRINITY_DN101924_c0_g1_i2	NA	NA	NA	NA	-0.068258096	unbias	0.290416036	G23_mean
TRINITY_DN101930_c0_g4_i3	NA	NA	NA	NA	-0.616425525	unbias	0.94726948	Brain_mean
TRINITY_DN101935_c0_g2_i1	NA	NA	NA	NA	1.62510127	unbias	0.4516215	Brain_mean
TRINITY_DN101945_c0_g2_i1	crnkl1	Chr05	24504574	24504574	-0.471340003	unbias	0.465739189	G31_mean
TRINITY_DN101950_c0_g1_i1	sgk3	Chr06	104176173	104176173	0.582963992	unbias	0.681324228	Brain_mean
TRINITY_DN101953_c0_g1_i3	NA	NA	NA	NA	-0.252395773	unbias	0.411181266	Ovary_mean
TRINITY_DN101967_c0_g1_i4	NA	NA	NA	NA	0.023697078	unbias	0.620018416	Brain_mean
TRINITY_DN102000_c0_g1_i1	NA	NA	NA	NA	0.167082445	unbias	0.411829916	Testis_mean
TRINITY_DN102016_c0_g1_i1	NA	NA	NA	NA	-0.112379027	unbias	0.313979328	Ovary_mean
TRINITY_DN10201_c0_g1_i1	NA	NA	NA	NA	0.139890983	unbias	0.724792982	G46_F_mean
TRINITY_DN102026_c0_g1_i2	NA	NA	NA	NA	-0.149009481	unbias	0.532322044	Brain_mean
TRINITY_DN102032_c0_g1_i1	NA	NA	NA	NA	0.018242672	unbias	0.821750861	Brain_mean
TRINITY_DN102065_c0_g1_i1	NA	NA	NA	NA	0.130006048	unbias	0.403031814	Ovary_mean
TRINITY_DN102067_c0_g2_i1	NA	NA	NA	NA	0.666416336	unbias	0.418307414	Testis_mean
TRINITY_DN102078_c0_g1_i1	NA	NA	NA	NA	-0.081577353	unbias	0.253002842	Ovary_mean
TRINITY_DN102078_c0_g2_i1	senp7	Chr02	101593514	101593514	-0.247547178	unbias	0.232454096	Ovary_mean
TRINITY_DN102085_c0_g1_i1	NA	NA	NA	NA	-0.0837004	unbias	0.209951272	Ovary_mean
TRINITY_DN102094_c0_g1_i1	NA	NA	NA	NA	-0.37383649	unbias	0.855450342	Brain_mean
TRINITY_DN102094_c0_g2_i1	NA	NA	NA	NA	-0.118542764	unbias	0.871260263	Brain_mean
TRINITY_DN102094_c0_g3_i1	NA	NA	NA	NA	-0.114023693	unbias	0.783130121	Brain_mean
TRINITY_DN102104_c0_g1_i1	camkk2-like	Chr01	153827883	153827883	0.034371575	unbias	0.315922318	G43_F_mean
TRINITY_DN102108_c0_g1_i1	NA	NA	NA	NA	0.098196942	unbias	0.475950957	Ovary_mean
TRINITY_DN102158_c0_g1_i1	idh3b	scaffold_202	424463	424463	-0.122050275	unbias	0.219737896	Ovary_mean
TRINITY_DN102159_c0_g1_i2	NA	NA	NA	NA	-0.063311811	unbias	0.429824349	Liver_mean
TRINITY_DN102162_c0_g1_i1	NA	NA	NA	NA	-0.286516878	unbias	0.452032675	Ovary_mean
TRINITY_DN102167_c0_g1_i2	NA	NA	NA	NA	0.120052827	unbias	0.278699067	Ovary_mean
TRINITY_DN102192_c0_g1_i1	NA	NA	NA	NA	-0.564260494	unbias	0.358722229	Brain_mean
TRINITY_DN102193_c0_g2_i1	NA	NA	NA	NA	-0.107647176	unbias	0.414616606	Brain_mean
TRINITY_DN102198_c0_g1_i3	sec22b	Chr04	107751288	107751288	-0.312822541	unbias	0.893616742	Brain_mean
TRINITY_DN102201_c0_g1_i1	NA	NA	NA	NA	0.050679237	unbias	0.357658707	Ovary_mean
TRINITY_DN102218_c0_g1_i1	zdhhc13	scaffold_299	109734	109734	-0.175670289	unbias	0.256674623	Liver_mean
TRINITY_DN102252_c0_g2_i1	NA	NA	NA	NA	0.189574486	unbias	0.432400696	G23_mean
TRINITY_DN102253_c0_g2_i3	NA	NA	NA	NA	-0.615034348	unbias	0.462894762	Brain_mean
TRINITY_DN102260_c0_g1_i2	ube2g2	Chr09	50283188	50283188	0.033695559	unbias	0.783370059	Brain_mean
TRINITY_DN102272_c0_g1_i1	hmgb1	Chr02	151219853	151219853	0.023301909	unbias	0.421140065	Ovary_mean
TRINITY_DN102276_c0_g1_i1	NA	NA	NA	NA	-0.52143445	unbias	0.615566053	G43_F_mean
TRINITY_DN102279_c0_g1_i1	NA	NA	NA	NA	0.140905539	unbias	0.132303324	G23_mean
TRINITY_DN102279_c0_g2_i1	NA	NA	NA	NA	0.176771778	unbias	0.156069923	G46_F_mean
TRINITY_DN102296_c0_g1_i2	NA	NA	NA	NA	-0.5929436	unbias	0.633591173	Brain_mean
TRINITY_DN102300_c0_g1_i1	NA	NA	NA	NA	1.373720777	unbias	0.395879112	G23_mean
TRINITY_DN102302_c0_g2_i1	tanc2	Chr10	7622183	7622183	0.119105623	unbias	0.24799125	Brain_mean
TRINITY_DN102314_c0_g1_i1	NA	NA	NA	NA	0.810786728	unbias	0.648250366	Brain_mean
TRINITY_DN102362_c0_g1_i1	nkx2-2	Chr05	25239851	25239851	-0.122295432	unbias	0.221581925	Ovary_mean
TRINITY_DN102365_c0_g1_i1	NA	NA	NA	NA	-0.133970237	unbias	0.485979641	Ovary_mean
TRINITY_DN102367_c0_g1_i2	NA	NA	NA	NA	-0.095829605	unbias	0.479030197	G43_M_mean
TRINITY_DN102370_c0_g1_i1	NA	NA	NA	NA	-0.269451787	unbias	0.601269164	Ovary_mean
TRINITY_DN102398_c0_g1_i1	NA	NA	NA	NA	0.113947963	unbias	0.449444186	Ovary_mean
TRINITY_DN102400_c0_g1_i1	NA	NA	NA	NA	-0.107619197	unbias	0.175182122	Testis_mean
TRINITY_DN102407_c0_g1_i1	yipf5	Chr03	29468437	29468437	-0.681472395	unbias	0.31598298	G31_mean
TRINITY_DN102415_c0_g1_i1	NA	NA	NA	NA	0.061164183	unbias	0.916691765	Brain_mean
TRINITY_DN102425_c0_g1_i1	pusl1-like	Chr07	69886168	69886168	0.06958068	unbias	0.645064333	Brain_mean
TRINITY_DN102429_c0_g1_i2	LOC100485265	Chr01	131046486	131046486	0.047515807	unbias	0.311362152	G43_F_mean
TRINITY_DN102444_c0_g1_i1	NA	NA	NA	NA	-0.061909362	unbias	0.342235666	Ovary_mean
TRINITY_DN102449_c0_g1_i1	NA	NA	NA	NA	-0.202098637	unbias	0.419641723	G43_F_mean
TRINITY_DN102455_c0_g1_i1	NA	NA	NA	NA	-0.024275152	unbias	0.173678848	Ovary_mean
TRINITY_DN102459_c0_g1_i1	NA	NA	NA	NA	0.01293375	unbias	0.56214195	Brain_mean
TRINITY_DN102469_c0_g1_i1	NA	NA	NA	NA	-0.469534854	unbias	0.46905447	Liver_mean
TRINITY_DN102489_c0_g3_i1	NA	NA	NA	NA	-0.447260601	unbias	0.4774328	G43_M_mean
TRINITY_DN10248_c0_g1_i1	NA	NA	NA	NA	0.067851727	unbias	0.70559034	Brain_mean
TRINITY_DN102490_c0_g1_i1	NA	NA	NA	NA	-0.597196436	unbias	0.813295243	Brain_mean
TRINITY_DN102493_c0_g1_i1	NA	NA	NA	NA	0.497016595	unbias	0.198656899	Ovary_mean
TRINITY_DN102496_c0_g1_i1	NA	NA	NA	NA	0.042669696	unbias	0.141215721	G23_mean
TRINITY_DN102500_c0_g1_i1	NA	NA	NA	NA	-0.159147106	unbias	0.551779824	G23_mean
TRINITY_DN102529_c0_g1_i1	mthfs	Chr03	115637860	115637860	-0.249499635	unbias	0.389325049	G43_F_mean
TRINITY_DN102531_c0_g1_i1	NA	NA	NA	NA	0.018549687	unbias	0.573863595	Brain_mean
TRINITY_DN102539_c0_g1_i1	hmx3	Chr07	11821120	11821120	0.105320603	unbias	0.261451474	Brain_mean
TRINITY_DN102559_c0_g2_i1	NA	NA	NA	NA	0.079946891	unbias	0.445084774	Ovary_mean
TRINITY_DN102573_c0_g1_i1	NA	NA	NA	NA	0.125813332	unbias	0.615289658	Brain_mean
TRINITY_DN102574_c0_g1_i1	NA	NA	NA	NA	-0.469305767	unbias	0.765877995	Brain_mean
TRINITY_DN102578_c0_g1_i1	NA	NA	NA	NA	0.300993824	unbias	0.48798068	G23_mean
TRINITY_DN102584_c0_g1_i1	NA	NA	NA	NA	-0.723930855	unbias	0.293181019	Ovary_mean
TRINITY_DN102595_c0_g1_i2	NA	NA	NA	NA	0.254715214	unbias	0.575191016	G43_M_mean
TRINITY_DN102597_c0_g1_i1	sfxn5	Chr01	10604833	10604833	0.38563492	unbias	0.928401186	Brain_mean
TRINITY_DN102616_c0_g1_i1	NA	NA	NA	NA	-0.161945926	unbias	0.221974512	Ovary_mean
TRINITY_DN102643_c0_g1_i1	NA	NA	NA	NA	0.152956087	unbias	0.230751502	G43_M_mean
TRINITY_DN102646_c0_g1_i1	LOC100487727	Chr04	14722474	14722474	-0.0717609	unbias	0.583653778	Brain_mean
TRINITY_DN102667_c0_g1_i1	NA	NA	NA	NA	-0.230200177	unbias	0.132277249	Brain_mean
TRINITY_DN102702_c0_g1_i1	csrp2bp	Chr05	38703141	38703141	-0.086462591	unbias	0.361097661	Ovary_mean
TRINITY_DN102735_c0_g1_i1	NA	NA	NA	NA	-0.28286662	unbias	0.893166454	Brain_mean
TRINITY_DN102752_c0_g1_i1	NA	NA	NA	NA	0.095893877	unbias	0.697808606	Brain_mean
TRINITY_DN102760_c0_g1_i1	NA	NA	NA	NA	0.093543085	unbias	0.491140846	Brain_mean
TRINITY_DN102859_c0_g1_i1	NA	NA	NA	NA	-0.285178515	unbias	0.936090552	Brain_mean
TRINITY_DN102861_c0_g2_i1	NA	NA	NA	NA	-0.273486318	unbias	0.443382416	Brain_mean
TRINITY_DN102865_c0_g1_i2	LOC101734171	Chr07	67692509	67692509	0.360874082	unbias	0.132699684	G46_M_mean
TRINITY_DN102901_c0_g1_i2	ppih	Chr07	78076994	78076994	-0.541572044	unbias	0.461503498	Brain_mean
TRINITY_DN102903_c0_g1_i1	gpc1	Chr05	123731518	123731518	-0.204095947	unbias	0.212100098	Brain_mean
TRINITY_DN102912_c0_g1_i1	NA	NA	NA	NA	0.365010967	unbias	0.483503238	G31_mean
TRINITY_DN102914_c0_g1_i1	prpf8-like	Chr02	40017773	40017773	1.049458425	unbias	0.821819724	Brain_mean
TRINITY_DN102914_c0_g2_i1	NA	NA	NA	NA	0.818149467	unbias	0.814115026	Brain_mean
TRINITY_DN102921_c0_g1_i1	st3gal2.2	Chr10	34055145	34055145	0.031577035	unbias	0.893707367	Brain_mean
TRINITY_DN102923_c0_g1_i1	NA	NA	NA	NA	-0.154446335	unbias	0.167352175	Ovary_mean
TRINITY_DN102938_c0_g1_i1	NA	NA	NA	NA	-0.091815691	unbias	0.240538882	Ovary_mean
TRINITY_DN102965_c0_g1_i1	NA	NA	NA	NA	-0.185576495	unbias	0.795364214	Brain_mean
TRINITY_DN102983_c0_g2_i1	LOC101732553	Chr07	63537769	63537769	0.323909791	unbias	0.94882952	Brain_mean
TRINITY_DN102989_c0_g1_i1	NA	NA	NA	NA	-0.054729836	unbias	0.361973385	Brain_mean
TRINITY_DN102995_c0_g1_i1	LOC100492850-like	Chr07	102949753	102949753	-0.461666454	unbias	0.923435464	Brain_mean
TRINITY_DN103001_c0_g1_i1	LOC100493955	Chr07	103011511	103011511	-0.151809088	unbias	0.983365513	Brain_mean
TRINITY_DN103001_c0_g2_i1	zdhhc5	Chr07	58181357	58181357	0.01338336	unbias	0.937928573	Brain_mean
TRINITY_DN103024_c0_g1_i2	NA	NA	NA	NA	0.030493227	unbias	0.249860859	Brain_mean
TRINITY_DN103049_c0_g4_i1	NA	NA	NA	NA	-0.396072521	unbias	0.406762304	G46_M_mean
TRINITY_DN103059_c0_g1_i1	NA	NA	NA	NA	0.00446987	unbias	0.08358136	G27_mean
TRINITY_DN103065_c0_g1_i1	NA	NA	NA	NA	-0.171513835	unbias	0.213525084	G46_M_mean
TRINITY_DN103073_c0_g1_i1	NA	NA	NA	NA	-0.55996427	unbias	0.902344008	Brain_mean
TRINITY_DN103107_c0_g1_i1	NA	NA	NA	NA	-0.085559822	unbias	0.135045065	Ovary_mean
TRINITY_DN103117_c1_g1_i1	NA	NA	NA	NA	-0.071440934	unbias	0.724038573	Brain_mean
TRINITY_DN103120_c0_g1_i2	irf2	Chr01	35632416	35632416	0.460737641	unbias	0.750815522	Brain_mean
TRINITY_DN103145_c0_g1_i1	NA	NA	NA	NA	-0.404448068	unbias	0.623231544	Brain_mean
TRINITY_DN103150_c0_g1_i1	NA	NA	NA	NA	0.160037553	unbias	0.328031285	Testis_mean
TRINITY_DN103157_c0_g1_i2	NA	NA	NA	NA	-0.013531311	unbias	0.523378908	Brain_mean
TRINITY_DN103159_c1_g1_i1	itgb3	Chr10	8961274	8961274	-0.089881809	unbias	0.32278673	Brain_mean
TRINITY_DN103181_c0_g2_i1	NA	NA	NA	NA	0.142414922	unbias	0.796089589	Brain_mean
TRINITY_DN103192_c0_g1_i1	NA	NA	NA	NA	-0.104054587	unbias	0.237240829	Testis_mean
TRINITY_DN103196_c0_g1_i2	LOC100496369	Chr06	18098492	18098492	-0.068324019	unbias	0.271416799	Ovary_mean
TRINITY_DN103199_c0_g1_i1	Xetrov90011013m	Chr04	37736758	37736758	0.236761991	unbias	0.531855546	Brain_mean
