gid	gname	chr	start	end	logFC.XYbrain.XXrain	abslogFC.XYbrain.Xxrain	bias	tau	tissue	dNdS	dN	dS
TRINITY_DN120967_c0_g2_i1	NA	NA	NA	NA	1.377597036	1.377597036	male	0.407691725	G23_mean	0.0525	0.0775	1.4761
TRINITY_DN120963_c0_g1_i2	NA	NA	NA	NA	3.602486911	3.602486911	male	0.526015246	Brain_mean	0.1609	0.209	1.2993
TRINITY_DN117646_c0_g2_i1	NA	NA	NA	NA	1.832693842	1.832693842	male	0.53128127	Brain_mean	0.2383	0.2194	0.9207
TRINITY_DN117036_c0_g1_i1	alx1	Chr03	44294726	44294726	2.594002158	2.594002158	male	0.28635835	Testis_mean	0.0294	0.0427	1.4503
TRINITY_DN115328_c0_g1_i1	nfyc	Chr02	83728547	83728547	1.089627236	1.089627236	male	0.53979718	Brain_mean	0.1694	0.2551	1.5061
TRINITY_DN114504_c0_g2_i2	NA	NA	NA	NA	1.86774696	1.86774696	male	0.490043609	G23_mean	0.0477	0.0606	1.2695
TRINITY_DN101488_c0_g2_i2	blmh	Chr02	24132124	24132124	-0.005117627	0.005117627	unbias	0.155105807	G23_mean	0.0471	0.0856	1.8187
TRINITY_DN101953_c0_g1_i3	NA	NA	NA	NA	-0.252395773	0.252395773	unbias	0.411181266	Ovary_mean	0.1123	0.1753	1.5602
TRINITY_DN102279_c0_g1_i1	NA	NA	NA	NA	0.140905539	0.140905539	unbias	0.132303324	G23_mean	0.0769	0.1219	1.5862
TRINITY_DN102469_c0_g1_i1	NA	NA	NA	NA	-0.469534854	0.469534854	unbias	0.46905447	Liver_mean	0.1875	0.3205	1.7093
TRINITY_DN102493_c0_g1_i1	NA	NA	NA	NA	0.497016595	0.497016595	unbias	0.198656899	Ovary_mean	0.038	0.0702	1.8454
TRINITY_DN102539_c0_g1_i1	hmx3	Chr07	11821120	11821120	0.105320603	0.105320603	unbias	0.261451474	Brain_mean	0.1183	0.1998	1.6879
TRINITY_DN103107_c0_g1_i1	NA	NA	NA	NA	-0.085559822	0.085559822	unbias	0.135045065	Ovary_mean	0.1794	0.2865	1.5972
TRINITY_DN103150_c0_g1_i1	NA	NA	NA	NA	0.160037553	0.160037553	unbias	0.328031285	Testis_mean	0.0816	0.1245	1.5262
TRINITY_DN103157_c0_g1_i2	NA	NA	NA	NA	-0.013531311	0.013531311	unbias	0.523378908	Brain_mean	0.0471	0.0801	1.6985
TRINITY_DN103209_c0_g3_i2	rab25	Chr08	111876972	111876972	-0.13244001	0.13244001	unbias	0.142706311	Ovary_mean	0.1141	0.2017	1.7681
TRINITY_DN104287_c1_g1_i1	dscam	Chr02	6877719	6877719	-0.049297995	0.049297995	unbias	0.476666531	Brain_mean	0.0892	0.173	1.9391
TRINITY_DN104339_c0_g1_i2	abhd8	Chr01	101190060	101190060	-0.066946312	0.066946312	unbias	0.437249278	Ovary_mean	0.0099	0.0157	1.5775
TRINITY_DN104694_c0_g1_i1	NA	NA	NA	NA	0.115719316	0.115719316	unbias	0.353449949	Ovary_mean	0.0241	0.0443	1.8389
TRINITY_DN104801_c0_g1_i1	NA	NA	NA	NA	-0.111732337	0.111732337	unbias	0.523571394	Brain_mean	0.0525	0.0603	1.1476
TRINITY_DN104972_c0_g1_i2	oaf-like	Chr07	87281103	87281103	-0.049913298	0.049913298	unbias	0.096162953	G27_mean	0.0377	0.0743	1.9699
TRINITY_DN105060_c0_g2_i3	NA	NA	NA	NA	-0.107495584	0.107495584	unbias	0.567829549	Brain_mean	0.0429	0.0716	1.6683
TRINITY_DN105400_c0_g1_i3	NA	NA	NA	NA	-0.022466484	0.022466484	unbias	0.231737257	Ovary_mean	0.1525	0.2011	1.3186
TRINITY_DN105592_c1_g1_i2	NA	NA	NA	NA	-0.819466939	0.819466939	unbias	0.247918508	G43_F_mean	0.1597	0.2378	1.4894
TRINITY_DN105705_c0_g1_i1	NA	NA	NA	NA	-0.630328378	0.630328378	unbias	0.417280644	G46_F_mean	0.1537	0.2185	1.4217
TRINITY_DN105726_c0_g1_i1	NA	NA	NA	NA	0.03572286	0.03572286	unbias	0.526746595	Ovary_mean	0.0788	0.1018	1.2921
TRINITY_DN106101_c0_g1_i1	NA	NA	NA	NA	0.020735989	0.020735989	unbias	0.125290042	Ovary_mean	0.031	0.0387	1.2467
TRINITY_DN106392_c0_g2_i2	NA	NA	NA	NA	0.105122776	0.105122776	unbias	0.286219196	Ovary_mean	0.0667	0.1122	1.683
TRINITY_DN107234_c0_g1_i1	NA	NA	NA	NA	-0.056269973	0.056269973	unbias	0.47132041	Ovary_mean	0.0603	0.1094	1.8135
TRINITY_DN107396_c0_g1_i2	NA	NA	NA	NA	0.409412418	0.409412418	unbias	0.331983433	Brain_mean	0.0701	0.0936	1.3351
TRINITY_DN107777_c0_g6_i1	NA	NA	NA	NA	-0.383854366	0.383854366	unbias	0.392783523	Ovary_mean	0.039	0.0505	1.293
TRINITY_DN108061_c0_g1_i1	NA	NA	NA	NA	-0.131412326	0.131412326	unbias	0.163126496	Ovary_mean	0.0392	0.065	1.6562
TRINITY_DN10812_c0_g1_i1	NA	NA	NA	NA	1.014654619	1.014654619	unbias	0.32618062	G27_mean	0.0493	0.0692	1.4016
TRINITY_DN108196_c0_g1_i1	NA	NA	NA	NA	-0.168546207	0.168546207	unbias	0.321595845	Ovary_mean	0.0643	0.0824	1.2798
TRINITY_DN108314_c0_g1_i2	ntm-like	Chr07	48334596	48334596	-0.012659407	0.012659407	unbias	0.37142808	Brain_mean	0.071	0.0918	1.2929
TRINITY_DN108539_c0_g1_i2	NA	NA	NA	NA	-0.154052597	0.154052597	unbias	0.177139529	Ovary_mean	0.0422	0.0714	1.6932
TRINITY_DN108558_c2_g1_i2	NA	NA	NA	NA	-0.00613055	0.00613055	unbias	0.572729047	Ovary_mean	0.0506	0.0876	1.7305
TRINITY_DN108580_c0_g1_i1	NA	NA	NA	NA	-0.136524441	0.136524441	unbias	0.331756999	Brain_mean	0.0568	0.1092	1.9239
TRINITY_DN108588_c0_g1_i1	Xetrov90015993m	Chr06	39274572	39274572	1.027246168	1.027246168	unbias	0.287791849	G43_M_mean	0.1556	0.2039	1.3108
TRINITY_DN108683_c0_g3_i1	ciao1	Chr03	109207090	109207090	0.070926663	0.070926663	unbias	0.126919823	G23_mean	0.053	0.0368	0.6955
TRINITY_DN108726_c0_g1_i1	NA	NA	NA	NA	0.056988039	0.056988039	unbias	0.145170452	G23_mean	0.0854	0.1011	1.1838
TRINITY_DN109124_c0_g2_i2	NA	NA	NA	NA	0.00986424	0.00986424	unbias	0.19323608	Brain_mean	0.1062	0.2105	1.9825
TRINITY_DN109157_c0_g1_i1	NA	NA	NA	NA	-0.024961729	0.024961729	unbias	0.235029567	Ovary_mean	0.0156	0.0301	1.9237
TRINITY_DN109277_c0_g2_i3	NA	NA	NA	NA	-0.304281386	0.304281386	unbias	0.278600966	G23_mean	0.1038	0.1589	1.5305
TRINITY_DN109500_c0_g1_i1	NA	NA	NA	NA	-0.018876329	0.018876329	unbias	0.171750692	G23_mean	0.0275	0.0505	1.8368
TRINITY_DN109511_c0_g1_i1	NA	NA	NA	NA	-0.21538982	0.21538982	unbias	0.544332911	Brain_mean	0.0263	0.0492	1.8727
TRINITY_DN109559_c0_g1_i1	gramd4	Chr03	64876625	64876625	-0.389285606	0.389285606	unbias	0.436438364	Liver_mean	0.1326	0.2053	1.5487
TRINITY_DN109817_c0_g1_i1	NA	NA	NA	NA	-0.0685562	0.0685562	unbias	0.499135008	Brain_mean	0.0695	0.0727	1.0463
TRINITY_DN109879_c0_g1_i1	LOC100127873	Chr07	88491811	88491811	-0.150534635	0.150534635	unbias	0.192989636	Ovary_mean	0.1064	0.1152	1.0825
TRINITY_DN109991_c0_g1_i2	NA	NA	NA	NA	-0.062439271	0.062439271	unbias	0.199076815	Ovary_mean	0.0762	0.1381	1.8122
TRINITY_DN110047_c0_g1_i3	NA	NA	NA	NA	0.069740934	0.069740934	unbias	0.361409154	Brain_mean	0.124	0.2167	1.7478
TRINITY_DN110102_c0_g2_i3	NA	NA	NA	NA	0.009363018	0.009363018	unbias	0.326610653	Brain_mean	0.0216	0.0363	1.6819
TRINITY_DN110248_c0_g1_i1	NA	NA	NA	NA	-0.052245312	0.052245312	unbias	0.629615748	Brain_mean	0.0129	0.0199	1.5477
TRINITY_DN110307_c0_g1_i3	NA	NA	NA	NA	0.003594493	0.003594493	unbias	0.239844625	Ovary_mean	0.0399	0.0735	1.8415
TRINITY_DN110587_c0_g1_i1	chst2	Chr05	116625886	116625886	-0.13343464	0.13343464	unbias	0.088343235	G27_mean	0.1585	0.1584	0.9991
TRINITY_DN110750_c0_g1_i1	NA	NA	NA	NA	0.034870446	0.034870446	unbias	0.20446531	Testis_mean	0.0698	0.0976	1.3977
TRINITY_DN110884_c0_g1_i2	NA	NA	NA	NA	-0.272167378	0.272167378	unbias	0.434323991	Ovary_mean	0.1472	0.216	1.4676
TRINITY_DN110930_c0_g1_i1	NA	NA	NA	NA	-0.525131179	0.525131179	unbias	0.360354251	G27_mean	0.0713	0.091	1.2768
TRINITY_DN111096_c0_g1_i1	NA	NA	NA	NA	0.135328928	0.135328928	unbias	0.372466531	G43_M_mean	0.1598	0.3196	1.9997
TRINITY_DN111221_c0_g1_i1	NA	NA	NA	NA	-0.051213687	0.051213687	unbias	0.42248944	Liver_mean	0.0231	0.033	1.4292
TRINITY_DN111246_c0_g1_i4	NA	NA	NA	NA	-0.027410311	0.027410311	unbias	0.21519793	Ovary_mean	0.0614	0.083	1.351
TRINITY_DN111292_c0_g1_i1	NA	NA	NA	NA	-0.00607168	0.00607168	unbias	0.327892291	Ovary_mean	0.0596	0.1115	1.8711
TRINITY_DN111370_c0_g2_i1	coq4	Chr08	375122	375122	-0.008152882	0.008152882	unbias	0.170696328	Ovary_mean	0.0318	0.0444	1.3962
TRINITY_DN111460_c0_g3_i3	NA	NA	NA	NA	-0.049300674	0.049300674	unbias	0.196772412	G23_mean	0.0195	0.0343	1.7571
TRINITY_DN111504_c0_g1_i1	aldh1a3-like	Chr03	105666646	105666646	-0.047684933	0.047684933	unbias	0.186796027	Ovary_mean	0.0757	0.1377	1.8203
TRINITY_DN111536_c1_g1_i1	NA	NA	NA	NA	0.145852668	0.145852668	unbias	0.763702196	Brain_mean	0.0723	0.1132	1.5659
TRINITY_DN111683_c1_g3_i4	efcab7-like	Chr04	78533476	78533476	-0.18583647	0.18583647	unbias	0.661410431	Brain_mean	0.0893	0.0946	1.0591
TRINITY_DN111719_c1_g1_i1	LOC100170488	Chr02	69817714	69817714	0.189964563	0.189964563	unbias	0.38321206	Ovary_mean	0.0652	0.12	1.8406
TRINITY_DN112043_c0_g1_i1	NA	NA	NA	NA	0.044463862	0.044463862	unbias	0.225408979	Brain_mean	0.0177	0.026	1.4702
TRINITY_DN112100_c0_g1_i1	NA	NA	NA	NA	0.011344848	0.011344848	unbias	0.159772746	Ovary_mean	0.0052	0.0093	1.7907
TRINITY_DN112165_c1_g1_i2	mapkapk3	Chr04	117136289	117136289	-0.136966843	0.136966843	unbias	0.089770068	Ovary_mean	0.0245	0.0279	1.1382
TRINITY_DN112199_c0_g1_i2	NA	NA	NA	NA	-0.130453576	0.130453576	unbias	0.279228907	Brain_mean	0.0991	0.1499	1.5118
TRINITY_DN112238_c0_g7_i3	NA	NA	NA	NA	0.004029323	0.004029323	unbias	0.504279107	G23_mean	0.1107	0.1991	1.7987
TRINITY_DN112304_c0_g1_i1	NA	NA	NA	NA	-0.077173797	0.077173797	unbias	0.401840136	G43_M_mean	0.1211	0.1572	1.2978
TRINITY_DN112362_c1_g2_i1	NA	NA	NA	NA	0.171360881	0.171360881	unbias	0.503498776	Brain_mean	0.0449	0.0522	1.1629
TRINITY_DN112607_c0_g1_i1	NA	NA	NA	NA	0.056197612	0.056197612	unbias	0.329087939	Brain_mean	0.0674	0.0589	0.8734
TRINITY_DN112665_c0_g1_i1	NA	NA	NA	NA	0.15186776	0.15186776	unbias	0.178643141	G46_M_mean	0.1141	0.1651	1.4464
TRINITY_DN112734_c0_g2_i8	NA	NA	NA	NA	0.038327287	0.038327287	unbias	0.532486329	Brain_mean	0.0651	0.1034	1.5888
TRINITY_DN112753_c0_g1_i1	NA	NA	NA	NA	-0.144315998	0.144315998	unbias	0.249927739	Ovary_mean	0.1428	0.2327	1.6291
TRINITY_DN112796_c0_g1_i1	arfgap2	Chr04	260796	260796	-0.072154803	0.072154803	unbias	0.517336535	G27_mean	0.113	0.1915	1.6948
TRINITY_DN112819_c0_g1_i1	NA	NA	NA	NA	0.241929433	0.241929433	unbias	0.311313473	G23_mean	0.1195	0.193	1.6153
TRINITY_DN112889_c0_g1_i1	kif1c	scaffold_313	77793	77793	0.163678322	0.163678322	unbias	0.297572269	Brain_mean	0.0327	0.0374	1.1424
TRINITY_DN112986_c0_g1_i1	NA	NA	NA	NA	-0.079065501	0.079065501	unbias	0.068818111	Brain_mean	0.1108	0.0903	0.8153
TRINITY_DN113047_c0_g1_i1	ubxn2b	Chr06	101449636	101449636	0.123703779	0.123703779	unbias	0.431980594	Brain_mean	0.1012	0.1719	1.6991
TRINITY_DN113204_c0_g2_i1	NA	NA	NA	NA	0.150984044	0.150984044	unbias	0.495647836	Ovary_mean	0.0069	0.0124	1.8076
TRINITY_DN113259_c0_g1_i1	NA	NA	NA	NA	-0.231783035	0.231783035	unbias	0.235661385	Ovary_mean	0.2083	0.1953	0.9373
TRINITY_DN113391_c0_g1_i1	NA	NA	NA	NA	-0.172190131	0.172190131	unbias	0.279050334	Ovary_mean	0.1232	0.2242	1.8203
TRINITY_DN113502_c0_g1_i1	Xetrov90006328m	Chr02	137333552	137333552	0.055778426	0.055778426	unbias	0.102770661	G23_mean	0.0133	0.0108	0.8076
TRINITY_DN113528_c0_g1_i1	smad9	Chr02	148846284	148846284	0.094442782	0.094442782	unbias	0.448152209	Brain_mean	0.1014	0.1939	1.9129
TRINITY_DN113591_c0_g1_i1	mctp2-like	Chr03	102996503	102996503	-0.01953016	0.01953016	unbias	0.426753659	G43_M_mean	0.0768	0.0975	1.2685
TRINITY_DN113593_c0_g1_i1	NA	NA	NA	NA	-0.256672435	0.256672435	unbias	0.474659407	Ovary_mean	0.1695	0.2045	1.2069
TRINITY_DN113670_c0_g1_i2	NA	NA	NA	NA	0.037012367	0.037012367	unbias	0.529477668	Ovary_mean	0.0739	0.1388	1.8788
TRINITY_DN113732_c1_g1_i1	NA	NA	NA	NA	-0.15879018	0.15879018	unbias	0.116821427	G23_mean	0.0072	0.0074	1.0296
TRINITY_DN113850_c0_g1_i2	NA	NA	NA	NA	-0.073016003	0.073016003	unbias	0.285066458	G23_mean	0.255	0.2396	0.9398
TRINITY_DN114047_c0_g1_i2	NA	NA	NA	NA	0.730506895	0.730506895	unbias	0.345711133	G27_mean	0.0592	0.0947	1.6007
TRINITY_DN114091_c0_g2_i3	NA	NA	NA	NA	-0.260200616	0.260200616	unbias	0.4294977	G43_M_mean	0.091	0.1498	1.6467
TRINITY_DN114120_c0_g1_i1	NA	NA	NA	NA	0.000323931	0.000323931	unbias	0.132581904	Ovary_mean	0.1318	0.25	1.8973
TRINITY_DN114132_c1_g1_i2	NA	NA	NA	NA	-0.034043415	0.034043415	unbias	0.385729716	Brain_mean	0.0558	0.1096	1.9649
TRINITY_DN114178_c0_g1_i2	NA	NA	NA	NA	0.433764239	0.433764239	unbias	0.206742801	G43_F_mean	0.1732	0.2866	1.655
TRINITY_DN114340_c0_g2_i2	NA	NA	NA	NA	0.029345532	0.029345532	unbias	0.536616274	Brain_mean	0.0294	0.0473	1.6105
TRINITY_DN114416_c0_g2_i3	klc1	Chr08	77660710	77660710	0.030680952	0.030680952	unbias	0.358449806	Brain_mean	0.0918	0.1794	1.9537
TRINITY_DN114586_c0_g1_i1	aldh8a1	Chr05	34673287	34673287	-0.045489026	0.045489026	unbias	0.16744915	Brain_mean	0.0023	0.0024	1.0553
TRINITY_DN114618_c0_g1_i5	NA	NA	NA	NA	0.034339786	0.034339786	unbias	0.094150571	Ovary_mean	0.1424	0.0763	0.5355
TRINITY_DN114653_c0_g2_i1	NA	NA	NA	NA	0.147116315	0.147116315	unbias	0.118970519	G27_mean	0.0612	0.1138	1.858
TRINITY_DN114656_c0_g2_i1	NA	NA	NA	NA	0.02264401	0.02264401	unbias	0.275894304	Ovary_mean	0.0544	0.0727	1.3371
TRINITY_DN114755_c0_g1_i2	NA	NA	NA	NA	0.001820978	0.001820978	unbias	0.457183491	Testis_mean	0.0927	0.1144	1.2337
TRINITY_DN114808_c0_g1_i1	Xetrov90017467m	Chr07	5809242	5809242	0.052543542	0.052543542	unbias	0.36296448	Ovary_mean	0.072	0.1182	1.641
TRINITY_DN114942_c0_g1_i1	NA	NA	NA	NA	0.310112816	0.310112816	unbias	0.237026096	G43_F_mean	0.0586	0.1103	1.8842
TRINITY_DN115052_c1_g1_i1	NA	NA	NA	NA	-0.05561198	0.05561198	unbias	0.27623535	Ovary_mean	0.0766	0.1379	1.8005
TRINITY_DN115157_c0_g1_i1	fbxl18-like	Chr09	38500120	38500120	-0.171019643	0.171019643	unbias	0.299454368	Testis_mean	0.0817	0.1155	1.4125
TRINITY_DN115195_c0_g1_i1	NA	NA	NA	NA	-0.15982312	0.15982312	unbias	0.496236918	Brain_mean	0.0834	0.0754	0.9031
TRINITY_DN115232_c1_g1_i1	NA	NA	NA	NA	0.024059315	0.024059315	unbias	0.161091113	G27_mean	0.0296	0.0464	1.5655
TRINITY_DN115267_c0_g1_i2	NA	NA	NA	NA	-0.055522772	0.055522772	unbias	0.319631858	G31_mean	0.1018	0.2003	1.9677
TRINITY_DN115346_c0_g2_i1	fabp2	Chr01	61428301	61428301	-0.2144139	0.2144139	unbias	0.16883627	Ovary_mean	0.0662	0.0572	0.8641
TRINITY_DN115501_c0_g2_i1	NA	NA	NA	NA	-0.042487091	0.042487091	unbias	0.279364154	Ovary_mean	0.1755	0.3237	1.845
TRINITY_DN115511_c0_g1_i1	NA	NA	NA	NA	0.067733903	0.067733903	unbias	0.305979071	Ovary_mean	0.1448	0.2774	1.916
TRINITY_DN115620_c0_g2_i1	NA	NA	NA	NA	0.043492101	0.043492101	unbias	0.105141379	G23_mean	0.0379	0.0495	1.3069
TRINITY_DN115720_c0_g1_i1	NA	NA	NA	NA	-0.598778349	0.598778349	unbias	0.310928189	Ovary_mean	0.0403	0.0493	1.2236
TRINITY_DN115827_c0_g3_i1	NA	NA	NA	NA	-0.074808925	0.074808925	unbias	0.269934657	Ovary_mean	0.0733	0.1257	1.7146
TRINITY_DN115833_c0_g3_i2	NA	NA	NA	NA	-0.126046328	0.126046328	unbias	0.224063779	Brain_mean	0.055	0.0839	1.5248
TRINITY_DN115972_c0_g1_i1	NA	NA	NA	NA	0.006607645	0.006607645	unbias	0.541635145	Ovary_mean	0.0692	0.0798	1.153
TRINITY_DN115979_c0_g3_i5	NA	NA	NA	NA	-0.083624421	0.083624421	unbias	0.129502285	Ovary_mean	0.1014	0.1413	1.3934
TRINITY_DN116051_c0_g1_i1	NA	NA	NA	NA	0.033673546	0.033673546	unbias	0.355411592	G27_mean	0.2453	0.3893	1.587
TRINITY_DN116115_c0_g1_i2	hspd1	Chr09	38174666	38174666	-0.059379762	0.059379762	unbias	0.375853775	Ovary_mean	0.0415	0.0826	1.9888
TRINITY_DN116142_c0_g1_i1	NA	NA	NA	NA	-0.081955156	0.081955156	unbias	0.09891693	Brain_mean	0.0021	0.0023	1.1045
TRINITY_DN116146_c0_g1_i1	NA	NA	NA	NA	-0.087680227	0.087680227	unbias	0.091603204	G23_mean	0.0355	0.0668	1.8827
TRINITY_DN116186_c0_g1_i2	NA	NA	NA	NA	-0.362664869	0.362664869	unbias	0.295312158	G43_M_mean	0.0804	0.135	1.6793
TRINITY_DN116211_c0_g1_i1	cenpv	Chr02	31576564	31576564	-0.149925493	0.149925493	unbias	0.445025882	G27_mean	0.0802	0.1507	1.8784
TRINITY_DN116275_c1_g1_i2	NA	NA	NA	NA	0.041241213	0.041241213	unbias	0.206781997	G43_M_mean	0.2271	0.2998	1.3199
TRINITY_DN116305_c1_g1_i2	NA	NA	NA	NA	-0.130165519	0.130165519	unbias	0.109673667	Liver_mean	0.0568	0.0723	1.2722
TRINITY_DN116333_c0_g1_i1	NA	NA	NA	NA	0.024802858	0.024802858	unbias	0.11506155	Testis_mean	0.0272	0.0526	1.9305
TRINITY_DN116360_c0_g1_i2	NA	NA	NA	NA	-0.03329974	0.03329974	unbias	0.097100677	G23_mean	0.0652	0.0858	1.3168
TRINITY_DN116389_c0_g1_i1	NA	NA	NA	NA	0.069789619	0.069789619	unbias	0.182362688	Ovary_mean	0.086	0.1448	1.6835
TRINITY_DN116410_c0_g2_i2	NA	NA	NA	NA	-0.609127667	0.609127667	unbias	0.313805914	Ovary_mean	0.1114	0.1568	1.4079
TRINITY_DN116479_c0_g2_i1	NA	NA	NA	NA	0.130971326	0.130971326	unbias	0.269358873	Brain_mean	0.0905	0.1193	1.3179
TRINITY_DN116513_c0_g3_i1	NA	NA	NA	NA	0.051069943	0.051069943	unbias	0.271422213	Ovary_mean	0.1539	0.1956	1.2706
TRINITY_DN116527_c0_g1_i1	NA	NA	NA	NA	-0.018088761	0.018088761	unbias	0.269117658	G23_mean	0.0041	0.0039	0.9416
TRINITY_DN116585_c0_g1_i1	NA	NA	NA	NA	-0.109661742	0.109661742	unbias	0.288221912	Ovary_mean	0.1023	0.1609	1.5733
TRINITY_DN116633_c0_g1_i1	NA	NA	NA	NA	-0.271544205	0.271544205	unbias	0.301808461	Ovary_mean	0.0858	0.1119	1.3044
TRINITY_DN116639_c0_g1_i2	NA	NA	NA	NA	-0.013234036	0.013234036	unbias	0.114297233	G23_mean	0.0632	0.1255	1.9847
TRINITY_DN116830_c0_g1_i1	NA	NA	NA	NA	-0.119011264	0.119011264	unbias	0.223945338	Ovary_mean	0.0409	0.0643	1.5723
TRINITY_DN116866_c0_g1_i1	NA	NA	NA	NA	0.324673701	0.324673701	unbias	0.21312925	G46_M_mean	0.0624	0.0964	1.5449
TRINITY_DN116944_c0_g1_i1	NA	NA	NA	NA	-0.149299057	0.149299057	unbias	0.260308767	Ovary_mean	0.0947	0.1686	1.7807
TRINITY_DN116983_c0_g1_i1	hps1	Chr07	26633014	26633014	-0.028855298	0.028855298	unbias	0.187010596	G27_mean	0.0337	0.0525	1.5581
TRINITY_DN117203_c0_g3_i1	csnk1a1	Chr03	31901144	31901144	-0.045006037	0.045006037	unbias	0.385131027	Brain_mean	0.027	0.0278	1.0314
TRINITY_DN117253_c0_g2_i1	NA	NA	NA	NA	0.200998825	0.200998825	unbias	0.265955148	Ovary_mean	0.0068	0.0103	1.5289
TRINITY_DN117274_c0_g1_i1	NA	NA	NA	NA	0.100081933	0.100081933	unbias	0.22828748	Brain_mean	0.0469	0.0675	1.4394
TRINITY_DN117338_c0_g1_i3	Xetrov90028761m	scaffold_427	1114	1114	-0.105875275	0.105875275	unbias	0.266423245	G23_mean	0.1304	0.2292	1.758
