gid	gname	chr	start	end	logCPM	logFC.XY46.XX46	PV.XY46.XX46	FDR.XY46.XX46	Am2_463	Am2_464	Am4_461	Am6_462	Am6_464
TRINITY_DN102500_c0_g1_i1	ror2	Chr01	126678883	126678883	3.8856439362943	0.187260988869655	0.598718057919656	0.686420676406368	3.88027065721348	4.04828491636024	3.90404933476574	4.07619622005767	3.44356891596245
TRINITY_DN102539_c0_g1_i1	plxnb3	Chr08	3112250	3112250	6.47063219152157	0.213413764368256	0.387305624384967	0.495804665180184	6.45830400907552	6.2510378125666	6.51067400064326	6.67783710395461	6.42165687170518
TRINITY_DN102559_c0_g2_i1	LOC100485278	Chr10	24700728	24700728	4.66585949686792	-2.28268441936058	3.35984923926077e-08	3.81243652602617e-07	3.72166419840354	6.12244279606088	2.87898855917228	3.28883751194613	4.76234898683057
TRINITY_DN102581_c0_g1_i2	xkr5	scaffold_13	875624	875624	2.65489922739628	-3.23297856767142	8.96953685352704e-13	1.73847401681784e-11	0.647696073193721	3.73827772685216	0.878005401334821	0.297854215862312	3.72180066698283
TRINITY_DN102595_c0_g1_i2	LOC100494840-like	Chr02	109773283	109773283	3.03128777965977	0.638955158281025	0.184289419449894	0.282152189727086	3.37601026980037	1.6629038048015	3.05906202216318	3.31118544584978	3.17835082181549
TRINITY_DN103107_c0_g1_i1	glrx	Chr01	172667785	172667785	6.77233259889787	0.21924944443559	0.375762991894112	0.484197712482626	6.93275167176463	6.63842204473486	6.77733102797718	6.85465928908918	6.63558389493434
TRINITY_DN103150_c0_g1_i1	mmp23b	Chr07	70923653	70923653	3.14822127313255	0.660203393442272	0.146556978465048	0.236045091308634	2.53173996096888	2.77617490377418	3.81376875212865	3.45861893577644	2.67199955527875
TRINITY_DN103157_c0_g1_i2	ttc8	Chr08	65044076	65044076	3.1245603074361	0.534685557215262	0.188531140152847	0.287215617423053	3.39365538908744	2.50767543189194	3.09488958897722	3.43845723231223	3.01405485366227
TRINITY_DN103196_c0_g1_i2	mrpl41	scaffold_480	103706	103706	5.0905545440825	-0.568670309217567	0.0404804981151695	0.0886319393903681	4.98138939735521	5.51488499358438	4.81981388797986	4.6974225393461	5.28146437358945
TRINITY_DN103209_c0_g3_i2	ndufs5	Chr02	86345570	86345570	6.66617994028052	-0.0253007928178309	0.921878199952208	0.944262406864016	6.80341152057447	6.53815057372279	6.44046754819227	6.70235130524081	6.81015051673779
TRINITY_DN103509_c0_g1_i1	comt.2	Chr01	146432864	146432864	3.56177831323533	0.166599648909266	0.680306877412327	0.754741730744437	3.57471711133909	2.81644020511978	3.79210727871191	3.48834283657078	3.89124539702871
TRINITY_DN103526_c0_g1_i1	rgs9bp	Chr10	16566157	16566157	3.31880764798694	-1.17237001636704	0.00427104428235223	0.0151329457658969	2.92054148759453	4.30331697465144	2.6889038510438	2.61154067912266	3.34325373310489
TRINITY_DN103537_c0_g2_i1	oxsm	Chr06	76469303	76469303	4.55056083947141	-1.02363760766841	0.000779400291186814	0.00365954121881124	4.1839023290488	4.90316292526339	4.03276902610231	3.93941984421013	5.21678448520732
TRINITY_DN103544_c0_g1_i2	parp16-like	Chr03	117692116	117692116	1.25471919291749	1.86957598378667	0.00288080920154116	0.0109578729069937	2.2893561374976	0.177274481798713	1.72455343992716	1.0485504741983	-0.0694172542797223
TRINITY_DN103549_c0_g1_i1	txnrd3	Chr04	122921580	122921580	8.06887269600939	-1.11094238283046	3.4551728487269e-05	0.000233903677367874	7.56799087508828	8.69452675815044	7.3591328677827	7.61796580221244	8.56148629990698
TRINITY_DN103557_c0_g2_i2	upf3b	Chr08	38597280	38597280	6.43560304291387	-0.731883488370433	0.004659538498887	0.0161685985911379	6.38521470962083	6.93666627954579	5.96674043703063	5.89508732950871	6.71048335768758
TRINITY_DN103565_c0_g4_i1	thap5	Chr03	56033628	56033628	4.77215547143007	-1.66636893755035	1.5606794476215e-07	1.60652907349899e-06	3.63530353998442	5.5118230125848	3.63062325399264	4.25399109727316	5.54876607820657
TRINITY_DN103567_c0_g1_i1	lasp1	Chr10	3688057	3688057	7.85404444383553	-0.123302468005632	0.648269681897543	0.728448445437362	7.7613323905418	8.11287953254185	7.71091253036305	7.92874522410806	7.71356362171683
TRINITY_DN103584_c0_g2_i1	gabra6	Chr03	15262639	15262639	1.69399809737041	0.905799413207782	0.126874318955405	0.211562090994154	2.08732287480103	-0.0940927171373694	1.7547304981916	2.09785279361807	1.73470792571475
TRINITY_DN103615_c0_g1_i1	gstt1-like.1	Chr01	144513755	144513755	7.59731570700305	0.282571156320616	0.280383508891413	0.388470557076885	7.77064689211441	7.40282923068115	7.7767293990518	7.55322708226943	7.43965964741959
TRINITY_DN103621_c0_g1_i2	parpbp	Chr03	39656922	39656922	4.76795261727836	-2.82818585643648	5.41421719071332e-15	1.30292470515667e-13	2.13005640854742	5.86847931162393	3.22991456201933	3.32223092232034	5.74500825083796
TRINITY_DN103622_c0_g3_i3	rcor2	Chr04	40885768	40885768	5.46365776128845	-2.39118779571411	1.2009348829061e-15	3.07582298462403e-14	4.01177341772656	6.74396641964947	4.12229146502749	3.9748487014503	6.00239368663188
TRINITY_DN103630_c0_g1_i1	aip	scaffold_27	66964	66964	6.65903081643134	0.284059466523193	0.260439699772588	0.36698321331592	6.735846417836	6.33485979490607	6.73254379295188	6.8277840093013	6.61511536137365
TRINITY_DN103637_c0_g3_i1	tcf19	Chr08	52757611	52757611	6.2270038290351	-5.98453899095458	4.54945886909726e-54	5.20622649519992e-52	1.63215809269184	7.97737846856291	1.59710681693286	1.57718543800609	6.82495032295593
TRINITY_DN103653_c0_g1_i1	gpr22	Chr03	66920676	66920676	2.4341037058364	-1.465130738811	0.00179985183765752	0.00740665884379571	2.04328480753902	3.4994860628941	1.38196589570202	1.613605505137	2.60136825633137
TRINITY_DN103662_c0_g1_i1	ramp2	Chr10	11565045	11565045	3.53697408043043	0.471375369196489	0.189413516141613	0.288274079390964	3.65006077623239	3.31505719692668	3.81376875212865	3.64610584946144	3.16861264875758
TRINITY_DN103690_c0_g1_i1	cldn2	Chr08	16730244	16730244	4.92711639077346	2.05405818597008	5.10550891876398e-06	4.16375734944231e-05	5.47552069709526	4.03127823575937	5.6983169627187	5.11127742617116	2.34886119906954
TRINITY_DN103698_c0_g1_i1	kctd15	Chr04	19757914	19757914	2.02770532580715	2.70302218287449	2.70866856894245e-06	2.32539088556376e-05	2.2119038548053	-0.251677864996339	2.41428713143245	3.05724705354662	0.330584379704044
TRINITY_DN103704_c0_g1_i1	LOC594890	Chr08	106161888	106161888	0.711654035650152	-2.90863349258267	6.77684551160615e-06	5.37996510467508e-05	-1.26243443210076	1.61804601670371	-1.18199481064843	-0.374067216529308	1.70806410460277
TRINITY_DN103714_c0_g1_i2	pdia4	Chr06	82789798	82789798	8.55681771645654	-0.101181186873605	0.744962257977375	0.807818448494216	8.6273345966766	8.67993738349757	8.74928498316268	8.08808670761941	8.5505145589632
TRINITY_DN103720_c0_g1_i2	enpp6	Chr01	35674507	35674507	3.22657814572255	-0.170993365368432	0.68474543361072	0.758345169293783	2.76654276140822	2.7964480243512	3.33351954516258	3.27753237296754	3.69491515902503
TRINITY_DN103733_c0_g2_i1	ndufa6	Chr04	105645228	105645228	6.94847841196335	-0.014991870719227	0.952880964026092	0.967359430920033	7.07213807188948	6.85927659814119	6.82522018558429	6.92064423736618	7.04848822805257
TRINITY_DN103741_c0_g1_i2	psmc3ip	Chr10	23148035	23148035	4.17713543298563	-3.61665922212743	4.20094097478784e-20	1.47197140279455e-18	1.57143660360749	5.62099943477955	1.42012514710066	2.17299091045251	4.95027245125125
TRINITY_DN103776_c0_g1_i1	LOC101732853	Chr02	50935698	50935698	0.778715196303511	1.60792391397084	0.0209777810369185	0.0536721643861728	0.760793697351026	-0.428610944429897	0.504574990788581	1.90562909020916	-0.0694172542797223
TRINITY_DN103783_c0_g1_i1	fam175a	Chr01	123992821	123992821	4.89986976172807	-0.870622570561201	0.00201491563474701	0.0081452264122411	4.61842371414577	5.3600460882612	4.35677747595608	4.4828665304327	5.34769020983249
TRINITY_DN103812_c0_g1_i2	LOC100488827	Chr05	52200718	52200718	7.29653210258578	-1.38206518934613	3.90560291129931e-08	4.38087283804449e-07	6.66858915392657	7.98015057558299	6.53478689483699	6.53679426924307	7.94295627132924
TRINITY_DN103830_c0_g1_i1	tppp3	Chr04	51907928	51907928	2.08804991360014	0.610232667567483	0.190786636656448	0.289789868753658	2.04328480753902	1.52391601623582	2.3366095741477	2.45976715678213	1.86101079916492
TRINITY_DN103838_c0_g1_i1	kpna7	Chr09	38771710	38771710	7.36292697928853	-6.3859341731372	9.52248632184135e-61	1.24918762639082e-58	2.92054148759453	8.56129281255512	1.49354298891733	2.29012906785848	8.74632990401812
TRINITY_DN103847_c0_g1_i1	baiap2l2	Chr04	111859570	111859570	0.444934063136706	1.2728017898956	0.072703821582744	0.138945081366264	-0.108000724523818	-0.864879278414514	0.763941427966468	1.29270871609911	0.0199478493284536
TRINITY_DN103855_c0_g1_i1	osr2	Chr06	113922956	113922956	4.06611220964372	0.875921756716234	0.0110383619178237	0.0321613377979496	4.30073412717828	3.38366267301313	4.54553807742627	4.19512498553922	3.58206393370992
TRINITY_DN103859_c0_g1_i1	amh	Chr01	83615433	83615433	2.19210177230568	-0.32282406776708	0.524376459362311	0.619586728181062	2.25114969501866	2.62567756019792	1.21835619466924	2.45976715678213	2.08461551578624
TRINITY_DN103860_c0_g1_i1	ska3	Chr02	154712760	154712760	5.08250967774527	-2.84515826980806	3.38805563727547e-23	1.38575340266814e-21	3.16617605423813	6.21947846353547	3.32348751208845	3.38678470768022	6.025506690046
TRINITY_DN103862_c0_g1_i1	LOC100487773	Chr02	37561839	37561839	3.32958889448661	0.426576405143527	0.293440000770285	0.40236253515436	3.18656417614211	2.62567756019792	3.55546999301601	3.65486994578346	3.38590252724177
TRINITY_DN103882_c0_g1_i1	josd2	Chr04	117842261	117842261	4.3657332904974	-0.418431036667185	0.355831428722816	0.465248923802163	4.28190742916581	4.89378451531185	4.77634604793804	2.94739437536918	4.23707489321754
TRINITY_DN103890_c0_g1_i2	sult4a1	scaffold_220	133531	133531	4.47287239301213	0.496481328512331	0.144842026066538	0.233663118535954	4.4766086351818	3.74871966605628	4.81981388797986	4.63234997505732	4.46898772112529
TRINITY_DN103891_c0_g1_i1	pyy	Chr10	13786682	13786682	4.29038517536998	0.66094472571883	0.0640756046512566	0.126423575170237	4.27240114053921	3.52400891284896	4.3763192447339	4.83873296045804	4.13075055805359
TRINITY_DN103896_c0_g1_i2	anxa9	Chr08	106137096	106137096	4.07305346797143	0.448051534933122	0.244462463682278	0.350570380578269	3.80314593312507	3.35661070249931	4.17902868621924	4.60094823071451	4.11562513425736
TRINITY_DN103912_c0_g1_i1	ppp1r14c	Chr05	39489099	39489099	5.94544101739564	-0.982934863785852	0.000930695899094195	0.00424936153928534	5.57166579462016	6.79649609127582	5.60200920637351	5.20675002326254	5.99965000411571
TRINITY_DN103926_c0_g2_i1	chst1	Chr04	5762341	5762341	2.5938715767589	0.637659203148333	0.153582858124133	0.245117330095148	2.624325893851	1.9789534272185	3.17518144507151	2.53764884644001	2.36600593238238
TRINITY_DN103986_c0_g1_i1	tlr2	Chr01	45753921	45753921	3.05073654527521	0.653054029940033	0.1288481523536	0.213990979599765	2.92054148759453	2.20810069591539	3.3729643031286	3.45861893577644	2.94727673557165
TRINITY_DN103989_c0_g1_i1	mrpl3	Chr06	72005147	72005147	6.03165133197421	-0.780353377928137	0.00204455831077162	0.00823719616066305	5.80054184264938	6.44651162339506	5.61646085720694	5.58013042883581	6.44604705960566
TRINITY_DN104027_c0_g1_i1	LOC100127579	Chr10	36243271	36243271	3.02065981175964	0.906977488263278	0.0308639045501981	0.0722216709259257	3.24605477969307	2.04822032523994	3.32348751208845	3.37622434329946	2.7127759506064
TRINITY_DN104136_c0_g1_i1	not	Chr01	10478571	10478571	0.843001359285647	-5.86842547950902	5.96905532404022e-12	1.0423559759854e-10	-1.7904506878101	2.4057912348755	-2.11292387947792	-2.63197177320659	1.5669229516618
TRINITY_DN104155_c0_g1_i1	znhit1	Chr03	136889253	136889253	2.95469010285635	0.467900606264066	0.291764748754246	0.40042273569143	3.60532834554176	2.893748569544	2.70444870634314	2.94739437536918	2.41625054348423
TRINITY_DN104173_c0_g1_i1	efs	Chr01	127517336	127517336	5.08493632051786	-0.188835397218496	0.543206946547552	0.636383916795036	5.16212450716454	5.5118230125848	5.07730118491652	4.75153805174948	4.79436402006996
TRINITY_DN104207_c0_g1_i1	LOC100487349	Chr06	61545114	61545114	1.85146411332538	-3.40397989182393	1.39048523680916e-07	1.44098744627709e-06	-0.108000724523818	3.60669791996547	0.0968455700215514	-0.691909515130741	1.78656332570217
TRINITY_DN104287_c1_g1_i1	cln3-like	scaffold_318	151386	151386	4.36474845143171	0.555881040686374	0.0755759367725506	0.143254687552833	4.51742015956482	3.97012465486295	4.59224376170206	4.5734775016194	4.04818483695265
TRINITY_DN104334_c0_g1_i1	LOC100485201-like	scaffold_1468	4225	4225	2.04344531136103	0.239863785439629	0.629711012374748	0.713181865668052	1.37224469945822	1.82956594577223	2.46991820309843	2.26744997420358	1.95465070809461
TRINITY_DN104339_c0_g1_i2	tnpo2-like	scaffold_185	20529	20529	4.48248703975789	-0.0920785277426112	0.773816211303417	0.831479471080897	4.11110894908903	4.45130218724045	4.66157638666649	4.49755731764131	4.6159638657098
TRINITY_DN104365_c0_g3_i1	pwwp2b-like	Chr07	12596159	12596159	4.74560641669274	-0.776444894483776	0.0132730555860474	0.0371512219233187	4.68442462922636	5.33254335616636	4.16224057208467	4.26548148322844	4.95877310177972
TRINITY_DN104428_c0_g1_i2	abhd6	scaffold_87	401904	401904	4.93571287670115	-0.297901954016158	0.290917285856598	0.399667591821127	4.77472551592345	5.15158423343198	4.89963519217466	4.74744662894324	5.05969265843854
TRINITY_DN104463_c0_g1_i1	bmf	Chr08	93964574	93964574	1.22837543888567	-1.60543152480554	0.00235329358051676	0.00924456496385327	0.242925029698681	1.78967040881446	0.431730780460358	0.544158816388014	2.02109609809182
TRINITY_DN104464_c0_g1_i1	fam57a	Chr02	92704574	92704574	2.27769571723968	0.338252101413485	0.445799844255763	0.549876037685959	2.2893561374976	1.94303157499709	2.60856328876741	2.26744997420358	2.18463582236147
