gid	gname	chr	start	end	logCPM	logFC.XY43.XX43	PV.XY43.XX43	FDR.XY43.XX43	Am1_434	Am2_433	Am2_434	Am4_434	Am4_435	Am5_433	average	ward.D
TRINITY_DN111236_c0_g1_i1	eif4e-like.1	Chr03	37833720	37833720	3.14174461817563	-3.71522821417936	8.65168054681285e-08	2.58324761660254e-05	0.965292661183896	4.9499738285474	-0.334349793416528	0.471248407277028	3.33093585675119	3.070810798401	1	1
TRINITY_DN112124_c0_g2_i1	polr3g-like	Chr01	170827700	170827700	0.929277773656026	-6.88780203929906	1.42339695486418e-09	9.76786003340185e-07	-2.81350505622665	2.79069472264639	-2.81350505622665	-2.24219949971462	1.55673188448754	0.603074630230919	1	1
TRINITY_DN112272_c0_g1_i1	LOC733728	Chr07	40123943	40123943	0.810724431046728	-5.11050865732389	2.22222622601546e-06	0.000404859486498986	-1.54210568548879	2.89869525304464	-2.31171074617444	-2.81350505622665	0.976793846598865	-0.0708552077786579	1	1
TRINITY_DN113760_c0_g3_i2	taf4b	Chr06	94934368	94934368	1.3226234708543	-2.50863719530067	0.000415596177236754	0.0436757540284088	0.112202236798067	2.54692028399178	-0.133708343421952	-0.844417013580363	2.27159459044683	1.00349046370347	1	1
TRINITY_DN114033_c0_g3_i2	tdrd15	Chr05	139909185	139909185	2.33400175624416	-2.81676446492223	9.74086840876787e-05	0.0121749528518425	0.112202236798067	3.74138894490002	1.06689904655869	-0.147988700891599	3.38236289119533	1.40746363506798	1	1
TRINITY_DN114443_c0_g1_i1	pcsk4	Chr01	80419484	80419484	0.441319416905811	-2.94794517612642	0.000165806276812152	0.0190946211000228	-1.28479640214261	0.97897622769008	-0.845666984873841	-1.83403926062868	1.58627377560719	1.00349046370347	1	1
TRINITY_DN115389_c0_g1_i1	ccnb2	Chr03	89325664	89325664	4.62599641899044	-2.48964704216975	0.000216201691433883	0.0244626524339243	3.02158328406828	6.30764126065491	3.54606602946972	1.53944434949855	5.14737881203211	3.49016426751268	1	1
TRINITY_DN116044_c0_g1_i1	Xetrov90004771m	Chr02	51238051	51238051	2.05857742469487	3.09752827668955	0.000413072572279743	0.0436757540284088	0.112202236798067	-0.804503050417463	3.63120380708122	3.06468672596163	-0.815330821112547	0.817129968373785	0	0
TRINITY_DN116137_c0_g2_i2	ddx43	Chr05	79657895	79657895	2.54216570695089	-2.51335562879649	4.52845867056136e-05	0.00632161068180053	0.358409051212572	3.82041576962518	1.36081469010144	0.733585279321132	3.31337790648401	2.49800896251693	1	1
TRINITY_DN116337_c0_g1_i3	cpsf4l	Chr10	24596795	24596795	0.276642084891499	-3.48665968143389	5.29887047991107e-05	0.00697809926220991	-1.85548847125019	1.60731409765289	-1.64491395810462	-1.5162533131873	1.29570936411228	0.0469182623112597	1	1
TRINITY_DN116961_c0_g1_i1	depdc7	Chr04	9338168	9338168	5.0623129239534	-1.71380616703879	7.65182587429311e-05	0.00979160432414008	4.276802771868	6.05566290256291	3.49397859281869	4.04030039752221	5.33960970635254	5.54306732925629	1	1
TRINITY_DN116966_c0_g1_i1	zp3.2	Chr01	131851113	131851113	4.2778717841804	-5.293370195688	3.48437348592064e-12	1.86309540286405e-08	-0.70942655081906	6.22083002935023	0.697373157891123	0.0576049646328071	4.83921951688891	3.39341575679918	1	1
TRINITY_DN117125_c0_g1_i1	cldn6.1	Chr09	7060698	7060698	4.27070185482403	-3.80863210304448	7.47866306830538e-10	6.69901244343454e-07	0.752132233863591	5.91098371549439	2.05864409634195	1.14775038683299	5.01515177033747	3.97185348093795	1	1
TRINITY_DN117446_c0_g1_i2	ddx4	Chr01	178458618	178458618	5.6295921227281	-3.24947499229168	8.22414612763929e-10	6.80010359430729e-07	2.94828573039491	6.93233387574983	3.95119602514519	2.43160784985825	6.70678502247725	5.39821749032858	1	1
TRINITY_DN117638_c0_g1_i1	dnd1	Chr03	17757098	17757098	2.18178795325276	-3.99874988721583	1.98915893485189e-06	0.000381811953405767	-0.423424044422981	4.25367783324997	-0.699875110442336	-0.675649717387556	2.15814240461314	1.21957080607936	1	1
TRINITY_DN118281_c0_g1_i1	birc5.1	Chr02	141231885	141231885	1.93374868480976	-5.19411773530585	3.78149857345855e-08	1.31120413439051e-05	-1.85548847125019	3.96655995340506	-1.19063666839928	-1.83403926062868	2.37677178778817	0.749246828082431	1	1
TRINITY_DN118674_c0_g1_i2	stk31	Chr06	34492394	34492394	3.63023145506926	-2.69489823447802	2.21085432250124e-05	0.00330062126563415	1.68988556185649	4.80760276076827	2.15762775681184	1.35684992978615	4.93130534841215	2.5185439794877	1	1
TRINITY_DN119116_c0_g1_i1	cdca9	Chr04	25187540	25187540	1.89642513088545	-5.98034921548454	8.34446023233329e-08	2.5627029439243e-05	-1.85548847125019	4.06256882613819	-1.64491395810462	-2.81350505622665	2.1969595950698	-0.0708552077786579	1	1
TRINITY_DN119288_c0_g1_i2	velo1	Chr06	26122147	26122147	4.1177983214708	-4.85251011432465	1.84214706088409e-07	4.82957042864467e-05	-0.078887784639522	6.09479252392666	1.39367633023917	-1.83403926062868	4.71099165333408	2.673080192687	1	1
TRINITY_DN119475_c1_g2_i1	pmel-like	Chr02	134646978	134646978	6.38587467134536	-1.7957231382853	2.50580813740813e-05	0.00368971666698631	5.78096386665269	7.55932318298288	4.68726947129973	4.98766322170001	6.78291330281211	6.50529611632575	1	1
TRINITY_DN119494_c0_g1_i1	zfp36l2.1	Chr04	35862120	35862120	2.52935951589889	-4.61974336143719	4.91833313458109e-07	0.000105734325727224	-1.06650730862743	4.56035636408944	-0.0429657174161889	-1.83403926062868	2.95417863771683	1.115572301407	1	1
TRINITY_DN119774_c0_g1_i2	LOC100170463	Chr02	85080445	85080445	2.72562407741918	-5.76458091617814	4.13498301227119e-09	1.85195551662096e-06	-2.25639531357062	4.76257157365909	-0.567473458785939	-2.24219949971462	3.18409815319254	1.57368158993923	1	1
TRINITY_DN120071_c0_g1_i2	patl2	Chr02	9933215	9933215	3.60996241726204	-4.87110039182562	1.50412502627059e-07	4.05895373751812e-05	-1.06650730862743	5.4066791630835	1.06689904655869	-2.24219949971462	4.45487174262527	2.72701459822593	1	1
TRINITY_DN120912_c0_g1_i3	asz1	Chr03	58901144	58901144	1.93904616472799	-2.86139711947366	0.000166437478471229	0.0190946211000228	-0.078887784639522	3.21510904499331	0.84724781212017	-1.5162533131873	2.96546409730793	1.61240717658282	1	1
TRINITY_DN121102_c2_g1_i1	LOC100489129	Chr06	82005940	82005940	4.34897961651798	4.10546368604601	0.000386909818125578	0.0415889363503184	1.59701938930239	1.79790554351894	6.78710421154705	0.397468029613559	1.10478652917322	0.524031432208452	0	0
TRINITY_DN121355_c0_g1_i4	rnf138	Chr06	96991714	96991714	1.94447521283341	-5.11189775232758	7.16661915077374e-07	0.000144682111082008	-2.81350505622665	3.78707575170624	-0.446207962330104	-2.81350505622665	2.61038150298885	1.40746363506798	1	1
TRINITY_DN121490_c3_g1_i3	mfsd7	Chr01	98607651	98607651	2.00230992299517	2.72066636291814	5.32332439762966e-05	0.00697809926220991	2.64231524984919	0.284542565668054	2.52696772329376	3.07655514361423	0.786296764662037	-1.10104392252971	0	0
TRINITY_DN121788_c0_g1_i1	gtsf1	Chr02	141879537	141879537	4.56620243369232	-3.29160450485873	1.99300180349038e-07	5.10066104421859e-05	1.93723683626622	5.84771161646222	2.93679701543397	1.00600218069144	5.79982727696385	3.96438828362671	1	1
TRINITY_DN123052_c0_g1_i2	mcm6	Chr06	67893106	67893106	1.40932310917472	-4.32673771310492	0.000128665307643262	0.0155395886725553	-1.85548847125019	3.50211477318228	-1.39996828493404	-1.03557497712142	1.92369083343246	-2.16338523060034	1	1
TRINITY_DN123131_c0_g1_i1	lamb4	Chr03	66347575	66347575	4.71112629961777	6.53184788994783	4.92783772637426e-05	0.00679093945138423	7.25806170632976	0.519218724811632	0.271838656188546	-0.844417013580363	-1.16308805039668	-2.16338523060034	0	0
TRINITY_DN123296_c1_g1_i2	gpat2	Chr03	109286340	109286340	2.56685378783092	-2.77241275371975	1.02632776302978e-05	0.00164656673504584	0.568660448639948	3.96655995340506	0.893935004312889	0.608371499859618	3.40740490715437	2.25042995182753	1	1
TRINITY_DN123710_c0_g1_i1	piwil2	Chr03	119422089	119422089	2.89609640643992	-2.11937818185715	0.000418513598002243	0.0436757540284088	1.19388756153641	3.71799128386029	2.0170673886997	1.19206517168417	4.12323933422956	2.47717742880997	1	1
TRINITY_DN123821_c0_g1_i1	LOC100489930	Chr02	4288233	4288233	2.09909807473358	-3.12261549898173	5.28950055272332e-05	0.00697809926220991	-0.423424044422981	3.75294699807845	0.749080781346114	-0.844417013580363	2.83618523407518	1.31657389504326	1	1
TRINITY_DN124147_c1_g3_i2	pabpc1l	Chr10	5542480	5542480	2.10408244785839	-3.58126740106292	1.53507438501247e-05	0.00239137892239117	-0.876947403664142	3.55589155993009	0.588042338866689	-1.83403926062868	3.21279283633892	1.45084768602148	1	1
TRINITY_DN124165_c0_g1_i7	exd1-like	Chr08	95367333	95367333	2.54879093958279	-2.60602872291449	0.000307901774232135	0.0341199605280538	0.199024273153669	3.80938781729155	1.73878417141415	-0.387828695239141	3.57149111884639	2.06742170921607	1	1
TRINITY_DN124226_c0_g1_i1	LOC100489554-like	Chr08	25252665	25252665	1.02660200608636	-3.70616795720219	0.000130738093404183	0.0156144862889062	-1.28479640214261	2.89869525304464	-0.567473458785939	-2.81350505622665	1.55673188448754	0.0469182623112597	1	1
TRINITY_DN124263_c0_g1_i1	LOC100498415	Chr10	14622177	14622177	4.31784981548352	-3.58518455613909	4.30864865731584e-08	1.4473020130465e-05	2.104010576345	6.18714636066178	1.54761454463834	1.23505922181903	4.67707124270674	3.60982907902037	1	1
TRINITY_DN124325_c0_g1_i1	ccna1	Chr02	149015518	149015518	5.36175582104639	-5.37634190202305	3.33317134194423e-09	1.70610755974088e-06	0.501924168106112	7.31026212358013	2.13836688305323	-1.5162533131873	5.95932316791101	4.33813091685882	1	1
TRINITY_DN124339_c4_g3_i4	fkbp6	Chr02	37483170	37483170	1.73979757376538	-2.89056644080061	2.6650734020123e-05	0.00387119918895002	-0.299209401246893	2.8348697686649	0.406742989792352	-0.844417013580363	2.86056858052471	1.65012038602983	1	1
TRINITY_DN124649_c0_g1_i1	sds	Chr01	133764075	133764075	4.3311801895787	-3.31388504286242	1.26335126613653e-07	3.64645167393783e-05	1.35381046179577	6.12178806997481	2.11884538121152	2.16878846565581	4.77652974053165	3.68442451115259	1	1
TRINITY_DN125025_c0_g1_i2	LOC100491837	Chr08	97986156	97986156	4.21377561988347	-2.47797421782271	0.000472997189193992	0.0488869883331367	2.31309385123115	6.0603218541282	3.210192213937	1.60646783780062	4.38094223093074	2.81265296584186	1	1
TRINITY_DN125285_c2_g1_i3	figla	Chr03	112374241	112374241	2.99644683453172	-4.51630391903937	1.01944252543512e-09	7.82713407564435e-07	-1.28479640214261	4.7042310338711	0.340867087561069	-0.524573457496502	3.73208229435797	2.72701459822593	1	1
TRINITY_DN125309_c0_g1_i1	wee2	scaffold_283	157382	157382	4.61150386977365	-3.98009620014182	2.21307582096908e-09	1.25201852629456e-06	0.568660448639948	6.4097449821142	2.33729034375203	1.35684992978615	5.10463566730032	4.22398000097206	1	1
TRINITY_DN125333_c0_g1_i1	42Sp43	Chr10	3444281	3444281	5.44647761972849	-1.74352116417336	0.000226766920266041	0.0253908086035383	4.70163496591701	6.77967017275459	3.86594048364009	4.31032936829678	5.8045479499817	5.1608599348005	1	1
TRINITY_DN125719_c4_g1_i2	LOC100494164	Chr04	108351433	108351433	6.06835694226755	-1.70597296584743	0.000103012106678448	0.0127273233872028	4.92183702826517	6.14828774294409	4.37393405305647	5.44904358019023	6.2749330950018	7.31901794479889	1	1
TRINITY_DN125971_c0_g1_i2	mcm3	Chr06	97027401	97027401	1.31903417409008	-4.24025088543502	6.37178113922213e-06	0.00105369654562306	-1.85548847125019	3.07479886797919	-1.00786537936078	-1.5162533131873	2.32514144724037	-0.339877031536049	1	1
TRINITY_DN126078_c0_g1_i1	med1	Chr06	81725480	81725480	2.39949560168724	-5.17986205799816	2.5700808306469e-09	1.38128994243118e-06	-1.54210568548879	4.0810270338272	-0.446207962330104	-2.81350505622665	3.25018563875761	2.14871181054309	1	1
TRINITY_DN126089_c1_g1_i2	tdrd5	Chr04	91181395	91181395	3.49419943050927	-3.19600583910761	1.11436743449063e-06	0.000217787919151633	0.693529740604565	4.66194189895301	1.68669942081273	1.10203114528882	4.88451151084432	2.57845145023113	1	1
TRINITY_DN126410_c3_g1_i3	LOC100498440-like	Chr04	49287697	49287697	6.1855001503113	-2.46198442947087	4.19705382639364e-07	9.39877741248025e-05	4.61350328453305	7.71885018567841	4.86182441142455	3.78940580679388	6.54412700890582	6.03865553282124	1	1
TRINITY_DN126729_c2_g1_i2	sp5l	Chr02	137812167	137812167	1.72847850851389	-3.90812417994851	7.7129183615894e-06	0.00125615393134431	-1.54210568548879	3.55589155993009	-1.39996828493404	-0.147988700891599	2.44285799474145	0.603074630230919	1	1
TRINITY_DN126783_c1_g5_i3	tbpl2	Chr08	84284839	84284839	1.80640045065284	-6.18317535354944	1.49070707841919e-09	9.76786003340185e-07	-2.25639531357062	3.77578896980096	-1.64491395810462	-2.81350505622665	2.41019326341188	0.881962027739698	1	1
TRINITY_DN127070_c0_g1_i3	LOC100490271	Chr08	61707395	61707395	2.93582544997176	-3.00653849385425	2.52630835505069e-06	0.000437988524329675	0.568660448639948	4.47220361600361	1.18424326597699	0.733585279321132	3.71212191545493	2.47717742880997	1	1
TRINITY_DN127129_c2_g3_i1	larp6-like.1	Chr01	82566090	82566090	3.31901313037373	-6.39653074435356	5.13506073123837e-09	2.04432473333634e-06	-2.81350505622665	5.21524736354547	-0.334349793416528	-2.81350505622665	4.20168270268721	1.92084873163361	1	1
TRINITY_DN127436_c2_g1_i1	ints2	Chr02	87679451	87679451	3.03597130037869	2.57711773602711	7.98586474593579e-05	0.0100988306063604	4.02085826996316	1.55545460036235	3.84826768425024	3.46758258663066	1.90035981681753	-0.670833104119231	0	0
TRINITY_DN127614_c0_g1_i2	LOC101733023	Chr02	51017508	51017508	2.37846672121376	3.86589915076535	0.000166982452637654	0.0190946211000228	-1.06650730862743	-0.159570384853304	4.51875365951138	2.35571711373968	-0.300940351915924	-0.670833104119231	0	0
TRINITY_DN128595_c0_g6_i1	cdt1	Chr04	60886810	60886810	5.61494317931377	-2.00361711056217	3.98385676700361e-05	0.00563453636691077	3.6179286584898	6.72350031707429	5.04622408656297	3.76760782500166	6.40909939578214	5.48164026140119	1	1
TRINITY_DN128638_c0_g1_i2	zpax	Chr05	137914324	137914324	5.70130090186478	-4.96791383462728	2.52516836621236e-11	5.42860695368334e-08	1.10674630113674	7.66404313936342	2.57073154529201	0.955479255674029	6.27379875561425	4.49661410903347	1	1
TRINITY_DN129116_c0_g1_i3	foxr1	Chr07	85608552	85608552	1.65198128604552	-4.60379546069645	3.16737150627472e-07	7.40132093933629e-05	-1.28479640214261	3.38814615955694	-1.00786537936078	-2.24219949971462	2.63885556403412	0.524031432208452	1	1
TRINITY_DN129466_c1_g5_i1	LOC100487104-like	Chr03	38537096	38537096	1.16401897942654	-4.35901685853322	1.5645232199372e-05	0.00240243715587214	-2.25639531357062	3.18128995807561	-1.39996828493404	-1.25598696076938	1.69873986104046	-0.670833104119231	1	1
TRINITY_DN129649_c3_g1_i3	caprin2	Chr03	2411898	2411898	4.71781322013308	-2.99224908386851	1.51044887432063e-07	4.05895373751812e-05	2.25348769534957	6.37089199340318	2.84473075770905	2.58903789618328	5.27984273931477	4.23021851531283	1	1
TRINITY_DN129651_c0_g4_i5	LOC394444	Chr03	134065551	134065551	4.93835413258764	-4.66223034153391	2.72715321658708e-07	6.66231134661238e-05	-1.28479640214261	6.42246688568509	2.64084441708306	-0.524573457496502	5.96776545822875	4.84036526736924	1	1
TRINITY_DN129730_c0_g1_i2	LOC100036702	Chr01	110127078	110127078	2.46496639821737	-2.79278131258884	0.000120663468853659	0.0147387684853179	0.199024273153669	3.94656694954757	0.64374316893335	0.848794124687528	3.50344014326689	1.115572301407	1	1
TRINITY_DN130577_c0_g2_i5	LOC100496285-like.1	Chr03	124947022	124947022	1.89911095129741	-4.04290433027055	6.92346262216138e-08	2.18883234487096e-05	-1.06650730862743	3.05626028802212	-0.567473458785939	-1.03557497712142	3.30451814401351	1.45084768602148	1	1
TRINITY_DN130816_c3_g1_i1	ddx25	Chr07	67831460	67831460	3.1853352207605	-3.05836808866242	2.45435227878534e-06	0.000437988524329675	0.965292661183896	4.82960200379428	1.32718704719686	0.792339421137256	3.86456894664612	2.53879080264995	1	1
TRINITY_DN131147_c0_g2_i1	LOC100493862-like	Chr05	70483831	70483831	1.97762819973216	-4.56315993756857	3.55202386302841e-06	0.000606042928630038	-0.876947403664142	4.03443101791632	-1.64491395810462	-1.03557497712142	2.50604909344771	-0.339877031536049	1	1
TRINITY_DN131370_c0_g1_i1	tdrd9	Chr08	77830221	77830221	4.21318044475047	-2.43164231599696	4.00712202860773e-06	0.000673008666961008	2.05829521693921	5.36586179199039	3.16331812483751	2.19079522588899	5.12490792198261	4.14693461568076	1	1
TRINITY_DN131450_c1_g5_i5	Xetrov90001039m	Chr01	56647536	56647536	3.21949291291424	-2.76600517150388	5.04956502499843e-05	0.00687060436122888	1.2355607049645	4.47917915909532	1.95236556825036	0.319710149066032	4.4265697969655	2.27477712253548	1	1
TRINITY_DN131690_c0_g1_i2	racgap1.2	Chr09	78223466	78223466	1.69630091140652	-5.09902256611729	1.78475036219427e-09	1.06579342462368e-06	-1.85548847125019	3.07479886797919	-1.19063666839928	-2.24219949971462	2.97666196133806	1.31657389504326	1	1
TRINITY_DN132173_c9_g2_i1	LOC100490651-like	Chr02	141220723	141220723	0.808635810204106	-5.511142132045	7.26842868957896e-07	0.000144682111082008	-2.81350505622665	2.52011472940446	-1.64491395810462	-2.81350505622665	1.92369083343246	-0.495885586506428	1	1
TRINITY_DN132305_c3_g4_i3	cdca7-like.1	Chr02	144125106	144125106	2.1819729915878	-4.5729517098379	6.62213102826093e-07	0.000139571149848582	-0.423424044422981	4.19557118892246	-1.94012722200218	-1.03557497712142	2.63885556403412	0.817129968373785	1	1
TRINITY_DN132480_c0_g2_i5	mov10l1	Chr03	62388703	62388703	3.90192690800217	-2.35000107036695	2.51086875026065e-06	0.000437988524329675	2.52957466039775	4.9499738285474	1.99582090637452	2.39416143859052	4.82689759515495	3.96438828362671	1	1
TRINITY_DN133080_c7_g9_i1	tdgf1.3	Chr01	124302024	124302024	0.830079150210955	-3.39748536618043	0.000359821471130253	0.0390678888199908	-0.299209401246893	2.69806716253739	-2.31171074617444	-1.83403926062868	1.14504597063929	0.155798778054151	1	1
TRINITY_DN133440_c0_g2_i2	LOC101730245	Chr03	109238284	109238284	2.42959629041319	-3.27029631771262	1.45543451706498e-05	0.00230065670940169	-0.423424044422981	4.28586021953028	0.340867087561069	0.471248407277028	2.79881965315285	1.57368158993923	1	1
TRINITY_DN135526_c5_g1_i1	gdf9	Chr03	28400241	28400241	1.62925662726676	-5.04660124494135	2.1313005383758e-06	0.000401918412052657	-2.25639531357062	3.59494822574739	-1.19063666839928	-1.83403926062868	2.45891714104518	-0.869961502212585	1	1
TRINITY_DN135535_c0_g1_i2	zp2	Chr09	18845774	18845774	6.21089440881957	-5.08176822161438	1.54482854747262e-09	9.76786003340185e-07	0.632445646458651	8.13952671190024	3.31684121111064	0.672336401128798	6.78927813036425	5.2978418588884	1	1
TRINITY_DN135914_c0_g2_i1	LOC100493164-like	Chr08	23237801	23237801	1.09263411545993	-4.89910544046111	0.0001358539803768	0.0160471915941783	-1.54210568548879	3.4319461687547	-1.64491395810462	-2.81350505622665	0.734465174337785	-2.16338523060034	1	1
TRINITY_DN135947_c1_g1_i1	LOC100486817-like	scaffold_147	323376	323376	2.74292652801604	-5.01160008072713	1.93052197936756e-08	6.91706025207398e-06	-1.85548847125019	4.12616506353139	0.199340731491776	-2.81350505622665	3.90615879184579	2.69128328408073	1	1
TRINITY_DN136663_c13_g1_i1	LOC100488384-like	scaffold_316	127985	127985	4.7516545696525	-5.96457117940869	9.1342642020169e-11	1.2273025738435e-07	-0.559349664990851	6.52545776213308	1.06689904655869	-2.81350505622665	5.50341725654813	4.44390831961983	1	1
TRINITY_DN151548_c0_g1_i1	deptor	scaffold_1764	1	1	3.93911913866559	-5.43435357970604	7.36479462444334e-10	6.69901244343454e-07	-1.54210568548879	5.93908130853432	0.697373157891123	-1.03557497712142	4.4265697969655	2.87768205202309	1	1
TRINITY_DN151741_c0_g1_i1	LOC100496795-like	Chr07	104636220	104636220	2.17345927616171	-5.48247622906687	2.85959819990958e-07	6.83062690018402e-05	-2.25639531357062	4.45815052520061	-0.845666984873841	-2.24219949971462	1.39920418070166	1.16850845895252	1	1
TRINITY_DN164909_c0_g1_i1	zpd	Chr04	28097902	28097902	4.31976201095346	-4.25368865302598	7.13707093152304e-07	0.000144682111082008	-0.423424044422981	6.47923675207709	1.78905387491123	1.10203114528882	4.128269003068	2.9091294462559	1	1
TRINITY_DN165190_c0_g1_i1	hbox10	scaffold_425	77481	77481	2.30257037227322	-4.42241573597805	4.5022889566007e-09	1.93580415978004e-06	-0.70942655081906	3.83136006343757	-0.334349793416528	-1.83403926062868	3.24092790504499	2.20046715843275	1	1
TRINITY_DN208554_c0_g1_i1	zar1	Chr01	29767993	29767993	3.61005397213531	-6.01689321233944	5.19981971215196e-12	1.86309540286405e-08	-1.06650730862743	5.70921661039135	-0.567473458785939	-1.5162533131873	3.86456894664612	2.47717742880997	1	1
TRINITY_DN45542_c0_g1_i1	LOC733539	Chr10	31541596	31541596	3.83005352666099	-5.6754153777804	7.64796620716723e-11	1.17439983944058e-07	-1.28479640214261	5.75016162011901	0.469741782302985	-2.24219949971462	4.26241956014333	3.44796378989475	1	1
TRINITY_DN69456_c0_g1_i2	zp4	Chr03	5456771	5456771	4.79325318736656	-5.73482554186618	1.3461202117578e-08	4.98946419178779e-06	-1.28479640214261	6.80903340881479	1.45723585858932	-1.83403926062868	5.29109912542662	3.61936718046588	1	1
TRINITY_DN74428_c0_g1_i1	zpy1	scaffold_143	145642	145642	6.27219980690898	-5.5441268414994	1.28909818224614e-07	3.64645167393783e-05	0.862645719670857	8.19883152764224	3.01280075440932	-2.24219949971462	6.90222885703606	5.35033510185536	1	1
TRINITY_DN83270_c0_g1_i1	42Sp50	Chr06	128138777	128138777	5.9831294522072	-4.13343169074282	1.19099652610756e-14	1.28020216591301e-10	2.05829521693921	7.67319673448957	3.27335810451455	2.80417224811316	6.48065245976561	6.04043168990767	1	1
TRINITY_DN96806_c0_g2_i1	top1.2	Chr04	65111976	65111976	0.389414968561942	-4.59117951367669	2.22209013878266e-06	0.000404859486498986	-1.28479640214261	1.26386132485661	-2.81350505622665	-2.81350505622665	0.884687238342556	1.65012038602983	1	1
TRINITY_DN97116_c0_g1_i1	LOC101733991	Chr07	82502077	82502077	0.166704116134372	-4.05949288797205	0.00035615865521137	0.0390647896415002	-1.85548847125019	1.55545460036235	-2.31171074617444	-1.83403926062868	-2.2996619121088	1.6868728043665	1	1
TRINITY_DN97559_c0_g1_i1	npm2	Chr03	119223238	119223238	5.28628493263219	-2.45111378636723	7.21366859368491e-05	0.00934213538717098	4.60954659210812	6.85935769880121	2.7207158347022	2.46810684592599	5.39699886856762	5.31555267830845	1	1
TRINITY_DN97753_c0_g1_i1	LOC100488859	Chr08	51618382	51618382	4.42715814677769	-5.73145538138729	2.10770911755859e-07	5.26878262898541e-05	-1.54210568548879	6.49480887273339	1.18424326597699	-2.81350505622665	4.71768107115331	3.39341575679918	1	1
TRINITY_DN98655_c0_g1_i1	gtf2a1l	Chr05	17413990	17413990	2.35668293132598	-4.6887803655653	3.44253277613809e-07	7.87314570440603e-05	-1.85548847125019	3.98627967518569	0.12300600452579	-2.81350505622665	3.21279283633892	2.17482155643803	1	1
TRINITY_DN98815_c0_g1_i1	LOC100495756-like	Chr01	83427263	83427263	4.56137392965533	-5.5627370262772	5.23145450033587e-10	5.62329044241102e-07	-0.299209401246893	6.56369592277898	1.14617924195759	-1.83403926062868	5.01243399685703	3.60022749833369	1	1
TRINITY_DN99366_c0_g2_i1	ppp1r3c.2	Chr03	119934945	119934945	4.64801691179328	-2.36722877915166	1.74545330244848e-05	0.00264251796450967	3.35980465993882	6.21874768399893	3.04418676100102	2.63791536176539	5.09439170747561	4.12701275858002	1	1
