gid	gname	chr	chrone	start	end	logCPM	logFC.XY46.SR46	PV.XY46.SR46	FDR.XY46.SR46	Am2_463	Am4_461	Am5_461	Am6_462
TRINITY_DN111933_c0_g1_i1	fgfrl1	Chr01	Chr01	14724047	14724047	1.389507446	-0.470217487	0.448535811	0.999859762	1.710605925	0.439677776	1.716874012	1.388418977
TRINITY_DN112046_c0_g1_i2	ubxn6	Chr01	Chr01	74902024	74902024	0.436338445	0.161836305	0.805621768	0.999859762	0.271044666	0.649922238	0.320836724	0.451756746
TRINITY_DN112075_c0_g1_i1	sez6l	Chr01	Chr01	140069924	140069924	0.403382022	-0.191184663	0.76919528	0.999859762	0.543141518	0.101100985	0.535586556	0.41123041
TRINITY_DN112410_c0_g1_i1	immt-like	Chr01	Chr01	11303415	11303415	0.926266121	-1.732315239	0.09347318	0.999859762	1.654321972	-1.960573037	1.971617594	-1.385753971
TRINITY_DN112494_c0_g1_i1	plcxd3	Chr01	Chr01	182748621	182748621	5.088934588	-0.622248217	0.103342804	0.999859762	4.898296574	4.842919566	5.527395793	4.974921792
TRINITY_DN112517_c0_g1_i1	lnpep	Chr01	Chr01	173094294	173094294	4.228855334	-0.302749644	0.530866617	0.999859762	4.573542082	3.348624052	4.44832749	4.266750533
TRINITY_DN112530_c0_g1_i2	LOC100496655	Chr01	Chr01	90067561	90067561	3.882949527	0.185884116	0.67438426	0.999859762	4.30310693	3.626445113	3.741778674	3.770037176
TRINITY_DN112911_c0_g1_i2	tango2	Chr01	Chr01	146783379	146783379	3.686980457	-0.180535057	0.664804127	0.999859762	3.698033649	3.441028633	3.818949808	3.762002124
TRINITY_DN113011_c0_g3_i1	cactin	Chr01	Chr01	74559688	74559688	0.679303281	0.654660841	0.327861129	0.999859762	1.101588995	0.861820084	0.200148312	0.451756746
TRINITY_DN113603_c0_g1_i1	prc1.2	Chr01	Chr01	90380680	90380680	1.732522407	0.766589744	0.264785797	0.999859762	2.482782379	1.992991644	1.149275665	0.740527205
TRINITY_DN113801_c0_g1_i2	lman1	Chr01	Chr01	188111030	188111030	0.311457469	0.105104438	0.877433338	0.999859762	0.66208919	0.052593937	0.241509782	0.282337637
TRINITY_DN113900_c0_g1_i1	LOC101734987	Chr01	Chr01	125357764	125357764	1.318810312	0.297103997	0.648109971	0.999859762	1.963153918	0.774787865	1.105141339	1.234329574
TRINITY_DN113938_c0_g1_i1	paics.1	Chr01	Chr01	31652922	31652922	1.1279977	1.481943335	0.027680409	0.999859762	1.503183971	1.544339261	-0.026568575	1.061792435
TRINITY_DN114120_c0_g1_i1	LOC100037859	Chr01	Chr01	90488416	90488416	6.302491846	0.004012565	0.992799047	0.999859762	6.172921345	6.31963515	6.299513543	6.407770354
TRINITY_DN114238_c0_g1_i2	pgpep1	Chr01	Chr01	82082017	82082017	4.35497	0.367936774	0.360636392	0.999859762	4.48756552	4.397400729	4.072054776	4.430319856
TRINITY_DN114305_c0_g2_i2	pgm2	Chr01	Chr01	25900313	25900313	0.10528536	-0.134095082	0.84620028	0.999859762	0.479775714	-0.217911147	0.200148312	-0.072532113
TRINITY_DN114358_c0_g2_i1	hs3st1	Chr01	Chr01	17966463	17966463	0.709603961	0.379634197	0.562616838	0.999859762	0.479775714	1.095251318	0.432203733	0.707437398
TRINITY_DN114393_c2_g1_i1	ccdc112-like	Chr01	Chr01	133968987	133968987	2.729758657	0.061246443	0.905775095	0.999859762	3.09299533	2.092317566	2.68437755	2.885857729
TRINITY_DN114440_c1_g2_i1	slc7a7	Chr01	Chr01	128252906	128252906	4.457070455	-0.443112508	0.326611262	0.999859762	3.711887748	4.77166041	4.774936731	4.316974994
TRINITY_DN114585_c0_g1_i2	ocln	Chr01	Chr01	167368970	167368970	0.420845966	-0.025894946	0.973837488	0.999859762	0.026921425	1.165361498	0.432203733	-0.544201079
TRINITY_DN115053_c0_g1_i2	tgm1	Chr01	Chr01	127013618	127013618	1.536546311	-0.21115096	0.707942639	0.999859762	1.867372148	1.453852576	1.687243536	1.035369335
TRINITY_DN115115_c0_g1_i1	tpgs1	Chr01	Chr01	86538887	86538887	2.27537471	-0.303378186	0.528524944	0.999859762	2.178009102	2.283094595	2.492142248	2.111949521
TRINITY_DN115220_c0_g1_i1	hscb	Chr01	Chr01	141921629	141921629	5.281111729	0.152036676	0.719001904	0.999859762	5.462644171	5.424761961	5.165835432	5.027817355
TRINITY_DN115235_c0_g1_i2	pde8b-like	Chr01	Chr01	164709774	164709774	7.185782574	0.110346522	0.818239257	0.999859762	7.281844203	7.266047932	7.102302122	7.081546615
TRINITY_DN115267_c0_g1_i2	emb	Chr01	Chr01	181018972	181018972	1.406567683	0.290864092	0.614172592	0.999859762	1.534704811	1.645926099	1.192099832	1.210909176
TRINITY_DN115320_c0_g1_i3	gpr125	Chr01	Chr01	22373004	22373004	4.145445645	0.297745956	0.461596413	0.999859762	4.242357108	4.183176778	3.917942853	4.217655019
TRINITY_DN115419_c0_g1_i1	LOC100488348	Chr01	Chr01	40704275	40704275	1.522032706	-0.296999807	0.578849214	0.999859762	1.18341634	1.508822687	1.731464121	1.583407553
TRINITY_DN115423_c1_g1_i1	cntln-like	Chr01	Chr01	105879950	105879950	1.072576264	1.085794137	0.090033905	0.999859762	1.260850622	1.35730847	0.241509782	1.210909176
TRINITY_DN115577_c1_g1_i1	mapk10	Chr01	Chr01	93296523	93296523	3.56531326	-0.103099014	0.806428611	0.999859762	3.604586106	3.373520633	3.641054082	3.626954557
TRINITY_DN115583_c0_g1_i3	pdgfc	Chr01	Chr01	44413093	44413093	1.830925348	-0.33361812	0.504700475	0.999859762	1.764776268	1.579002446	2.06673621	1.864262123
TRINITY_DN115666_c0_g1_i1	ugt8	Chr01	Chr01	60230590	60230590	1.624453513	0.598628997	0.275640108	0.999859762	1.791117307	1.886318424	1.170846639	1.565052708
TRINITY_DN115701_c0_g2_i1	Xetrov90001894m	Chr01	Chr01	97375445	97375445	0.31964611	-0.165258823	0.806605392	0.999859762	0.194170392	-0.049605397	0.432203733	0.603354999
TRINITY_DN115768_c0_g1_i1	med11	Chr01	Chr01	82744308	82744308	3.091081029	-0.040238702	0.925731183	0.999859762	2.983040418	3.004227868	3.121032357	3.238366903
TRINITY_DN115962_c0_g1_i1	ednra	Chr01	Chr01	48225092	48225092	1.156480043	0.356719231	0.619010406	0.999859762	0.603840886	1.953907633	0.887903129	0.673570789
TRINITY_DN115979_c0_g3_i5	mapk4	Chr01	Chr01	191581801	191581801	6.225166178	-0.065008168	0.881275822	0.999859762	6.196516191	6.158510534	6.273578225	6.2686631
TRINITY_DN116070_c1_g2_i1	grp	Chr01	Chr01	188197803	188197803	0.616294879	0.111528365	0.861909473	0.999859762	0.344029079	0.804385824	0.535586556	0.707437398
TRINITY_DN116080_c0_g1_i1	crhbp	Chr01	Chr01	164908720	164908720	0.27578266	-0.123351108	0.854587935	0.999859762	0.112968161	0.513216616	0.358922295	0.038067897
TRINITY_DN116113_c0_g1_i1	armc6	Chr01	Chr01	102124597	102124597	1.20621955	-0.150783571	0.794086957	0.999859762	1.334339606	0.889701935	1.313435805	1.257375835
TRINITY_DN116201_c0_g2_i1	sfrp2	Chr01	Chr01	45713108	45713108	5.108958096	0.292553497	0.490340246	0.999859762	4.916357914	5.067031391	4.88507012	5.483695193
TRINITY_DN116210_c0_g1_i1	cep120	Chr01	Chr01	160685156	160685156	2.760847032	0.310075124	0.498720663	0.999859762	2.876363705	2.835294715	2.526013351	2.786375555
TRINITY_DN116213_c0_g1_i2	top3b-like	Chr01	Chr01	145498207	145498207	3.944353958	0.073589613	0.864094998	0.999859762	4.128180454	4.134485168	3.888951565	3.554373936
TRINITY_DN116261_c1_g2_i1	rrh	Chr01	Chr01	59145793	59145793	0.948439373	0.240646255	0.718458067	0.999859762	1.565551665	0.713705524	0.779750152	0.603354999
TRINITY_DN116284_c1_g1_i3	LOC100487354	Chr01	Chr01	96280632	96280632	0.11155162	-0.509294904	0.522760156	0.999859762	-1.599162177	0.101100985	0.432203733	0.529546198
TRINITY_DN116377_c0_g1_i1	hcn2	Chr01	Chr01	86622350	86622350	4.195338058	-0.08402868	0.833382626	0.999859762	4.237576348	4.087106116	4.257379257	4.193960112
TRINITY_DN116460_c1_g2_i1	comt.2	Chr01	Chr01	146432864	146432864	3.312989376	0.168202451	0.750489106	0.999859762	2.466530404	3.816371653	3.186033869	3.448210529
TRINITY_DN116491_c0_g2_i1	Xetrov90000750m	Chr01	Chr01	35584180	35584180	0.533721999	-0.002110977	0.997355787	0.999859762	0.603840886	0.548626498	0.535586556	0.451756746
TRINITY_DN116499_c0_g1_i2	arl14epl-like	Chr01	Chr01	163243296	163243296	5.055262715	0.04830207	0.902926409	0.999859762	5.096130556	4.936113118	5.018953167	5.160576056
TRINITY_DN116639_c0_g1_i2	phax	Chr01	Chr01	159776577	159776577	5.562986992	0.53627101	0.241781108	0.999859762	6.018449805	5.515916307	5.144188834	5.435253105
TRINITY_DN116673_c0_g3_i1	crlf1	Chr01	Chr01	87594384	87594384	4.726811536	0.132156913	0.735816496	0.999859762	4.907355508	4.664780472	4.626720558	4.693733922
TRINITY_DN116684_c0_g2_i1	mfsd8	Chr01	Chr01	54814496	54814496	0.703156135	-0.228350404	0.726249741	0.999859762	0.771972439	0.94389936	0.861615451	0.09034273
TRINITY_DN116927_c0_g1_i2	vsig10	Chr01	Chr01	156752619	156752619	3.419373693	0.866260472	0.175716921	0.999859762	4.280043347	3.567248413	2.735938753	2.344957532
TRINITY_DN117171_c0_g1_i1	hiatl1	Chr01	Chr01	86497680	86497680	6.232214129	-0.092271928	0.835245556	0.999859762	6.286059062	5.974663217	6.300737004	6.339217786
TRINITY_DN117203_c0_g3_i1	cpe	Chr01	Chr01	41986099	41986099	3.040045692	0.255132884	0.559326623	0.999859762	3.06087973	3.143906658	2.847300968	3.092208735
TRINITY_DN117227_c0_g1_i1	spcs3	Chr01	Chr01	38518783	38518783	1.677803155	-0.193631734	0.704724095	0.999859762	1.62533456	1.526690266	1.816035645	1.722400414
TRINITY_DN117251_c1_g7_i1	dck.1	Chr01	Chr01	69530333	69530333	4.445858221	-0.446868717	0.318673592	0.999859762	3.946761701	3.997052946	4.766106211	4.832561377
TRINITY_DN117363_c0_g1_i1	commd10	Chr01	Chr01	163212991	163212991	3.890429681	0.709881849	0.118134434	0.999859762	4.404693841	3.852239599	3.331995472	3.782006464
TRINITY_DN117448_c0_g2_i1	cyp1d1	Chr01	Chr01	118492294	118492294	7.416647281	-0.182457431	0.715087256	0.999859762	7.450912949	6.999568734	7.551198027	7.592106908
TRINITY_DN117503_c0_g2_i2	cartpt	Chr01	Chr01	167102041	167102041	0.244044363	0.145878906	0.85460789	0.999859762	0.969427604	-0.709425848	0.157565936	0.236680786
TRINITY_DN117508_c0_g1_i1	crybb2	Chr01	Chr01	139297946	139297946	4.125165232	0.239868942	0.562694534	0.999859762	3.934997564	4.380305388	3.943232724	4.190970697
TRINITY_DN117508_c0_g2_i1	tlr6	Chr01	Chr01	26251596	26251596	4.077504697	0.145766342	0.734632254	0.999859762	3.711887748	4.414295868	3.9680869	4.120446893
TRINITY_DN117532_c0_g1_i1	fam101a	Chr01	Chr01	152002324	152002324	5.193565178	-0.143208503	0.722204734	0.999859762	5.316154945	5.101715233	5.299135624	5.037834936
TRINITY_DN117598_c0_g1_i1	wscd2	Chr01	Chr01	155701574	155701574	3.197561488	0.080011397	0.850765359	0.999859762	3.317999778	3.292290577	3.137559355	3.026650588
TRINITY_DN117646_c0_g2_i1	snx25-like	Chr01	Chr01	35262666	35262666	1.366167044	0.10244171	0.865026918	0.999859762	1.842399038	1.210277577	1.293908638	1.035369335
TRINITY_DN117684_c0_g1_i1	arsb	Chr01	Chr01	164009251	164009251	0.491596368	-0.240513859	0.72865929	0.999859762	1.014839987	0.052593937	0.662827522	0.09034273
TRINITY_DN117913_c0_g1_i1	mgat4a	Chr01	Chr01	51145888	51145888	1.463778135	0.003851106	0.994464338	0.999859762	1.334339606	1.725438131	1.460810366	1.280059726
TRINITY_DN118026_c0_g1_i1	slc20a2	Chr01	Chr01	75765623	75765623	2.899997979	0.052149979	0.907385579	0.999859762	3.134733415	2.79899763	2.860635733	2.786375555
TRINITY_DN118064_c0_g1_i1	fitm1	Chr01	Chr01	127250815	127250815	1.895342721	-0.223051952	0.658071254	0.999859762	1.62533456	1.94064074	2.055183734	1.908610163
TRINITY_DN118329_c0_g1_i1	f2rl2	Chr01	Chr01	165093844	165093844	4.497456642	-0.779181341	0.037435663	0.999859762	4.218293295	4.27852969	5.036684494	4.280878059
TRINITY_DN118435_c0_g1_i5	fam172a	Chr01	Chr01	171646628	171646628	2.173574784	0.848556361	0.121754531	0.999859762	2.074577517	2.707967091	1.512412829	2.149391387
TRINITY_DN118537_c0_g1_i1	LOC100135092	Chr01	Chr01	169808784	169808784	0.257405964	0.403255092	0.561508452	0.999859762	0.543141518	0.401453156	-0.026568575	0.09034273
TRINITY_DN118549_c0_g3_i1	polr1a	Chr01	Chr01	15112002	15112002	2.391587095	-0.347164144	0.471083468	0.999859762	2.416646258	2.080269412	2.638666401	2.376876562
TRINITY_DN118735_c0_g1_i8	Xetrov90003661m	Chr01	Chr01	184914620	184914620	4.677952663	-0.09243466	0.81063949	0.999859762	4.625701708	4.678831281	4.746486688	4.657375982
TRINITY_DN118788_c0_g1_i1	anp32b	Chr01	Chr01	95397335	95397335	7.222490547	-1.039577137	0.163477102	0.999859762	7.259614899	7.464488175	7.923763496	4.624516403
TRINITY_DN118871_c0_g1_i1	LOC100490989	Chr01	Chr01	129763761	129763761	1.271337447	-0.028532426	0.962222814	0.999859762	1.710605925	0.94389936	1.293908638	1.061792435
TRINITY_DN118942_c0_g9_i1	prtn3-like.2	Chr01	Chr01	86801295	86801295	1.030907038	-0.504866215	0.451877026	0.999859762	0.026921425	1.472409643	1.370479863	0.740527205
TRINITY_DN119263_c1_g1_i3	ccni	Chr01	Chr01	94789672	94789672	5.975145195	0.163743693	0.708532532	0.999859762	5.800757892	6.20779624	5.850915271	6.004933983
TRINITY_DN119279_c0_g1_i1	Xetrov90003468m	Chr01	Chr01	172465443	172465443	4.867404759	-0.990246005	0.019191926	0.912332096	4.925304493	3.954784556	5.536771534	4.611160108
TRINITY_DN119376_c0_g3_i2	fbxo10	Chr01	Chr01	96873203	96873203	2.670062706	0.434620904	0.377545344	0.999859762	2.433466686	2.884623688	2.338598534	2.92236488
TRINITY_DN119467_c0_g1_i2	ubox5	Chr01	Chr01	6358205	6358205	3.987204321	0.23516933	0.559160083	0.999859762	4.009803697	4.09610902	3.808666408	4.01958659
TRINITY_DN119636_c0_g2_i2	LOC100496633-like	Chr01	Chr01	177562673	177562673	2.287164664	0.160523724	0.773434932	0.999859762	1.565551665	2.64392387	2.16674544	2.517150392
TRINITY_DN119644_c0_g3_i1	tmem215	Chr01	Chr01	102999014	102999014	2.660807979	-1.114115101	0.112280092	0.999859762	1.73794533	3.260610124	3.392920725	0.772875046
TRINITY_DN119656_c0_g2_i3	rad17-like	Chr01	Chr01	167485640	167485640	0.199319243	0.536490047	0.461971315	0.999859762	0.413498398	0.616940972	-0.181944126	-0.1923202
TRINITY_DN119696_c0_g1_i1	sec14l3	Chr01	Chr01	131870504	131870504	4.725518474	-0.033555466	0.935986899	0.999859762	5.036826508	4.320105441	4.750073776	4.710531578
TRINITY_DN119734_c0_g2_i2	LOC100487777	Chr01	Chr01	65368064	65368064	1.136135805	-0.394044296	0.560610416	0.999859762	0.922539167	1.629483971	1.407293495	0.140789475
TRINITY_DN119773_c0_g3_i2	gtf2h2	Chr01	Chr01	167346363	167346363	2.794031454	0.407121312	0.421729597	0.999859762	2.364975298	3.27124776	2.483548744	2.863501619
TRINITY_DN119783_c0_g1_i1	LOC100488302-like	Chr01	Chr01	31743645	31743645	1.273768926	-0.993009331	0.078278264	0.999859762	0.479775714	1.095251318	1.921598264	1.162895958
TRINITY_DN119822_c0_g1_i1	sppl2b	Chr01	Chr01	73880850	73880850	5.661412272	0.09737419	0.822942553	0.999859762	5.99880709	5.558878315	5.587777725	5.437777282
TRINITY_DN119891_c0_g1_i1	slc4a11	Chr01	Chr01	7782056	7782056	2.796234935	0.10063813	0.822558601	0.999859762	2.774428324	2.81362623	2.721394054	2.870992214
TRINITY_DN119920_c0_g2_i1	LOC100495295	Chr01	Chr01	147079676	147079676	1.551166235	3.188050903	2.13E-05	0.006070613	1.73794533	2.374728454	-1.057208318	1.469603198
TRINITY_DN120135_c0_g2_i1	Xetrov90003142m	Chr01	Chr01	153676125	153676125	0.032543605	0.806498438	0.313607981	0.999859762	-0.636785047	0.682166345	-0.554193468	0.140789475
TRINITY_DN120255_c1_g1_i1	twsg2	Chr01	Chr01	127451015	127451015	4.608148568	0.501045693	0.212074628	0.999859762	4.584878991	4.858875905	4.219067405	4.695844356
TRINITY_DN120291_c0_g2_i1	LOC100493696-like	Chr01	Chr01	158204073	158204073	3.845575768	0.095848226	0.838029213	0.999859762	3.611993243	4.342975801	3.773849183	3.492589278
TRINITY_DN120376_c0_g1_i4	c19orf24	Chr01	Chr01	80980659	80980659	0.740552928	0.101103511	0.895393511	0.999859762	0.112968161	0.002399045	0.662827522	1.565052708
TRINITY_DN120394_c6_g1_i1	tjp3-like	Chr01	Chr01	74416130	74416130	4.787260095	0.504954312	0.214605895	0.999859762	5.066783233	4.729853719	4.394336745	4.879737062
TRINITY_DN120448_c1_g1_i3	qdpr	Chr01	Chr01	16477747	16477747	4.72438646	1.377102397	0.007073264	0.527613927	4.208554247	5.142843675	3.593926423	5.314090993
TRINITY_DN120501_c0_g1_i2	Mar-03	Chr01	Chr01	159613457	159613457	6.222809735	-0.048763218	0.910779994	0.999859762	6.207559425	6.218141918	6.259175468	6.20563119
TRINITY_DN120545_c4_g1_i4	tdrd7	Chr01	Chr01	95091536	95091536	2.889141656	-0.176090467	0.685388235	0.999859762	2.734265857	2.891534988	3.017685431	2.893233438
TRINITY_DN120654_c0_g3_i1	etnppl	Chr01	Chr01	57862643	57862643	1.103268353	-0.003008085	0.995953919	0.999859762	1.014839987	1.142367939	1.105141339	1.138276534
