gid	gname	chr	start	end	logCPM	logFC.XY46.SR46	PV.XY46.SR46	FDR.XY46.SR46
TRINITY_DN107012_c1_g1_i1	NA	NA	NA	NA	0.803560919129278	8.77769367382938	0.00026678254175712	0.0492263936636202
TRINITY_DN135454_c0_g9_i1	NA	NA	NA	NA	3.04414292482763	11.1023381362051	4.80201961716973e-22	2.35692726849925e-18
TRINITY_DN135840_c1_g7_i1	NA	NA	NA	NA	0.287659037508186	3.44364438225457	0.000196785021468728	0.0383277873957464
TRINITY_DN81405_c0_g1_i1	NA	NA	NA	NA	0.139188516402915	8.12628120995526	4.97344382110219e-07	0.000234717855410902
TRINITY_DN92151_c0_g2_i1	NA	NA	NA	NA	2.68311482091324	10.7400481485217	0.000220149690608863	0.0425408941514339
TRINITY_DN194007_c0_g1_i1	LOC100489200-like	Chr01	90799468	90799468	0.930600606164183	8.96241181068158	3.66980917617923e-09	2.90518667718111e-06
TRINITY_DN106825_c0_g1_i1	ficd	Chr01	133833076	133833076	1.51766190130076	-3.21792459333803	2.16777581373873e-09	1.83446159465387e-06
TRINITY_DN119920_c0_g2_i1	LOC100495295	Chr01	147079676	147079676	1.5511662353381	3.18805090316342	2.12734884927924e-05	0.00607061257094904
TRINITY_DN112291_c0_g1_i1	slitrk1	Chr02	121178556	121178556	3.78389752541534	2.07868653319939	7.9805926134797e-05	0.018831896473789
TRINITY_DN131669_c1_g5_i1	gmcl1	Chr03	111833197	111833197	1.20706933870451	9.24421534455213	3.79578449763069e-10	3.72609389425419e-07
TRINITY_DN117586_c0_g1_i1	ccdc51	Chr04	128899350	128899350	1.1322044797028	4.32451142019952	6.17794381418639e-05	0.0153144362771665
TRINITY_DN78129_c0_g1_i2	rin2	Chr05	24400012	24400012	0.66645644757555	4.81470656080594	9.54962162505502e-07	0.000410902599263464
TRINITY_DN126137_c6_g8_i3	heca	Chr05	65738236	65738236	3.60128428044895	-1.83842679844823	4.99898773911796e-06	0.0017525736872242
TRINITY_DN131900_c3_g4_i4	plod2-like	Chr05	117568590	117568590	4.15780213368072	3.05669904790597	2.08122534573644e-06	0.000810719860471712
TRINITY_DN39540_c0_g1_i1	allc	Chr05	131431919	131431919	3.9367933287322	11.998518469778	6.70581718848357e-11	7.83654569631311e-08
TRINITY_DN129504_c3_g3_i1	runx1t1	Chr06	111998532	111998532	4.16837101440692	12.2309106436667	3.74438986626586e-25	2.29727679270076e-21
TRINITY_DN127281_c1_g1_i3	cd3g	Chr07	84912675	84912675	5.0704897030306	3.04281469681225	8.46983355986954e-05	0.0197960176564532
TRINITY_DN129733_c3_g5_i1	eif6	Chr10	6210596	6210596	1.57666623492491	3.81103836563961	1.78384450339344e-07	9.31432509739968e-05
TRINITY_DN113301_c1_g1_i1	cyth2	Chr10	15271968	15271968	6.42481339137778	2.33467342911328	1.20200665780691e-05	0.00378185197297941
TRINITY_DN132156_c4_g2_i1	NA	NA	NA	NA	3.74800734416496	-1.99860391739518	8.79131497835344e-07	0.000385263680149592
TRINITY_DN132653_c3_g3_i1	NA	NA	NA	NA	1.98134534446096	10.0308511284046	9.71123864442398e-07	0.000410902599263464
TRINITY_DN130291_c2_g1_i1	NA	NA	NA	NA	0.850922006744919	3.03800812496675	0.000155787492147719	0.0323404031080625
TRINITY_DN134026_c0_g2_i6	NA	NA	NA	NA	7.09694079712598	2.38429404292243	0.000235754810885997	0.044850068325219
TRINITY_DN134399_c1_g1_i11	NA	NA	NA	NA	0.239046190927975	4.34160162251034	0.00015133141250289	0.032015725812357
TRINITY_DN104490_c0_g1_i1	NA	NA	NA	NA	0.330109511217205	8.33372094997858	3.6294676882166e-07	0.000178141533073047
TRINITY_DN100846_c0_g1_i2	NA	NA	NA	NA	4.08623953936796	2.19923308945649	0.000153729897287017	0.0322451744386384
TRINITY_DN127464_c0_g7_i1	NA	NA	NA	NA	1.71707783669749	9.76647329966293	6.41528115923417e-12	9.26102440757445e-09
TRINITY_DN131744_c0_g4_i2	NA	NA	NA	NA	2.75192999882571	5.68676809328464	6.15530821036359e-12	9.26102440757445e-09
TRINITY_DN128639_c3_g3_i1	NA	NA	NA	NA	4.88176131515434	2.57094716396739	5.25673921782231e-05	0.0134380872025601
TRINITY_DN124439_c0_g2_i1	NA	NA	NA	NA	6.04769733035565	2.01690607663108	8.66818502406216e-05	0.0200684838373122
TRINITY_DN127857_c2_g7_i1	NA	NA	NA	NA	2.52333477085316	2.66120364606711	6.85101560931479e-06	0.00227203748740803
TRINITY_DN1740_c0_g1_i1	NA	NA	NA	NA	1.17768925389198	-2.58428285207513	0.0002456044669993	0.0463644555740755
TRINITY_DN98773_c0_g2_i1	NA	NA	NA	NA	1.48485155690383	6.5696596447745	2.09855115768911e-09	1.83446159465387e-06
TRINITY_DN132472_c0_g2_i4	NA	NA	NA	NA	2.88077821506317	2.48680789631021	2.45574037112446e-06	0.000941661319496333
TRINITY_DN115526_c0_g1_i1	NA	NA	NA	NA	1.76994794556423	3.42232844534069	1.39042181101707e-06	0.000559382650232295
TRINITY_DN133025_c0_g2_i6	NA	NA	NA	NA	2.66600973982205	-3.62170468331027	1.87502607104566e-09	1.70425980776043e-06
TRINITY_DN128966_c0_g1_i1	NA	NA	NA	NA	1.67644321601601	-2.43317833220278	1.77296853900558e-05	0.0052885757991319
TRINITY_DN119005_c4_g1_i1	NA	NA	NA	NA	2.4854217825392	-2.28171365641128	3.3444660212087e-06	0.0012435839488861
TRINITY_DN129279_c4_g4_i1	NA	NA	NA	NA	1.8045428865046	9.85377040207195	1.25233483397912e-11	1.61755521898324e-08
TRINITY_DN127464_c0_g2_i1	NA	NA	NA	NA	1.8842098246574	9.93231710952514	2.30432028153944e-14	6.28336933658439e-11
TRINITY_DN112881_c0_g1_i2	NA	NA	NA	NA	2.74025958855319	3.35607909516309	1.97424499593354e-05	0.00569999369943588
TRINITY_DN128882_c4_g1_i1	mrpl35	Chr01	15165528	15165528	2.85906431324207	5.31881827717697	6.59332060924871e-14	1.47096982792339e-10
TRINITY_DN95726_c0_g1_i1	homez	Chr01	127437443	127437443	5.44609016114229	13.507772226733	6.10315328995311e-05	0.0152834168253816
TRINITY_DN132560_c1_g3_i1	zmym4	Chr02	56393008	56393008	0.633963485478846	8.6524744465649	2.87777167515708e-08	2.01781127657228e-05
TRINITY_DN135683_c1_g1_i1	rab24	Chr03	36729895	36729895	1.91141683642246	9.95637686734286	1.59161322621957e-12	2.7899842989039e-09
TRINITY_DN108182_c0_g5_i1	arpc4	Chr04	128058767	128058767	2.30100866646395	10.3906972959828	1.81019667954476e-05	0.0052885757991319
TRINITY_DN125523_c6_g3_i1	sde2	Chr05	4513000	4513000	4.302006869478	2.13493016937618	1.5540633910987e-05	0.00482762907353837
TRINITY_DN133376_c1_g1_i7	LOC100490428-like	Chr05	121921042	121921042	1.42959636821625	-2.17067520446215	0.00016778138737939	0.0334856291737264
TRINITY_DN136429_c4_g4_i2	odc1	Chr05	134523414	134523414	5.02995650258296	13.0955493063898	2.41359735973917e-13	4.93600773377991e-10
TRINITY_DN654_c0_g1_i1	mtbp	Chr06	123050202	123050202	1.43806915303928	9.4439319848637	0.00015681952527849	0.0323404031080625
TRINITY_DN155175_c0_g1_i1	rrp12	Chr07	24558206	24558206	0.205409844891834	8.20871836439751	4.89875006355261e-07	0.000234717855410902
TRINITY_DN129443_c5_g4_i10	rpl18	Chr07	95689464	95689464	1.14588081451805	3.79323473295496	7.10972989951379e-05	0.01702547226495
TRINITY_DN100376_c0_g3_i1	lmx1b.1	Chr08	9183575	9183575	0.824893063416704	8.83612900595468	1.13624445133196e-07	6.33740342730401e-05
TRINITY_DN130497_c4_g6_i3	fancf	Chr08	55031119	55031119	5.07407986646756	-1.70612033376056	6.76807611184615e-05	0.0164450847386947
TRINITY_DN103720_c0_g1_i2	irf2bpl	Chr08	61460014	61460014	2.933106354397	-1.98571381218707	3.40788159279102e-06	0.00124825107714454
TRINITY_DN121359_c1_g3_i1	emc7	Chr08	98084890	98084890	3.54581479113477	4.3605556979569	0.000132170610030328	0.0288176389768996
TRINITY_DN124950_c0_g3_i1	Xetrov90025606m	Chr10	36888393	36888393	4.21090462974621	2.06474968143767	5.93321648395678e-05	0.0150110377044107
TRINITY_DN117967_c0_g1_i1	NA	NA	NA	NA	2.7102372115925	10.7478037375914	0.00011219014064037	0.0248041283013992
TRINITY_DN94325_c0_g2_i1	NA	NA	NA	NA	1.07454656479643	3.96661613454809	4.41212050691129e-06	0.00159232131411926
TRINITY_DN127236_c4_g3_i2	NA	NA	NA	NA	7.40437983922963	2.79341194583836	6.59651794610952e-05	0.0161885146915474
TRINITY_DN97493_c0_g2_i1	NA	NA	NA	NA	1.38863169006944	-2.1103339023363	0.000180207610249865	0.0356651206704995
TRINITY_DN106855_c0_g1_i1	NA	NA	NA	NA	4.18523497947239	4.07329565334336	7.14568943111468e-05	0.01702547226495
TRINITY_DN111790_c1_g2_i1	NA	NA	NA	NA	1.59353094894382	-3.42446153525917	2.64866068377403e-05	0.00714294305939544
TRINITY_DN124874_c1_g1_i1	NA	NA	NA	NA	5.09836012366769	2.51836217055783	1.01144844099189e-07	5.7725479512516e-05
TRINITY_DN131435_c1_g2_i1	NA	NA	NA	NA	1.68558139514424	9.73053518589371	7.6294010347952e-13	1.44025485226853e-09
TRINITY_DN134065_c2_g5_i3	NA	NA	NA	NA	9.91007640147382	-1.81924679813518	0.000110864070877975	0.0247337742128762
TRINITY_DN131071_c0_g1_i1	NA	NA	NA	NA	1.18326010912012	-2.41107616361864	2.19185250625148e-05	0.00618278762711696
TRINITY_DN130045_c0_g3_i2	NA	NA	NA	NA	3.92878810434486	2.34193144911937	0.000145336282609271	0.0310147627088185
TRINITY_DN131043_c1_g4_i4	NA	NA	NA	NA	4.35621240180193	1.6406193037309	0.000257528281621061	0.0482442867119272
TRINITY_DN128927_c0_g1_i1	NA	NA	NA	NA	1.1335927157385	9.16142808615015	2.32897753083523e-09	1.90518125280758e-06
TRINITY_DN121465_c5_g5_i1	NA	NA	NA	NA	1.19945804794841	9.23559828258038	7.51297141318121e-11	8.38071961140364e-08
TRINITY_DN128376_c2_g5_i2	NA	NA	NA	NA	3.46566105780043	11.5275041711385	1.39246063664163e-07	7.59386144084938e-05
TRINITY_DN132876_c2_g4_i1	NA	NA	NA	NA	5.86748475697877	1.98557770543781	4.62868506777784e-05	0.011957111605088
TRINITY_DN134711_c7_g13_i1	NA	NA	NA	NA	1.82989473812924	9.88009107152644	1.67893477095453e-11	2.06013691069976e-08
TRINITY_DN127377_c4_g2_i1	NA	NA	NA	NA	3.87445893034551	-1.51228120960613	9.46946204457504e-05	0.0215175988922145
TRINITY_DN128941_c3_g5_i2	NA	NA	NA	NA	5.49724162388445	5.55056155512297	4.82681615554786e-19	1.69221278961857e-15
TRINITY_DN141165_c0_g1_i1	NA	NA	NA	NA	3.68071017380058	3.32774176574843	7.85240357695092e-09	6.02205738068602e-06
TRINITY_DN129342_c0_g1_i2	NA	NA	NA	NA	2.83003990142823	-2.43611377229659	4.01536127886867e-08	2.663269760668e-05
TRINITY_DN126202_c0_g2_i1	NA	NA	NA	NA	0.655210011860362	8.6643473526094	3.67552625477227e-08	2.50558582828795e-05
TRINITY_DN209985_c0_g1_i1	NA	NA	NA	NA	1.18633641827301	3.4017855809705	1.15728447388384e-05	0.00368843094462122
TRINITY_DN135828_c4_g4_i1	NA	NA	NA	NA	1.5615942861936	9.60232487716764	2.58648588048825e-12	4.23166333287082e-09
TRINITY_DN95094_c0_g3_i1	LOC100492954	Chr01	12568075	12568075	4.12992539110206	3.35077676599701	7.10935423792972e-08	4.25538200861057e-05
TRINITY_DN144998_c0_g1_i1	nipal3	Chr02	55286764	55286764	2.23813222742858	3.68249697854967	1.01109818091515e-06	0.000420565431488793
TRINITY_DN81092_c0_g1_i1	mtf1	Chr02	57938225	57938225	2.28068853142511	-2.37954720234362	2.7460754444772e-05	0.00732515624814294
TRINITY_DN41677_c0_g2_i1	lrrc4	Chr03	79005896	79005896	2.11255047504394	10.1634526041202	1.13600466687594e-11	1.54881614054458e-08
TRINITY_DN124256_c0_g4_i2	st8sia2	Chr03	102272282	102272282	1.39253731858461	9.43702326157747	1.27170919003624e-10	1.35691370576867e-07
TRINITY_DN124256_c0_g2_i2	fam151a	Chr04	87497533	87497533	4.21465285445632	12.2772897134878	1.05061042971746e-26	1.2891515277848e-22
TRINITY_DN99286_c0_g1_i1	LOC100496663	Chr05	107921390	107921390	0.584493014998902	8.59782572752497	2.6097620625781e-07	0.000130706470974958
TRINITY_DN133387_c1_g5_i6	ngef-like	Chr05	123131367	123131367	2.51100724560042	3.96583847973168	1.1407689645098e-06	0.000466593519300582
TRINITY_DN122900_c0_g1_i1	nphp3	Chr06	71316892	71316892	3.75980594415712	3.70776611687738	5.22478727378864e-07	0.000240458035342361
TRINITY_DN134404_c1_g17_i1	ccdc64b	Chr09	6894864	6894864	5.33006868400332	13.3943034326304	1.95363292292229e-26	1.59813685204786e-22
TRINITY_DN129842_c2_g4_i1	LOC101733250	scaffold_1446	10342	10342	0.247726238878496	8.24452930724541	1.61488456464078e-07	8.61540915235854e-05
TRINITY_DN133071_c2_g6_i2	stk33	scaffold_352	96873	96873	3.71475946243588	3.11138532818531	2.27671050892084e-05	0.00634917643175298
TRINITY_DN101325_c0_g2_i1	NA	NA	NA	NA	1.81486748351475	9.88743398533624	5.74807082200804e-08	3.61701041135639e-05
TRINITY_DN112947_c0_g1_i2	NA	NA	NA	NA	2.09243463404951	3.07918967419741	1.46643116242099e-06	0.000580446567047959
TRINITY_DN115726_c0_g4_i1	NA	NA	NA	NA	2.15476307011993	-2.47819702082279	0.000196289212843762	0.0383277873957464
TRINITY_DN127055_c1_g5_i1	NA	NA	NA	NA	0.743643046616838	8.7647584237766	7.30169770267802e-07	0.000325801751493493
TRINITY_DN133534_c2_g6_i1	NA	NA	NA	NA	5.08773597116488	2.50648331432435	0.000224052942929434	0.042956900565869
TRINITY_DN121083_c0_g1_i2	NA	NA	NA	NA	1.89485397545504	-3.82640056722217	4.48026998373897e-14	1.09950305670938e-10
TRINITY_DN124034_c2_g15_i1	NA	NA	NA	NA	1.10666886040733	5.26390152847028	7.22136161809757e-06	0.00233183467723332
TRINITY_DN126590_c4_g3_i1	NA	NA	NA	NA	2.68138474935259	2.92027296706309	2.32572452888312e-05	0.00637335363293268
TRINITY_DN133151_c2_g1_i1	NA	NA	NA	NA	4.22929676273348	4.93339264050849	1.50633010469625e-09	1.42180181151349e-06
TRINITY_DN119416_c2_g1_i1	NA	NA	NA	NA	2.88191197313314	2.87312362605292	5.29103700276578e-07	0.000240458035342361
TRINITY_DN133071_c2_g1_i1	NA	NA	NA	NA	2.54938648425761	2.77860220827974	0.000166908345321974	0.0334856291737264
TRINITY_DN113348_c0_g3_i1	NA	NA	NA	NA	0.526287936060514	8.54061252680312	1.98803231985276e-08	1.43495003416196e-05
TRINITY_DN130174_c0_g1_i1	NA	NA	NA	NA	2.19604987473337	-2.01032300210325	2.97290044969642e-05	0.00781096535547959
TRINITY_DN121226_c0_g1_i3	NA	NA	NA	NA	3.76590836396429	4.59226236468824	6.02640254922736e-06	0.00202594445151491
TRINITY_DN111958_c0_g1_i1	NA	NA	NA	NA	1.64797608550447	3.56589527902582	4.67764864785719e-06	0.00166368370242121
TRINITY_DN127436_c2_g1_i1	NA	NA	NA	NA	2.68255989638364	2.36971757053257	0.000136728630628611	0.0294338361776908
TRINITY_DN102489_c0_g3_i1	NA	NA	NA	NA	2.42000613075773	10.4535330448229	9.65878957152216e-05	0.0217464545756629
TRINITY_DN135448_c5_g1_i4	NA	NA	NA	NA	2.99515483115282	2.99056026626269	5.0776942275775e-06	0.00175509428223915
TRINITY_DN27210_c0_g1_i1	NA	NA	NA	NA	3.22806267800509	6.88076653468256	3.84932417069031e-20	1.57443774121518e-16
TRINITY_DN105911_c1_g4_i1	NA	NA	NA	NA	4.6308968922841	-1.67041647277878	2.33732051246461e-05	0.00637335363293268
TRINITY_DN93145_c0_g1_i1	NA	NA	NA	NA	1.68288993694518	-1.8593824935798	0.000132691952422055	0.0288176389768996
